date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,ATL,TOR,26.386301369863013,1.0,32.43333333333333,8.0,12.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,0.0,3.0,3.0,8.0,3.0,0.0,6.0,2.0,20.0,17.1,0.0
2014-11-01,ATL,IND,26.394520547945206,1.0,32.78333333333333,7.0,14.0,0.5,1.0,2.0,0.5,10.0,10.0,1.0,0.0,4.0,4.0,6.0,3.0,2.0,1.0,1.0,25.0,26.4,0.0
2014-11-05,ATL,SAS,26.405479452054795,1.0,33.6,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,7.0,1.0,0.0,5.0,2.0,5.0,-0.1,-1.0
2014-11-07,ATL,CHO,26.410958904109588,1.0,43.86666666666667,9.0,23.0,0.391,1.0,4.0,0.25,3.0,4.0,0.75,2.0,2.0,4.0,15.0,0.0,1.0,5.0,4.0,22.0,15.7,10.0
2014-11-08,ATL,NYK,26.413698630136988,1.0,34.71666666666667,6.0,13.0,0.462,0.0,0.0,0.0,7.0,10.0,0.7,1.0,1.0,2.0,5.0,1.0,0.0,0.0,2.0,19.0,15.8,1.0
2014-11-10,ATL,NYK,26.41917808219178,1.0,25.433333333333334,0.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,6.0,0.0,1.0,3.0,1.0,3.0,1.3,-2.0
2014-11-12,ATL,UTA,26.424657534246574,1.0,34.15,7.0,12.0,0.583,0.0,1.0,0.0,6.0,8.0,0.75,0.0,2.0,2.0,8.0,3.0,0.0,4.0,2.0,20.0,18.0,10.0
2014-11-14,ATL,MIA,26.43013698630137,1.0,31.8,5.0,11.0,0.455,1.0,6.0,0.167,5.0,5.0,1.0,0.0,1.0,1.0,9.0,1.0,0.0,3.0,2.0,16.0,14.1,1.0
2014-11-15,ATL,CLE,26.432876712328767,1.0,25.616666666666667,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,4.0,3.0,5.0,-1.3,-12.0
2014-11-18,ATL,LAL,26.44109589041096,1.0,30.6,8.0,14.0,0.571,1.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,23.0,17.1,-4.0
2014-11-21,ATL,DET,26.44931506849315,1.0,33.86666666666667,9.0,15.0,0.6,2.0,3.0,0.667,8.0,8.0,1.0,0.0,4.0,4.0,6.0,2.0,2.0,3.0,3.0,28.0,25.7,26.0
2014-11-25,ATL,WAS,26.46027397260274,1.0,32.21666666666667,8.0,19.0,0.421,0.0,2.0,0.0,12.0,14.0,0.857,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,28.0,21.4,0.0
2014-11-26,ATL,TOR,26.463013698630135,1.0,34.11666666666667,7.0,14.0,0.5,2.0,3.0,0.667,8.0,8.0,1.0,0.0,3.0,3.0,12.0,1.0,0.0,5.0,5.0,24.0,20.3,-3.0
2014-11-28,ATL,NOP,26.46849315068493,1.0,35.53333333333333,10.0,16.0,0.625,1.0,3.0,0.333,5.0,5.0,1.0,2.0,2.0,4.0,7.0,1.0,0.0,4.0,1.0,26.0,22.3,13.0
2014-11-29,ATL,CHO,26.471232876712328,1.0,20.983333333333334,2.0,7.0,0.286,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,1.0,4.0,2.0,6.0,5.4,24.0
2014-12-02,ATL,BOS,26.47945205479452,1.0,25.2,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,2.0,9.0,6.8,0.0
2014-12-03,ATL,MIA,26.482191780821918,1.0,33.5,8.0,11.0,0.727,3.0,5.0,0.6,8.0,8.0,1.0,0.0,5.0,5.0,6.0,3.0,0.0,2.0,1.0,27.0,28.8,1.0
2014-12-05,ATL,BRK,26.487671232876714,1.0,24.85,5.0,9.0,0.556,2.0,4.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,5.0,3.0,0.0,1.0,3.0,14.0,15.2,12.0
2014-12-07,ATL,DEN,26.493150684931507,1.0,30.0,4.0,13.0,0.308,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,3.0,0.0,9.0,5.4,3.0
2014-12-08,ATL,IND,26.495890410958904,1.0,31.683333333333334,8.0,11.0,0.727,1.0,1.0,1.0,4.0,5.0,0.8,0.0,3.0,3.0,7.0,3.0,0.0,1.0,0.0,21.0,23.9,20.0
2014-12-10,ATL,PHI,26.5013698630137,1.0,24.566666666666666,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,2.0,2.0,4.0,5.0,9.0
2014-12-12,ATL,ORL,26.506849315068493,1.0,33.4,5.0,13.0,0.385,1.0,7.0,0.143,2.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,0.0,3.0,1.0,13.0,9.9,-1.0
2014-12-13,ATL,ORL,26.50958904109589,1.0,32.68333333333333,8.0,18.0,0.444,2.0,4.0,0.5,6.0,8.0,0.75,1.0,2.0,3.0,8.0,3.0,1.0,3.0,3.0,24.0,20.2,4.0
2014-12-15,ATL,CHI,26.515068493150686,1.0,34.583333333333336,5.0,12.0,0.417,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,7.0,1.0,1.0,2.0,1.0,12.0,10.7,14.0
2014-12-23,ATL,LAC,26.536986301369865,0.0,23.85,3.0,8.0,0.375,1.0,3.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,9.0,8.0,23.0
