date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-12-20,CHO,UTA,25.578082191780823,0.0,3.3833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2014-12-22,CHO,DEN,25.583561643835615,0.0,5.566666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,1.0
2014-12-26,CHO,OKC,25.594520547945205,0.0,9.083333333333334,1.0,5.0,0.2,0.0,2.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.1,1.0
2015-01-10,CHO,NYK,25.635616438356166,0.0,12.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.2,-17.0
2015-01-19,CHO,MIN,25.660273972602738,0.0,6.916666666666667,3.0,4.0,0.75,2.0,2.0,1.0,1.0,4.0,0.25,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,6.8,-3.0
2015-01-23,CHO,CLE,25.671232876712327,0.0,6.716666666666667,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.1,10.0
2015-01-31,CHO,DEN,25.693150684931506,0.0,9.05,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.5,-14.0
2015-02-07,CHO,PHI,25.71232876712329,0.0,7.216666666666667,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,4.7,1.0
2015-02-08,CHO,IND,25.715068493150685,1.0,21.766666666666666,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,6.0,3.7,0.0
2015-02-10,CHO,DET,25.720547945205478,1.0,31.35,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,12.0,9.7,-15.0
2015-02-21,CHO,OKC,25.75068493150685,0.0,3.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-9.0
2015-02-22,CHO,DAL,25.753424657534246,0.0,5.783333333333333,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,1.8,-7.0
2015-03-03,CHO,LAL,25.778082191780822,0.0,5.866666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.3,-8.0
2015-03-04,CHO,BRK,25.78082191780822,0.0,6.35,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8,-8.0
2015-03-08,CHO,DET,25.791780821917808,0.0,3.4833333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8,-3.0
2015-03-09,CHO,WAS,25.794520547945204,0.0,4.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.1,-6.0
2015-03-16,CHO,UTA,25.813698630136987,0.0,12.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.6,11.0
2015-03-27,CHO,WAS,25.843835616438355,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,-4.0
2015-03-28,CHO,ATL,25.846575342465755,1.0,27.05,3.0,6.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,7.2,10.0
2015-03-30,CHO,BOS,25.852054794520548,1.0,25.9,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,5.0,1.3,-8.0
