date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BRK,BOS,33.33424657534247,1.0,34.45,7.0,19.0,0.368,2.0,5.0,0.4,3.0,5.0,0.6,2.0,4.0,6.0,3.0,1.0,0.0,2.0,4.0,19.0,9.8,-30.0
2014-11-01,BRK,DET,33.342465753424655,1.0,38.95,14.0,23.0,0.609,3.0,8.0,0.375,3.0,3.0,1.0,1.0,7.0,8.0,6.0,0.0,0.0,0.0,1.0,34.0,30.1,17.0
2014-11-03,BRK,OKC,33.347945205479455,1.0,27.816666666666666,5.0,10.0,0.5,2.0,2.0,1.0,1.0,2.0,0.5,0.0,6.0,6.0,6.0,0.0,0.0,1.0,0.0,13.0,12.6,16.0
2014-11-05,BRK,MIN,33.35342465753425,1.0,30.983333333333334,9.0,17.0,0.529,1.0,4.0,0.25,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,22.0,11.4,-7.0
2014-11-07,BRK,NYK,33.35890410958904,1.0,31.866666666666667,6.0,13.0,0.462,4.0,6.0,0.667,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,2.0,3.0,18.0,12.6,16.0
2014-11-09,BRK,ORL,33.364383561643834,1.0,32.31666666666667,5.0,14.0,0.357,1.0,3.0,0.333,2.0,3.0,0.667,0.0,5.0,5.0,4.0,1.0,0.0,3.0,3.0,13.0,5.9,14.0
2014-11-12,BRK,PHO,33.37260273972603,1.0,37.18333333333333,7.0,16.0,0.438,1.0,3.0,0.333,6.0,7.0,0.857,0.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,21.0,16.4,2.0
2014-11-13,BRK,GSW,33.37534246575343,1.0,32.46666666666667,5.0,12.0,0.417,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,3.0,0.0,1.0,2.0,12.0,11.5,-10.0
2014-11-15,BRK,POR,33.38082191780822,1.0,36.016666666666666,9.0,18.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,5.0,1.0,0.0,0.0,2.0,20.0,17.7,1.0
2014-11-17,BRK,MIA,33.38630136986301,1.0,36.68333333333333,2.0,9.0,0.222,1.0,5.0,0.2,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,2.6,-12.0
