date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,TOR,ATL,22.482191780821918,1.0,20.666666666666668,4.0,5.0,0.8,0.0,0.0,0.0,9.0,10.0,0.9,3.0,5.0,8.0,0.0,0.0,1.0,1.0,3.0,17.0,16.8,3.0
2014-11-01,TOR,ORL,22.49041095890411,1.0,25.183333333333334,2.0,8.0,0.25,0.0,0.0,0.0,6.0,8.0,0.75,3.0,8.0,11.0,1.0,0.0,2.0,2.0,3.0,10.0,7.8,18.0
2014-11-02,TOR,MIA,22.493150684931507,1.0,28.65,6.0,12.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,2.0,0.0,2.0,0.0,4.0,14.0,12.8,-11.0
2014-11-04,TOR,OKC,22.4986301369863,1.0,12.816666666666666,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,6.0,5.3,-6.0
2014-11-07,TOR,WAS,22.506849315068493,1.0,28.6,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,1.0,8.0,9.0,0.0,0.0,1.0,0.0,3.0,9.0,8.5,19.0
2014-11-09,TOR,PHI,22.512328767123286,1.0,23.016666666666666,4.0,6.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,1.0,2.0,5.0,3.0,12.0,7.5,11.0
2014-11-11,TOR,ORL,22.517808219178082,1.0,20.45,1.0,5.0,0.2,0.0,0.0,0.0,2.0,4.0,0.5,4.0,3.0,7.0,1.0,0.0,0.0,3.0,1.0,4.0,1.1,-9.0
2014-11-13,TOR,CHI,22.523287671232875,1.0,22.983333333333334,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,1.0,2.0,3.0,8.0,6.9,-11.0
2014-11-15,TOR,UTA,22.528767123287672,1.0,34.1,7.0,12.0,0.583,0.0,0.0,0.0,3.0,6.0,0.5,3.0,11.0,14.0,0.0,0.0,2.0,0.0,3.0,17.0,15.8,20.0
2014-11-19,TOR,MEM,22.53972602739726,1.0,22.183333333333334,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,10.0,6.8,-12.0
2014-11-21,TOR,MIL,22.545205479452054,1.0,20.983333333333334,6.0,7.0,0.857,0.0,0.0,0.0,6.0,6.0,1.0,4.0,8.0,12.0,0.0,1.0,0.0,1.0,4.0,18.0,19.1,20.0
2014-11-22,TOR,CLE,22.54794520547945,1.0,26.366666666666667,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0,1.0,5.0,8.0,6.4,0.0
2014-11-24,TOR,PHO,22.553424657534247,1.0,32.46666666666667,10.0,11.0,0.909,0.0,0.0,0.0,7.0,8.0,0.875,4.0,7.0,11.0,0.0,0.0,1.0,2.0,1.0,27.0,26.1,10.0
2014-11-26,TOR,ATL,22.55890410958904,1.0,23.6,4.0,8.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,0.0,0.0,1.0,1.0,2.0,11.0,8.4,-1.0
2014-11-28,TOR,DAL,22.564383561643837,1.0,28.35,2.0,5.0,0.4,0.0,0.0,0.0,4.0,4.0,1.0,1.0,12.0,13.0,0.0,1.0,0.0,0.0,1.0,8.0,10.2,-16.0
2014-11-30,TOR,LAL,22.56986301369863,1.0,33.35,4.0,10.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,2.0,11.0,13.0,1.0,0.0,3.0,1.0,1.0,9.0,9.3,-7.0
2014-12-02,TOR,SAC,22.575342465753426,1.0,33.266666666666666,3.0,6.0,0.5,0.0,0.0,0.0,9.0,10.0,0.9,1.0,7.0,8.0,1.0,1.0,0.0,2.0,2.0,15.0,13.3,13.0
2014-12-03,TOR,UTA,22.578082191780823,1.0,33.25,4.0,9.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,1.0,0.0,1.0,0.0,2.0,9.0,6.3,-4.0
2014-12-05,TOR,CLE,22.583561643835615,1.0,20.45,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,7.0,3.7,-11.0
2014-12-08,TOR,DEN,22.59178082191781,1.0,31.316666666666666,8.0,11.0,0.727,0.0,0.0,0.0,2.0,3.0,0.667,2.0,10.0,12.0,0.0,0.0,4.0,2.0,5.0,18.0,16.3,-6.0
2014-12-09,TOR,CLE,22.594520547945205,1.0,36.5,6.0,7.0,0.857,0.0,0.0,0.0,6.0,6.0,1.0,5.0,10.0,15.0,0.0,0.0,0.0,3.0,2.0,18.0,18.2,-5.0
2014-12-12,TOR,IND,22.602739726027398,1.0,27.183333333333334,3.0,12.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,6.0,8.0,14.0,0.0,1.0,0.0,1.0,3.0,10.0,8.2,5.0
2014-12-14,TOR,NYK,22.60821917808219,1.0,33.43333333333333,3.0,6.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,3.0,10.0,13.0,0.0,1.0,0.0,2.0,3.0,8.0,7.1,-3.0
2014-12-15,TOR,ORL,22.610958904109587,1.0,22.65,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,0.0,0.0,1.0,1.0,1.0,6.0,5.1,2.0
2014-12-17,TOR,BRK,22.616438356164384,1.0,27.5,6.0,7.0,0.857,0.0,0.0,0.0,4.0,4.0,1.0,3.0,7.0,10.0,1.0,0.0,1.0,2.0,0.0,16.0,17.1,8.0
2014-12-19,TOR,DET,22.621917808219177,1.0,27.066666666666666,6.0,11.0,0.545,0.0,0.0,0.0,5.0,10.0,0.5,2.0,5.0,7.0,0.0,0.0,2.0,1.0,2.0,17.0,12.2,5.0
2014-12-21,TOR,NYK,22.627397260273973,1.0,22.0,2.0,6.0,0.333,0.0,0.0,0.0,6.0,6.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,10.0,8.7,9.0
2014-12-22,TOR,CHI,22.63013698630137,1.0,32.916666666666664,8.0,18.0,0.444,0.0,0.0,0.0,4.0,6.0,0.667,4.0,5.0,9.0,0.0,0.0,0.0,0.0,4.0,20.0,12.5,-12.0
2014-12-27,TOR,LAC,22.643835616438356,1.0,34.28333333333333,8.0,13.0,0.615,0.0,0.0,0.0,6.0,8.0,0.75,5.0,6.0,11.0,1.0,0.0,0.0,0.0,1.0,22.0,20.9,11.0
2014-12-28,TOR,DEN,22.646575342465752,1.0,17.233333333333334,2.0,5.0,0.4,0.0,0.0,0.0,3.0,4.0,0.75,3.0,3.0,6.0,0.0,1.0,0.0,0.0,3.0,7.0,6.7,-15.0
2014-12-30,TOR,POR,22.65205479452055,1.0,30.05,7.0,15.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,2.0,0.0,0.0,1.0,14.0,12.6,-4.0
2015-01-02,TOR,GSW,22.660273972602738,1.0,10.65,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,4.0,-14.0
2015-01-04,TOR,PHO,22.665753424657535,1.0,32.78333333333333,9.0,14.0,0.643,0.0,0.0,0.0,3.0,4.0,0.75,3.0,7.0,10.0,1.0,0.0,0.0,3.0,1.0,21.0,15.9,-12.0
2015-01-08,TOR,CHO,22.676712328767124,1.0,21.566666666666666,3.0,9.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,10.0,5.7,-16.0
2015-01-10,TOR,BOS,22.682191780821917,1.0,26.283333333333335,7.0,11.0,0.636,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,2.0,0.0,3.0,1.0,3.0,15.0,14.7,9.0
2015-01-12,TOR,DET,22.687671232876713,1.0,35.6,14.0,15.0,0.933,0.0,0.0,0.0,3.0,4.0,0.75,4.0,8.0,12.0,0.0,0.0,1.0,2.0,4.0,31.0,28.0,-14.0
2015-01-14,TOR,PHI,22.693150684931506,1.0,20.616666666666667,4.0,8.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,1.0,6.0,7.0,0.0,1.0,0.0,2.0,5.0,12.0,6.7,4.0
2015-01-16,TOR,ATL,22.698630136986303,1.0,23.483333333333334,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,-17.0
2015-01-18,TOR,NOP,22.704109589041096,1.0,27.966666666666665,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,0.0,1.0,2.0,3.0,3.0,6.0,4.0,-4.0
2015-01-19,TOR,MIL,22.706849315068492,1.0,18.866666666666667,5.0,8.0,0.625,0.0,0.0,0.0,1.0,1.0,1.0,6.0,7.0,13.0,0.0,1.0,1.0,5.0,2.0,11.0,9.6,0.0
2015-01-21,TOR,MEM,22.71232876712329,1.0,28.616666666666667,4.0,8.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,4.0,6.0,10.0,0.0,1.0,1.0,1.0,4.0,12.0,11.7,-9.0
2015-01-23,TOR,PHI,22.71780821917808,1.0,25.716666666666665,3.0,5.0,0.6,0.0,0.0,0.0,5.0,7.0,0.714,0.0,3.0,3.0,0.0,2.0,3.0,1.0,4.0,11.0,10.3,1.0
2015-01-25,TOR,DET,22.723287671232878,1.0,28.2,9.0,15.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,0.0,0.0,3.0,0.0,4.0,20.0,18.1,11.0
