date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-31,SAS,PHO,23.339726027397262,1.0,23.65,0.0,5.0,0.0,0.0,1.0,0.0,6.0,6.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,13.0
2014-11-05,SAS,ATL,23.353424657534248,1.0,29.916666666666668,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,2.0,1.0,11.0,7.8,-2.0
2014-11-06,SAS,HOU,23.356164383561644,1.0,28.966666666666665,2.0,11.0,0.182,0.0,2.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,5.0,4.0,0.0,1.0,0.0,7.0,7.8,-12.0
2014-11-08,SAS,NOP,23.361643835616437,1.0,36.5,5.0,13.0,0.385,0.0,2.0,0.0,4.0,6.0,0.667,5.0,9.0,14.0,3.0,1.0,1.0,0.0,3.0,14.0,14.9,2.0
2014-11-10,SAS,LAC,23.367123287671234,1.0,37.233333333333334,10.0,18.0,0.556,1.0,3.0,0.333,5.0,5.0,1.0,5.0,5.0,10.0,3.0,3.0,1.0,1.0,4.0,26.0,25.6,9.0
2014-11-11,SAS,GSW,23.36986301369863,1.0,35.46666666666667,7.0,11.0,0.636,2.0,3.0,0.667,3.0,3.0,1.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,3.0,19.0,17.2,9.0
2014-11-14,SAS,LAL,23.378082191780823,1.0,18.1,5.0,6.0,0.833,2.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,2.0,3.0,3.0,12.0,9.7,-1.0
2014-11-15,SAS,SAC,23.38082191780822,1.0,40.15,7.0,16.0,0.438,1.0,8.0,0.125,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,3.0,5.0,16.0,9.0,-11.0
2014-11-17,SAS,PHI,23.386301369863013,1.0,19.633333333333333,2.0,7.0,0.286,0.0,1.0,0.0,1.0,1.0,1.0,2.0,9.0,11.0,2.0,3.0,0.0,1.0,1.0,5.0,8.0,22.0
2014-11-19,SAS,CLE,23.39178082191781,1.0,36.96666666666667,4.0,11.0,0.364,0.0,4.0,0.0,4.0,6.0,0.667,1.0,9.0,10.0,4.0,4.0,0.0,2.0,1.0,12.0,12.9,3.0
2014-11-21,SAS,MIN,23.397260273972602,1.0,24.95,5.0,12.0,0.417,1.0,3.0,0.333,3.0,4.0,0.75,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,14.0,5.0,24.0
2014-11-22,SAS,BRK,23.4,1.0,36.266666666666666,9.0,19.0,0.474,0.0,2.0,0.0,3.0,4.0,0.75,1.0,8.0,9.0,1.0,1.0,0.0,4.0,0.0,21.0,11.7,8.0
2014-11-26,SAS,IND,23.410958904109588,1.0,36.11666666666667,8.0,12.0,0.667,2.0,2.0,1.0,3.0,6.0,0.5,1.0,12.0,13.0,1.0,1.0,0.0,2.0,3.0,21.0,17.4,7.0
2014-11-28,SAS,SAC,23.416438356164385,1.0,38.21666666666667,6.0,13.0,0.462,4.0,6.0,0.667,3.0,4.0,0.75,0.0,4.0,4.0,2.0,3.0,4.0,0.0,3.0,19.0,19.1,1.0
2014-11-30,SAS,BOS,23.421917808219177,1.0,30.0,5.0,9.0,0.556,1.0,3.0,0.333,1.0,1.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,1.0,12.0,11.1,28.0
2014-12-01,SAS,PHI,23.424657534246574,1.0,32.93333333333333,9.0,15.0,0.6,2.0,6.0,0.333,6.0,8.0,0.75,1.0,9.0,10.0,4.0,2.0,0.0,3.0,2.0,26.0,22.7,11.0
