date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,24.942465753424656,1.0,27.683333333333334,8.0,12.0,0.667,0.0,0.0,0.0,6.0,8.0,0.75,7.0,10.0,17.0,4.0,0.0,0.0,3.0,4.0,22.0,22.1,4.0
2014-11-01,DEN,OKC,24.95068493150685,1.0,25.05,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,2.0,1.0,1.0,7.0,4.8,-14.0
2014-11-03,DEN,SAC,24.956164383561642,1.0,38.06666666666667,5.0,13.0,0.385,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,4.0,1.0,0.0,2.0,3.0,10.0,8.1,-8.0
2014-11-05,DEN,SAC,24.96164383561644,1.0,21.233333333333334,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,-15.0
2014-11-07,DEN,CLE,24.96712328767123,1.0,21.6,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,8.0,6.9,-19.0
2014-11-09,DEN,POR,24.972602739726028,1.0,30.666666666666668,7.0,16.0,0.438,0.0,0.0,0.0,5.0,5.0,1.0,5.0,2.0,7.0,1.0,0.0,3.0,2.0,3.0,19.0,14.3,-14.0
2014-11-12,DEN,POR,24.980821917808218,1.0,23.55,3.0,8.0,0.375,0.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,10.0,7.7,-10.0
2014-11-14,DEN,IND,24.986301369863014,1.0,23.6,5.0,6.0,0.833,0.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,12.0,10.4,12.0
2014-11-16,DEN,NYK,24.991780821917807,1.0,32.0,7.0,9.0,0.778,0.0,0.0,0.0,2.0,5.0,0.4,4.0,5.0,9.0,1.0,2.0,0.0,2.0,4.0,16.0,14.7,0.0
2014-11-17,DEN,CLE,24.994520547945207,1.0,21.633333333333333,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,7.4,10.0
2014-11-19,DEN,OKC,25.0,1.0,30.066666666666666,3.0,7.0,0.429,0.0,0.0,0.0,2.0,3.0,0.667,3.0,7.0,10.0,0.0,1.0,0.0,1.0,0.0,8.0,8.1,13.0
2014-11-21,DEN,NOP,25.005479452054793,1.0,27.25,7.0,12.0,0.583,1.0,1.0,1.0,4.0,5.0,0.8,3.0,5.0,8.0,2.0,1.0,0.0,1.0,2.0,19.0,17.2,6.0
2014-11-23,DEN,LAL,25.01095890410959,1.0,19.2,4.0,9.0,0.444,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,2.4,-11.0
2014-11-25,DEN,CHI,25.016438356164382,1.0,23.516666666666666,5.0,11.0,0.455,0.0,0.0,0.0,2.0,5.0,0.4,4.0,5.0,9.0,0.0,1.0,0.0,1.0,1.0,12.0,9.0,8.0
2014-11-26,DEN,PHO,25.019178082191782,1.0,29.4,3.0,8.0,0.375,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,1.0,0.0,5.0,2.0,8.0,1.0,4.0
2014-11-28,DEN,PHO,25.024657534246575,1.0,20.466666666666665,3.0,6.0,0.5,0.0,0.0,0.0,5.0,5.0,1.0,3.0,6.0,9.0,1.0,0.0,0.0,1.0,3.0,11.0,10.4,15.0
2014-12-01,DEN,UTA,25.03287671232877,1.0,29.016666666666666,4.0,9.0,0.444,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,11.0,8.9,1.0
2014-12-02,DEN,POR,25.035616438356165,1.0,23.683333333333334,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,6.1,-1.0
2014-12-05,DEN,WAS,25.043835616438358,1.0,18.383333333333333,4.0,5.0,0.8,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,0.0,5.0,1.0,9.0,5.3,-10.0
2014-12-10,DEN,MIA,25.057534246575344,0.0,22.116666666666667,4.0,9.0,0.444,0.0,0.0,0.0,5.0,6.0,0.833,4.0,4.0,8.0,1.0,0.0,0.0,0.0,2.0,13.0,11.8,11.0
2014-12-13,DEN,HOU,25.065753424657533,0.0,20.133333333333333,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,7.0,5.1,2.0
2014-12-17,DEN,HOU,25.076712328767123,1.0,32.31666666666667,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,4.0,7.0,11.0,2.0,0.0,0.0,3.0,6.0,11.0,5.1,-14.0
2014-12-19,DEN,LAC,25.08219178082192,1.0,28.283333333333335,6.0,9.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,1.0,6.0,7.0,2.0,1.0,0.0,4.0,5.0,14.0,8.6,10.0
