date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DET,DEN,21.693150684931506,1.0,35.65,3.0,19.0,0.158,1.0,8.0,0.125,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,1.0,1.0,1.0,7.0,-0.8,-4.0
2014-10-30,DET,MIN,21.695890410958903,1.0,41.483333333333334,5.0,13.0,0.385,1.0,2.0,0.5,0.0,2.0,0.0,4.0,2.0,6.0,2.0,2.0,0.0,1.0,2.0,11.0,8.1,-9.0
2014-11-01,DET,BRK,21.7013698630137,1.0,40.9,3.0,10.0,0.3,0.0,6.0,0.0,4.0,4.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0,3.0,2.0,10.0,3.2,-10.0
2014-11-05,DET,NYK,21.71232876712329,1.0,34.61666666666667,8.0,14.0,0.571,4.0,7.0,0.571,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,20.0,12.0,-7.0
2014-11-07,DET,MIL,21.71780821917808,1.0,30.366666666666667,7.0,11.0,0.636,3.0,5.0,0.6,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,19.0,13.4,5.0
2014-11-09,DET,UTA,21.723287671232878,1.0,33.78333333333333,3.0,13.0,0.231,3.0,9.0,0.333,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,2.1,8.0
2014-11-10,DET,CHI,21.726027397260275,1.0,28.616666666666667,3.0,9.0,0.333,1.0,3.0,0.333,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,3.7,-10.0
2014-11-12,DET,WAS,21.731506849315068,1.0,35.016666666666666,8.0,14.0,0.571,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,20.0,12.5,-1.0
2014-11-14,DET,OKC,21.736986301369864,1.0,41.25,3.0,10.0,0.3,1.0,6.0,0.167,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,1.8,-6.0
2014-11-15,DET,MEM,21.73972602739726,1.0,25.75,1.0,11.0,0.091,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,-3.7,-7.0
2014-11-17,DET,ORL,21.745205479452054,1.0,34.46666666666667,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,10.0,5.3,-14.0
2014-11-19,DET,PHO,21.75068493150685,1.0,27.883333333333333,6.0,13.0,0.462,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,15.0,11.5,3.0
2014-11-21,DET,ATL,21.756164383561643,1.0,31.616666666666667,1.0,7.0,0.143,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,1.7,-16.0
2014-11-25,DET,MIL,21.767123287671232,1.0,21.183333333333334,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,6.0,1.7,-11.0
2014-11-26,DET,LAC,21.76986301369863,1.0,40.916666666666664,5.0,11.0,0.455,3.0,7.0,0.429,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,17.0,10.1,-4.0
2014-11-28,DET,MIL,21.775342465753425,1.0,34.65,7.0,19.0,0.368,4.0,9.0,0.444,3.0,6.0,0.5,4.0,2.0,6.0,0.0,1.0,0.0,0.0,3.0,21.0,12.5,3.0
2014-11-30,DET,GSW,21.78082191780822,1.0,36.4,8.0,15.0,0.533,4.0,7.0,0.571,3.0,5.0,0.6,1.0,3.0,4.0,1.0,2.0,0.0,2.0,2.0,23.0,16.4,-3.0
2014-12-02,DET,LAL,21.786301369863015,1.0,33.083333333333336,3.0,9.0,0.333,0.0,3.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,1.3,-12.0
2014-12-03,DET,BOS,21.78904109589041,1.0,41.0,6.0,15.0,0.4,3.0,8.0,0.375,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.0,0.0,1.0,3.0,15.0,9.6,1.0
2014-12-06,DET,PHI,21.797260273972604,1.0,29.666666666666668,2.0,10.0,0.2,0.0,3.0,0.0,5.0,7.0,0.714,1.0,5.0,6.0,0.0,2.0,0.0,2.0,1.0,9.0,3.8,-6.0
2014-12-07,DET,OKC,21.8,1.0,32.5,6.0,12.0,0.5,1.0,5.0,0.2,6.0,7.0,0.857,1.0,2.0,3.0,5.0,1.0,0.0,3.0,4.0,19.0,13.8,6.0
2014-12-09,DET,POR,21.805479452054794,1.0,24.983333333333334,4.0,7.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,11.0,5.9,-13.0
2014-12-12,DET,PHO,21.813698630136987,1.0,29.8,5.0,9.0,0.556,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,1.0,3.0,0.0,3.0,4.0,14.0,10.7,1.0
2014-12-13,DET,SAC,21.816438356164383,1.0,27.8,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,4.8,1.0
2014-12-15,DET,LAC,21.82191780821918,1.0,26.35,1.0,5.0,0.2,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,3.0,2.0,-1.9,-13.0
2014-12-17,DET,DAL,21.827397260273973,1.0,28.033333333333335,5.0,15.0,0.333,3.0,9.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,5.7,3.0
2014-12-19,DET,TOR,21.832876712328765,1.0,26.9,7.0,12.0,0.583,4.0,6.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,18.0,12.6,3.0
2014-12-21,DET,BRK,21.838356164383562,1.0,32.583333333333336,6.0,15.0,0.4,5.0,10.0,0.5,3.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,20.0,12.9,2.0
2014-12-26,DET,IND,21.852054794520548,1.0,34.016666666666666,6.0,13.0,0.462,2.0,5.0,0.4,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,15.0,10.1,11.0
2014-12-28,DET,CLE,21.85753424657534,1.0,21.6,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,13.0,9.9,16.0
2014-12-30,DET,ORL,21.863013698630137,1.0,24.9,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,17.0
2015-01-02,DET,NYK,21.87123287671233,1.0,31.883333333333333,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,12.0,9.6,22.0
2015-01-04,DET,SAC,21.876712328767123,1.0,26.566666666666666,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,9.0,5.7,12.0
2015-01-06,DET,SAS,21.882191780821916,1.0,36.56666666666667,4.0,9.0,0.444,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,10.0,4.7,1.0
