date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,CLE,NYK,29.832876712328765,1.0,43.233333333333334,5.0,15.0,0.333,1.0,5.0,0.2,6.0,7.0,0.857,0.0,5.0,5.0,4.0,0.0,0.0,8.0,3.0,17.0,3.2,-13.0
2014-10-31,CLE,CHI,29.835616438356166,1.0,41.666666666666664,14.0,30.0,0.467,1.0,3.0,0.333,7.0,9.0,0.778,1.0,7.0,8.0,5.0,4.0,1.0,3.0,1.0,36.0,27.4,-3.0
2014-11-04,CLE,POR,29.846575342465755,1.0,34.93333333333333,4.0,12.0,0.333,2.0,4.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,7.0,1.0,0.0,3.0,2.0,11.0,8.8,-15.0
2014-11-05,CLE,UTA,29.84931506849315,1.0,42.03333333333333,8.0,18.0,0.444,3.0,5.0,0.6,12.0,12.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,4.0,2.0,31.0,23.5,3.0
2014-11-07,CLE,DEN,29.854794520547944,1.0,39.63333333333333,8.0,18.0,0.444,1.0,5.0,0.2,5.0,6.0,0.833,0.0,7.0,7.0,11.0,1.0,1.0,3.0,1.0,22.0,20.3,14.0
2014-11-10,CLE,NOP,29.863013698630137,1.0,40.43333333333333,9.0,17.0,0.529,1.0,3.0,0.333,13.0,17.0,0.765,2.0,9.0,11.0,9.0,1.0,1.0,4.0,1.0,32.0,29.8,15.0
2014-11-14,CLE,BOS,29.873972602739727,1.0,40.85,16.0,27.0,0.593,3.0,8.0,0.375,6.0,9.0,0.667,0.0,4.0,4.0,7.0,0.0,1.0,3.0,4.0,41.0,29.5,10.0
2014-11-15,CLE,ATL,29.876712328767123,1.0,28.9,13.0,20.0,0.65,4.0,5.0,0.8,2.0,4.0,0.5,2.0,4.0,6.0,7.0,0.0,1.0,3.0,1.0,32.0,27.2,14.0
2014-11-17,CLE,DEN,29.882191780821916,1.0,40.56666666666667,8.0,18.0,0.444,1.0,4.0,0.25,5.0,7.0,0.714,0.0,9.0,9.0,5.0,0.0,2.0,4.0,2.0,22.0,14.6,-13.0
2014-11-19,CLE,SAS,29.887671232876713,1.0,34.1,6.0,17.0,0.353,2.0,3.0,0.667,1.0,1.0,1.0,3.0,3.0,6.0,9.0,1.0,1.0,5.0,3.0,15.0,10.3,-3.0
2014-11-21,CLE,WAS,29.893150684931506,1.0,39.03333333333333,8.0,21.0,0.381,2.0,7.0,0.286,4.0,7.0,0.571,3.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,22.0,13.2,-13.0
2014-11-22,CLE,TOR,29.895890410958906,1.0,37.28333333333333,6.0,12.0,0.5,1.0,4.0,0.25,2.0,3.0,0.667,0.0,1.0,1.0,10.0,1.0,1.0,5.0,2.0,15.0,11.8,-8.0
2014-11-24,CLE,ORL,29.9013698630137,1.0,31.0,9.0,17.0,0.529,2.0,4.0,0.5,9.0,11.0,0.818,1.0,3.0,4.0,11.0,3.0,0.0,1.0,0.0,29.0,31.2,19.0
2014-11-26,CLE,WAS,29.90684931506849,1.0,36.083333333333336,7.0,14.0,0.5,1.0,5.0,0.2,14.0,17.0,0.824,1.0,9.0,10.0,8.0,3.0,0.0,4.0,3.0,29.0,27.6,24.0
2014-11-29,CLE,IND,29.915068493150685,1.0,31.733333333333334,9.0,18.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,7.0,1.0,0.0,3.0,1.0,19.0,12.7,14.0
2014-12-02,CLE,MIL,29.923287671232877,1.0,41.083333333333336,6.0,15.0,0.4,0.0,4.0,0.0,14.0,21.0,0.667,1.0,4.0,5.0,10.0,0.0,0.0,7.0,1.0,26.0,16.6,16.0
2014-12-04,CLE,NYK,29.92876712328767,1.0,39.516666666666666,7.0,17.0,0.412,1.0,6.0,0.167,4.0,7.0,0.571,1.0,4.0,5.0,12.0,2.0,0.0,4.0,2.0,19.0,16.2,12.0
2014-12-05,CLE,TOR,29.931506849315067,1.0,42.45,9.0,18.0,0.5,2.0,4.0,0.5,4.0,6.0,0.667,0.0,7.0,7.0,13.0,3.0,1.0,4.0,2.0,24.0,24.3,11.0
2014-12-08,CLE,BRK,29.93972602739726,1.0,33.9,8.0,17.0,0.471,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,7.0,3.0,0.0,3.0,2.0,18.0,14.2,20.0
2014-12-09,CLE,TOR,29.942465753424656,1.0,41.88333333333333,12.0,21.0,0.571,2.0,5.0,0.4,9.0,9.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,35.0,29.9,7.0
2014-12-12,CLE,NOP,29.95068493150685,1.0,37.61666666666667,17.0,24.0,0.708,2.0,2.0,1.0,5.0,8.0,0.625,0.0,5.0,5.0,5.0,0.0,1.0,2.0,1.0,41.0,33.1,-3.0
2014-12-15,CLE,CHO,29.958904109589042,1.0,40.3,11.0,19.0,0.579,2.0,3.0,0.667,3.0,4.0,0.75,0.0,7.0,7.0,14.0,1.0,3.0,5.0,2.0,27.0,26.9,16.0
2014-12-17,CLE,ATL,29.964383561643835,1.0,29.033333333333335,8.0,16.0,0.5,0.0,2.0,0.0,5.0,7.0,0.714,0.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,21.0,14.5,-18.0
2014-12-19,CLE,BRK,29.96986301369863,1.0,39.93333333333333,7.0,18.0,0.389,2.0,4.0,0.5,6.0,8.0,0.75,1.0,3.0,4.0,9.0,2.0,0.0,4.0,4.0,22.0,15.7,-5.0
2014-12-21,CLE,MEM,29.975342465753425,1.0,37.55,9.0,15.0,0.6,3.0,5.0,0.6,4.0,6.0,0.667,0.0,1.0,1.0,11.0,0.0,1.0,5.0,1.0,25.0,20.6,8.0
2014-12-23,CLE,MIN,29.980821917808218,1.0,34.63333333333333,8.0,16.0,0.5,4.0,7.0,0.571,4.0,5.0,0.8,0.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,24.0,18.8,22.0
2014-12-25,CLE,MIA,29.986301369863014,1.0,40.03333333333333,9.0,16.0,0.563,2.0,8.0,0.25,10.0,18.0,0.556,0.0,4.0,4.0,8.0,0.0,0.0,4.0,1.0,30.0,21.6,-9.0
2014-12-26,CLE,ORL,29.98904109589041,1.0,36.93333333333333,10.0,20.0,0.5,0.0,5.0,0.0,9.0,11.0,0.818,0.0,5.0,5.0,8.0,2.0,2.0,4.0,1.0,29.0,24.3,7.0
2014-12-28,CLE,DET,29.994520547945207,1.0,31.85,5.0,19.0,0.263,2.0,6.0,0.333,5.0,5.0,1.0,1.0,9.0,10.0,7.0,1.0,0.0,7.0,3.0,17.0,6.8,-17.0
