date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-01-28,MIN,BOS,24.424657534246574,0.0,24.083333333333332,3.0,6.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,11.0,8.2,9.0
2015-01-30,MIN,PHI,24.43013698630137,0.0,23.483333333333334,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,4.0,2.5,-15.0
2015-01-31,MIN,CLE,24.432876712328767,1.0,47.916666666666664,0.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,9.0,0.0,0.0,3.0,3.0,1.0,1.4,-16.0
2015-02-02,MIN,DAL,24.438356164383563,0.0,1.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-6.0
2015-02-08,MIN,DET,24.454794520547946,0.0,1.5166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2015-02-23,MIN,HOU,24.495890410958904,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,MIN,WAS,24.5013698630137,0.0,1.8166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-03-07,MIN,POR,24.528767123287672,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
2015-03-09,MIN,LAC,24.534246575342465,0.0,3.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.9,6.0
2015-03-11,MIN,PHO,24.53972602739726,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,5.0
2015-03-13,MIN,OKC,24.545205479452054,0.0,1.8666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.3,4.0
2015-03-15,MIN,SAS,24.55068493150685,0.0,16.2,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,6.0,8.5,-1.0
2015-03-16,MIN,BRK,24.553424657534247,0.0,17.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0
2015-03-18,MIN,TOR,24.55890410958904,0.0,19.733333333333334,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,2.0,8.0,12.8,3.0
2015-03-19,MIN,NYK,24.561643835616437,0.0,25.633333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,3.6,4.0
2015-03-22,MIN,CHO,24.56986301369863,0.0,17.166666666666668,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,9.0,10.8,-4.0
2015-03-23,MIN,UTA,24.572602739726026,1.0,44.65,4.0,5.0,0.8,0.0,0.0,0.0,2.0,3.0,0.667,1.0,6.0,7.0,6.0,2.0,0.0,3.0,5.0,10.0,11.4,-4.0
2015-03-25,MIN,LAL,24.578082191780823,1.0,34.916666666666664,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,1.0,3.0,0.0,1.0,5.0,8.0,7.1,-8.0
2015-03-27,MIN,HOU,24.583561643835615,1.0,36.71666666666667,3.0,11.0,0.273,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,2.0,2.0,6.0,3.8,-11.0
2015-03-29,MIN,NOP,24.589041095890412,1.0,36.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,4.0,2.0,8.0,6.7,-23.0
2015-03-30,MIN,UTA,24.59178082191781,1.0,30.366666666666667,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,1.0,7.0,9.2,-16.0
2015-04-01,MIN,TOR,24.5972602739726,1.0,24.466666666666665,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,7.0,8.4,-17.0
2015-04-03,MIN,ORL,24.602739726027398,0.0,9.416666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.1,-5.0
2015-04-07,MIN,SAC,24.613698630136987,0.0,11.65,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.6,-9.0
2015-04-08,MIN,POR,24.616438356164384,0.0,18.3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,3.2,-5.0
2015-04-10,MIN,LAL,24.621917808219177,0.0,30.366666666666667,4.0,11.0,0.364,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,1.0,4.0,10.0,8.7,14.0
2015-04-11,MIN,GSW,24.624657534246577,0.0,23.55,2.0,8.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,3.0,2.0,0.0,1.0,2.0,5.0,4.3,3.0
2015-04-13,MIN,NOP,24.63013698630137,0.0,24.583333333333332,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,1.6,-1.0
2015-04-15,MIN,OKC,24.635616438356166,0.0,20.033333333333335,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,13.0,10.2,-4.0
