date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,TOR,ATL,28.005479452054793,0.0,15.283333333333333,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,3.6,6.0
2014-11-01,TOR,ORL,28.013698630136986,0.0,17.383333333333333,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,3.9,-4.0
2014-11-02,TOR,MIA,28.016438356164382,0.0,20.616666666666667,1.0,4.0,0.25,0.0,2.0,0.0,6.0,10.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,2.5,15.0
2014-11-04,TOR,OKC,28.02191780821918,0.0,18.833333333333332,4.0,9.0,0.444,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,12.0,8.9,5.0
2014-11-05,TOR,BOS,28.024657534246575,0.0,24.016666666666666,5.0,10.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,11.0,8.9,0.0
2014-11-07,TOR,WAS,28.03013698630137,0.0,16.35,5.0,11.0,0.455,1.0,3.0,0.333,2.0,5.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,13.0,4.6,-1.0
2014-11-09,TOR,PHI,28.035616438356165,0.0,17.566666666666666,5.0,9.0,0.556,1.0,2.0,0.5,5.0,6.0,0.833,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,16.0,12.0,24.0
2014-11-11,TOR,ORL,28.041095890410958,0.0,15.65,5.0,8.0,0.625,1.0,3.0,0.333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,9.0,3.0
2014-11-13,TOR,CHI,28.046575342465754,0.0,15.716666666666667,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.9,-9.0
2014-11-15,TOR,UTA,28.052054794520547,0.0,23.683333333333334,4.0,13.0,0.308,2.0,5.0,0.4,3.0,4.0,0.75,1.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,13.0,6.3,7.0
2014-11-19,TOR,MEM,28.063013698630137,0.0,17.766666666666666,4.0,8.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,13.0,11.3,11.0
2014-11-21,TOR,MIL,28.068493150684933,0.0,19.4,7.0,14.0,0.5,5.0,7.0,0.714,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,22.0,17.3,18.0
2014-11-22,TOR,CLE,28.07123287671233,0.0,29.433333333333334,9.0,19.0,0.474,3.0,8.0,0.375,15.0,15.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,36.0,32.0,37.0
2014-11-24,TOR,PHO,28.076712328767123,0.0,25.5,6.0,12.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,17.0,11.4,5.0
2014-11-26,TOR,ATL,28.08219178082192,0.0,26.3,6.0,11.0,0.545,4.0,6.0,0.667,6.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,22.0,20.7,12.0
2014-11-28,TOR,DAL,28.087671232876712,0.0,29.9,5.0,11.0,0.455,2.0,7.0,0.286,4.0,5.0,0.8,0.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,16.0,8.7,10.0
2014-11-30,TOR,LAL,28.09315068493151,0.0,25.866666666666667,5.0,17.0,0.294,3.0,9.0,0.333,6.0,7.0,0.857,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,19.0,9.2,6.0
2014-12-02,TOR,SAC,28.0986301369863,0.0,18.783333333333335,1.0,9.0,0.111,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,-4.1,-12.0
2014-12-03,TOR,UTA,28.101369863013698,0.0,25.966666666666665,5.0,9.0,0.556,1.0,2.0,0.5,6.0,6.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,2.0,2.0,17.0,14.8,10.0
2014-12-05,TOR,CLE,28.106849315068494,0.0,20.133333333333333,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,5.0,-0.2,-11.0
2014-12-08,TOR,DEN,28.115068493150684,0.0,28.016666666666666,7.0,16.0,0.438,3.0,10.0,0.3,9.0,10.0,0.9,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,26.0,17.1,6.0
2014-12-09,TOR,CLE,28.117808219178084,0.0,19.75,2.0,8.0,0.25,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,3.0,6.0,2.1,1.0
2014-12-12,TOR,IND,28.126027397260273,0.0,29.666666666666668,9.0,18.0,0.5,5.0,7.0,0.714,3.0,3.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,26.0,18.7,15.0
2014-12-14,TOR,NYK,28.13150684931507,0.0,31.866666666666667,5.0,15.0,0.333,2.0,8.0,0.25,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,15.0,7.5,1.0
2014-12-15,TOR,ORL,28.134246575342466,0.0,28.35,6.0,14.0,0.429,1.0,5.0,0.2,5.0,7.0,0.714,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,18.0,12.5,8.0
2014-12-17,TOR,BRK,28.13972602739726,0.0,25.366666666666667,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,6.3,14.0
2014-12-19,TOR,DET,28.145205479452056,0.0,28.333333333333332,4.0,8.0,0.5,2.0,4.0,0.5,5.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,15.0,14.0,-5.0
2014-12-21,TOR,NYK,28.15068493150685,0.0,26.4,6.0,14.0,0.429,4.0,10.0,0.4,6.0,6.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,22.0,16.5,5.0
2014-12-22,TOR,CHI,28.153424657534245,0.0,26.016666666666666,3.0,10.0,0.3,0.0,4.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,12.0,9.4,-5.0
2014-12-27,TOR,LAC,28.167123287671235,0.0,28.616666666666667,2.0,9.0,0.222,2.0,6.0,0.333,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,6.6,4.0
2014-12-28,TOR,DEN,28.16986301369863,0.0,34.266666666666666,11.0,18.0,0.611,4.0,7.0,0.571,5.0,9.0,0.556,2.0,3.0,5.0,2.0,1.0,0.0,0.0,4.0,31.0,24.3,18.0
2014-12-30,TOR,POR,28.175342465753424,0.0,25.45,1.0,10.0,0.1,0.0,5.0,0.0,5.0,5.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,-0.7,0.0
2015-01-02,TOR,GSW,28.183561643835617,0.0,32.61666666666667,6.0,14.0,0.429,1.0,5.0,0.2,7.0,7.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,20.0,12.5,-6.0
2015-01-04,TOR,PHO,28.18904109589041,0.0,28.1,4.0,10.0,0.4,2.0,6.0,0.333,7.0,7.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,17.0,13.4,-7.0
2015-01-08,TOR,CHO,28.2,0.0,28.35,4.0,15.0,0.267,0.0,7.0,0.0,7.0,8.0,0.875,0.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,15.0,9.4,0.0
2015-01-10,TOR,BOS,28.205479452054796,0.0,30.2,6.0,16.0,0.375,3.0,9.0,0.333,4.0,8.0,0.5,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,19.0,10.9,12.0
2015-01-12,TOR,DET,28.21095890410959,0.0,23.633333333333333,7.0,14.0,0.5,1.0,5.0,0.2,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,15.0,6.3,6.0
2015-01-14,TOR,PHI,28.216438356164385,0.0,23.6,6.0,12.0,0.5,4.0,8.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,19.0,13.0,-4.0
2015-01-16,TOR,ATL,28.221917808219178,0.0,20.683333333333334,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,-6.0
2015-01-18,TOR,NOP,28.22739726027397,0.0,20.7,4.0,9.0,0.444,0.0,3.0,0.0,9.0,10.0,0.9,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,14.6,0.0
2015-01-19,TOR,MIL,28.23013698630137,0.0,28.233333333333334,4.0,12.0,0.333,2.0,4.0,0.5,5.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,15.0,11.8,0.0
2015-01-21,TOR,MEM,28.235616438356164,0.0,23.716666666666665,6.0,15.0,0.4,2.0,8.0,0.25,7.0,7.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,21.0,12.8,-2.0
2015-01-23,TOR,PHI,28.24109589041096,0.0,24.733333333333334,3.0,11.0,0.273,0.0,4.0,0.0,5.0,6.0,0.833,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,11.0,8.1,12.0
2015-01-25,TOR,DET,28.246575342465754,0.0,22.266666666666666,5.0,12.0,0.417,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,12.0,8.5,2.0
2015-01-27,TOR,IND,28.252054794520546,0.0,29.216666666666665,3.0,10.0,0.3,2.0,7.0,0.286,6.0,7.0,0.857,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,14.0,9.4,18.0
2015-01-28,TOR,SAC,28.254794520547946,0.0,26.1,7.0,16.0,0.438,4.0,12.0,0.333,9.0,9.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,27.0,21.8,16.0
2015-01-30,TOR,BRK,28.26027397260274,0.0,29.383333333333333,6.0,12.0,0.5,3.0,7.0,0.429,10.0,11.0,0.909,0.0,4.0,4.0,3.0,0.0,0.0,1.0,4.0,25.0,19.3,-4.0
2015-01-31,TOR,WAS,28.263013698630136,0.0,29.266666666666666,8.0,16.0,0.5,2.0,7.0,0.286,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,1.0,2.0,19.0,16.0,13.0
2015-02-02,TOR,MIL,28.268493150684932,0.0,28.516666666666666,1.0,12.0,0.083,1.0,7.0,0.143,9.0,10.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,1.5,-2.0
2015-02-04,TOR,BRK,28.273972602739725,0.0,20.8,1.0,11.0,0.091,1.0,9.0,0.111,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,-2.7,-13.0
2015-02-06,TOR,LAC,28.279452054794522,0.0,28.366666666666667,4.0,9.0,0.444,3.0,6.0,0.5,7.0,9.0,0.778,0.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,18.0,15.5,25.0
2015-02-08,TOR,SAS,28.284931506849315,0.0,14.7,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-5.3,-15.0
2015-02-11,TOR,WAS,28.293150684931508,0.0,33.86666666666667,8.0,16.0,0.5,4.0,8.0,0.5,7.0,7.0,1.0,0.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,27.0,23.6,5.0
2015-02-20,TOR,ATL,28.317808219178083,0.0,24.316666666666666,9.0,14.0,0.643,7.0,10.0,0.7,1.0,2.0,0.5,0.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,26.0,25.3,23.0
2015-02-23,TOR,NOP,28.326027397260273,0.0,24.766666666666666,1.0,8.0,0.125,1.0,5.0,0.2,6.0,7.0,0.857,0.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,9.0,4.4,-9.0
2015-02-24,TOR,DAL,28.328767123287673,0.0,21.616666666666667,4.0,10.0,0.4,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,10.0,2.8,-1.0
2015-02-27,TOR,GSW,28.336986301369862,0.0,26.4,2.0,7.0,0.286,1.0,4.0,0.25,7.0,8.0,0.875,0.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,12.0,7.9,-6.0
