date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIA,WAS,29.536986301369865,1.0,30.3,4.0,8.0,0.5,0.0,2.0,0.0,4.0,5.0,0.8,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,12.0,8.2,5.0
2014-11-01,MIA,PHI,29.545205479452054,1.0,29.183333333333334,7.0,11.0,0.636,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,15.0,14.1,4.0
2014-11-02,MIA,TOR,29.54794520547945,1.0,36.88333333333333,8.0,14.0,0.571,0.0,2.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,3.0,1.0,1.0,0.0,3.0,18.0,15.2,12.0
2014-11-04,MIA,HOU,29.553424657534247,1.0,23.433333333333334,3.0,9.0,0.333,1.0,1.0,1.0,4.0,6.0,0.667,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,11.0,2.6,-14.0
2014-11-05,MIA,CHO,29.556164383561644,1.0,27.7,3.0,9.0,0.333,0.0,2.0,0.0,3.0,5.0,0.6,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,9.0,6.0,2.0
2014-11-08,MIA,MIN,29.564383561643837,1.0,31.65,6.0,9.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,14.0,12.3,10.0
2014-11-09,MIA,DAL,29.567123287671233,1.0,36.68333333333333,13.0,19.0,0.684,4.0,9.0,0.444,0.0,2.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,30.0,26.0,15.0
2014-11-12,MIA,IND,29.575342465753426,1.0,34.53333333333333,2.0,10.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,2.0,5.0,7.0,0.0,2.0,1.0,0.0,1.0,5.0,4.0,-10.0
2014-11-14,MIA,ATL,29.58082191780822,1.0,35.43333333333333,5.0,12.0,0.417,3.0,5.0,0.6,6.0,7.0,0.857,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,19.0,14.5,-4.0
2014-11-16,MIA,MIL,29.586301369863016,1.0,36.916666666666664,3.0,11.0,0.273,1.0,3.0,0.333,3.0,4.0,0.75,2.0,4.0,6.0,2.0,3.0,0.0,2.0,3.0,10.0,6.9,-1.0
2014-11-20,MIA,LAC,29.5972602739726,1.0,28.283333333333335,5.0,10.0,0.5,0.0,4.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,9.9,-9.0
2014-11-22,MIA,ORL,29.602739726027398,1.0,32.86666666666667,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,0.0,2.0,3.0,9.0,4.6,6.0
2014-11-23,MIA,CHO,29.605479452054794,1.0,37.81666666666667,10.0,14.0,0.714,2.0,3.0,0.667,4.0,5.0,0.8,1.0,7.0,8.0,3.0,0.0,1.0,0.0,2.0,26.0,24.6,6.0
2014-11-25,MIA,GSW,29.610958904109587,1.0,31.75,6.0,11.0,0.545,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,16.0,11.9,-25.0
2014-11-30,MIA,NYK,29.624657534246577,1.0,37.7,2.0,11.0,0.182,0.0,4.0,0.0,6.0,8.0,0.75,5.0,5.0,10.0,2.0,3.0,0.0,2.0,3.0,10.0,8.5,0.0
2014-12-01,MIA,WAS,29.627397260273973,1.0,23.6,2.0,7.0,0.286,0.0,2.0,0.0,5.0,7.0,0.714,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,9.0,5.0,-5.0
2014-12-03,MIA,ATL,29.632876712328766,1.0,16.583333333333332,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,5.0,2.4,-4.0
2014-12-07,MIA,MEM,29.643835616438356,1.0,27.483333333333334,6.0,12.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,13.0,10.6,-3.0
2014-12-09,MIA,PHO,29.649315068493152,1.0,33.5,9.0,12.0,0.75,3.0,4.0,0.75,2.0,4.0,0.5,1.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,23.0,19.9,16.0
2014-12-10,MIA,DEN,29.65205479452055,1.0,26.216666666666665,5.0,10.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,7.9,-8.0
2014-12-12,MIA,UTA,29.65753424657534,1.0,33.81666666666667,5.0,7.0,0.714,1.0,2.0,0.5,3.0,4.0,0.75,2.0,4.0,6.0,2.0,1.0,0.0,2.0,1.0,14.0,13.3,7.0
2014-12-14,MIA,CHI,29.663013698630138,1.0,33.483333333333334,6.0,14.0,0.429,1.0,3.0,0.333,4.0,4.0,1.0,4.0,6.0,10.0,1.0,1.0,2.0,1.0,1.0,17.0,15.9,-8.0
2014-12-16,MIA,BRK,29.66849315068493,1.0,40.666666666666664,5.0,13.0,0.385,2.0,7.0,0.286,6.0,8.0,0.75,1.0,5.0,6.0,4.0,1.0,0.0,4.0,2.0,18.0,11.3,1.0
2014-12-17,MIA,UTA,29.671232876712327,1.0,31.016666666666666,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,3.0,8.0,6.8,-18.0
2014-12-19,MIA,WAS,29.676712328767124,1.0,36.86666666666667,7.0,12.0,0.583,2.0,3.0,0.667,3.0,4.0,0.75,0.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,19.0,15.7,-2.0
2014-12-21,MIA,BOS,29.682191780821917,1.0,36.4,9.0,15.0,0.6,1.0,2.0,0.5,4.0,4.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,23.0,17.7,14.0
2014-12-23,MIA,PHI,29.687671232876713,1.0,32.166666666666664,3.0,11.0,0.273,1.0,6.0,0.167,0.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0,0.0,3.0,1.0,7.0,3.1,9.0
2014-12-25,MIA,CLE,29.693150684931506,1.0,40.03333333333333,11.0,16.0,0.688,1.0,3.0,0.333,2.0,2.0,1.0,3.0,5.0,8.0,8.0,0.0,0.0,2.0,4.0,25.0,23.8,9.0
2014-12-27,MIA,MEM,29.698630136986303,1.0,39.53333333333333,6.0,10.0,0.6,1.0,1.0,1.0,3.0,4.0,0.75,2.0,4.0,6.0,3.0,3.0,0.0,4.0,3.0,16.0,13.5,-5.0
2014-12-29,MIA,ORL,29.704109589041096,1.0,38.1,5.0,11.0,0.455,1.0,3.0,0.333,3.0,4.0,0.75,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,14.0,7.8,-3.0
2014-12-31,MIA,IND,29.70958904109589,1.0,32.31666666666667,6.0,11.0,0.545,0.0,2.0,0.0,3.0,5.0,0.6,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,11.9,-7.0
2015-01-03,MIA,HOU,29.71780821917808,1.0,24.4,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,0.0,4.0,1.0,10.0,6.7,-15.0
2015-01-04,MIA,BRK,29.720547945205478,1.0,25.066666666666666,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,6.0,5.8,9.0
2015-01-08,MIA,POR,29.731506849315068,1.0,34.13333333333333,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,2.0,7.0,1.4,-19.0
2015-01-11,MIA,LAC,29.73972602739726,1.0,34.4,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,3.0,10.0,6.2,3.0
2015-01-13,MIA,LAL,29.745205479452054,1.0,36.53333333333333,4.0,13.0,0.308,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,2.0,1.0,8.0,2.3,4.0
2015-01-14,MIA,GSW,29.747945205479454,1.0,33.78333333333333,6.0,11.0,0.545,2.0,4.0,0.5,5.0,8.0,0.625,3.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0,19.0,15.1,-12.0
2015-01-16,MIA,SAC,29.753424657534246,1.0,37.3,11.0,18.0,0.611,2.0,4.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,4.0,2.0,2.0,0.0,0.0,25.0,24.8,10.0
2015-01-20,MIA,OKC,29.764383561643836,1.0,28.633333333333333,2.0,6.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,8.0,3.7,-5.0
2015-01-23,MIA,IND,29.77260273972603,1.0,35.13333333333333,9.0,13.0,0.692,3.0,3.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,23.0,19.3,-2.0
2015-01-25,MIA,CHI,29.778082191780822,1.0,38.28333333333333,5.0,15.0,0.333,0.0,2.0,0.0,5.0,7.0,0.714,3.0,7.0,10.0,4.0,0.0,1.0,1.0,1.0,15.0,12.0,12.0
2015-02-03,MIA,DET,29.802739726027397,1.0,30.1,3.0,9.0,0.333,0.0,2.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,10.0,6.5,9.0
2015-02-04,MIA,MIN,29.805479452054794,1.0,34.416666666666664,6.0,10.0,0.6,1.0,2.0,0.5,5.0,7.0,0.714,2.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,18.0,15.3,5.0
2015-02-06,MIA,SAS,29.81095890410959,1.0,33.583333333333336,6.0,13.0,0.462,1.0,2.0,0.5,4.0,4.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,17.0,8.7,-15.0
2015-02-09,MIA,NYK,29.81917808219178,1.0,33.483333333333334,3.0,9.0,0.333,0.0,2.0,0.0,6.0,6.0,1.0,3.0,4.0,7.0,2.0,0.0,0.0,3.0,2.0,12.0,7.8,6.0
2015-02-11,MIA,CLE,29.824657534246576,1.0,40.2,5.0,13.0,0.385,3.0,5.0,0.6,4.0,4.0,1.0,2.0,5.0,7.0,2.0,2.0,2.0,4.0,1.0,17.0,13.2,-4.0
2015-02-20,MIA,NYK,29.84931506849315,1.0,34.016666666666666,3.0,9.0,0.333,0.0,1.0,0.0,7.0,8.0,0.875,4.0,4.0,8.0,8.0,2.0,0.0,5.0,1.0,13.0,13.7,19.0
2015-02-21,MIA,NOP,29.852054794520548,1.0,31.266666666666666,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,6.0,-0.2,-20.0
2015-02-23,MIA,PHI,29.85753424657534,1.0,32.81666666666667,11.0,14.0,0.786,4.0,5.0,0.8,3.0,4.0,0.75,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,29.0,24.1,23.0
2015-02-25,MIA,ORL,29.863013698630137,1.0,39.96666666666667,8.0,14.0,0.571,1.0,2.0,0.5,4.0,6.0,0.667,1.0,6.0,7.0,2.0,1.0,0.0,0.0,2.0,21.0,17.7,9.0
2015-02-27,MIA,NOP,29.86849315068493,1.0,37.7,7.0,11.0,0.636,1.0,3.0,0.333,7.0,8.0,0.875,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,22.0,18.8,2.0
2015-02-28,MIA,ATL,29.87123287671233,1.0,39.833333333333336,2.0,7.0,0.286,2.0,5.0,0.4,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,8.0,0.0,8.0,-1.4,3.0
2015-03-02,MIA,PHO,29.876712328767123,1.0,38.31666666666667,4.0,11.0,0.364,2.0,6.0,0.333,2.0,4.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,12.0,7.0,4.0
2015-03-04,MIA,LAL,29.882191780821916,1.0,35.016666666666666,5.0,11.0,0.455,0.0,4.0,0.0,5.0,6.0,0.833,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,15.0,10.3,18.0
