date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BOS,BRK,27.4,0.0,14.3,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,7.3,-1.0
2014-11-01,BOS,HOU,27.40821917808219,0.0,19.083333333333332,4.0,10.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.3,-10.0
2014-11-03,BOS,DAL,27.413698630136988,0.0,12.083333333333334,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.9,-7.0
2014-11-05,BOS,TOR,27.41917808219178,0.0,15.05,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.6,-8.0
2014-11-07,BOS,IND,27.424657534246574,0.0,7.416666666666667,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.6,2.0
2014-11-08,BOS,CHI,27.427397260273974,0.0,15.066666666666666,5.0,9.0,0.556,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,-9.0
2014-11-14,BOS,CLE,27.443835616438356,0.0,18.15,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,12.0,8.9,6.0
2014-11-17,BOS,PHO,27.45205479452055,0.0,10.166666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.7,2.0
2014-11-19,BOS,PHI,27.457534246575342,0.0,20.383333333333333,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,13.0,14.8,11.0
2014-11-21,BOS,MEM,27.463013698630135,0.0,18.9,4.0,11.0,0.364,2.0,7.0,0.286,1.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,11.0,4.2,-4.0
2014-11-23,BOS,POR,27.46849315068493,0.0,14.55,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,-11.0
2014-11-28,BOS,CHI,27.482191780821918,0.0,15.166666666666666,0.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.5,2.0
2014-11-30,BOS,SAS,27.487671232876714,0.0,20.95,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,10.0,5.9,4.0
2014-12-02,BOS,ATL,27.493150684931507,0.0,15.183333333333334,3.0,7.0,0.429,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,5.9,-9.0
2014-12-03,BOS,DET,27.495890410958904,0.0,6.233333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,-2.0
2014-12-05,BOS,LAL,27.5013698630137,0.0,7.5,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.6,-2.0
