date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,SAS,DAL,34.56438356164384,1.0,14.533333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.0,6.0
2014-11-06,SAS,HOU,34.58904109589041,1.0,15.233333333333333,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3.6,-11.0
2014-11-10,SAS,LAC,34.6,1.0,23.116666666666667,2.0,10.0,0.2,1.0,7.0,0.143,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,5.0,-0.7,-2.0
2014-11-11,SAS,GSW,34.602739726027394,1.0,23.9,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,5.3,6.0
2014-11-14,SAS,LAL,34.61095890410959,1.0,20.066666666666666,2.0,4.0,0.5,2.0,3.0,0.667,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,7.8,11.0
2014-11-15,SAS,SAC,34.61369863013699,0.0,10.333333333333334,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,2.4,-1.0
2014-11-17,SAS,PHI,34.61917808219178,1.0,20.266666666666666,7.0,10.0,0.7,4.0,6.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,18.0,15.8,26.0
2014-11-26,SAS,IND,34.64383561643836,0.0,14.383333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0
2014-11-28,SAS,SAC,34.64931506849315,0.0,15.383333333333333,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,8.0,8.5,4.0
2014-11-30,SAS,BOS,34.654794520547945,0.0,20.633333333333333,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,5.9,10.0
2014-12-01,SAS,PHI,34.657534246575345,0.0,14.366666666666667,5.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,12.0,12.2,6.0
2014-12-03,SAS,BRK,34.66301369863014,0.0,20.933333333333334,3.0,10.0,0.3,1.0,6.0,0.167,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.5,-2.0
2014-12-05,SAS,MEM,34.66849315068493,1.0,20.716666666666665,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,9.0,6.2,6.0
2014-12-06,SAS,MIN,34.67123287671233,1.0,24.716666666666665,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,8.0,-1.0
2014-12-09,SAS,UTA,34.679452054794524,1.0,20.85,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,3.1,6.0
2014-12-10,SAS,NYK,34.68219178082192,1.0,21.716666666666665,4.0,5.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,10.0,9.7,11.0
2014-12-12,SAS,LAL,34.68767123287671,1.0,21.85,1.0,4.0,0.25,0.0,3.0,0.0,3.0,5.0,0.6,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,3.5,2.0
2014-12-14,SAS,DEN,34.69315068493151,0.0,13.233333333333333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.1,-4.0
2014-12-15,SAS,POR,34.6958904109589,0.0,6.483333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
2014-12-17,SAS,MEM,34.701369863013696,1.0,14.666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.5,-14.0
2014-12-19,SAS,POR,34.706849315068496,0.0,20.3,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.6,-10.0
2014-12-20,SAS,DAL,34.70958904109589,0.0,25.833333333333332,3.0,4.0,0.75,0.0,0.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,14.0,13.2,7.0
2014-12-22,SAS,LAC,34.71506849315068,0.0,3.216666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-3.0
2014-12-25,SAS,OKC,34.723287671232875,0.0,31.8,6.0,12.0,0.5,3.0,8.0,0.375,2.0,3.0,0.667,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,17.0,13.6,9.0
2014-12-26,SAS,NOP,34.726027397260275,0.0,7.516666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.2,-6.0
2014-12-28,SAS,HOU,34.73150684931507,0.0,12.35,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3,18.0
2014-12-30,SAS,MEM,34.73698630136986,0.0,19.366666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0
2014-12-31,SAS,NOP,34.73972602739726,1.0,24.3,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,-2.3,-7.0
2015-01-03,SAS,WAS,34.74794520547945,0.0,2.066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
2015-01-06,SAS,DET,34.75616438356165,0.0,7.883333333333333,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,-7.0
2015-01-09,SAS,PHO,34.76438356164383,0.0,9.65,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,12.0
2015-01-10,SAS,MIN,34.76712328767123,0.0,21.616666666666667,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.8,7.0
2015-01-13,SAS,WAS,34.775342465753425,0.0,7.083333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1,1.0
2015-01-14,SAS,CHO,34.778082191780825,1.0,29.483333333333334,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,1.0,7.0,8.0,3.0,0.0,4.0,1.0,4.0,8.0,10.8,2.0
2015-01-16,SAS,POR,34.78356164383562,0.0,2.6166666666666667,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-3.0
2015-01-18,SAS,UTA,34.78904109589041,0.0,8.783333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0
2015-01-20,SAS,DEN,34.794520547945204,0.0,5.7,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.2,1.0
2015-01-22,SAS,CHI,34.8,0.0,13.183333333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.4,0.0
2015-01-23,SAS,LAL,34.8027397260274,1.0,18.683333333333334,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.4,2.0
2015-01-25,SAS,MIL,34.80821917808219,1.0,15.833333333333334,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.9,-4.0
2015-01-28,SAS,CHO,34.81643835616438,1.0,31.216666666666665,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,10.0,9.3,-6.0
2015-01-31,SAS,LAC,34.824657534246576,0.0,8.216666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-7.0
2015-02-06,SAS,MIA,34.84109589041096,0.0,16.066666666666666,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,12.0
2015-02-08,SAS,TOR,34.846575342465755,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,SAS,IND,34.84931506849315,1.0,11.516666666666667,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.2,3.0
2015-02-11,SAS,DET,34.85479452054795,0.0,7.15,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-4.0
2015-02-19,SAS,LAC,34.87671232876713,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,SAS,GSW,34.87945205479452,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.3,10.0
