date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,CLE,NYK,24.14246575342466,0.0,17.983333333333334,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,5.6,6.0
2014-10-31,CLE,CHI,24.145205479452056,0.0,29.533333333333335,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.5,15.0
2014-11-04,CLE,POR,24.156164383561645,0.0,11.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.2,-7.0
2014-12-08,CLE,BRK,24.24931506849315,0.0,16.45,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,-0.1,3.0
2014-12-09,CLE,TOR,24.252054794520546,0.0,21.266666666666666,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,6.0,8.0,12.0
2014-12-11,CLE,OKC,24.257534246575343,1.0,33.53333333333333,5.0,8.0,0.625,4.0,6.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,0.0,3.0,4.0,14.0,11.5,7.0
2014-12-12,CLE,NOP,24.26027397260274,0.0,23.883333333333333,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,0.1,-17.0
2014-12-15,CLE,CHO,24.268493150684932,0.0,11.55,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-6.0
2014-12-17,CLE,ATL,24.273972602739725,0.0,21.05,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0,-0.3,-21.0
2014-12-19,CLE,BRK,24.279452054794522,0.0,13.116666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,3.7,9.0
2014-12-21,CLE,MEM,24.284931506849315,0.0,14.15,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,-10.0
2014-12-23,CLE,MIN,24.29041095890411,0.0,13.466666666666667,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,1.5,7.0
2014-12-25,CLE,MIA,24.295890410958904,0.0,15.266666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.5,-3.0
2014-12-26,CLE,ORL,24.2986301369863,1.0,36.21666666666667,2.0,7.0,0.286,2.0,7.0,0.286,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,8.0,3.1,10.0
2014-12-28,CLE,DET,24.304109589041097,1.0,26.083333333333332,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.5,-4.0
2014-12-30,CLE,ATL,24.30958904109589,1.0,21.116666666666667,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,1.8,-4.0
2014-12-31,CLE,MIL,24.312328767123287,1.0,29.616666666666667,3.0,8.0,0.375,3.0,5.0,0.6,2.0,2.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,11.0,8.8,0.0
2015-01-02,CLE,CHO,24.317808219178083,1.0,33.75,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,4.0,0.0,0.0,0.0,5.0,3.0,3.9,5.0
2015-01-04,CLE,DAL,24.323287671232876,1.0,31.516666666666666,4.0,10.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,3.0,3.0,10.0,6.6,-16.0
2015-01-05,CLE,PHI,24.326027397260273,1.0,39.13333333333333,1.0,7.0,0.143,1.0,2.0,0.5,0.0,2.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,2.0,2.0,3.0,2.5,-3.0
2015-01-07,CLE,HOU,24.33150684931507,1.0,34.81666666666667,3.0,8.0,0.375,2.0,5.0,0.4,1.0,2.0,0.5,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,9.0,6.2,0.0
2015-01-09,CLE,GSW,24.336986301369862,0.0,15.383333333333333,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,1.6,-20.0
2015-01-11,CLE,SAC,24.34246575342466,0.0,23.85,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,4.0,6.0,4.8,-6.0
