date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MEM,MIN,27.04931506849315,1.0,33.983333333333334,7.0,14.0,0.5,1.0,4.0,0.25,1.0,3.0,0.333,1.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,16.0,11.9,15.0
2014-10-31,MEM,IND,27.054794520547944,1.0,33.2,6.0,19.0,0.316,3.0,8.0,0.375,2.0,3.0,0.667,0.0,2.0,2.0,4.0,1.0,0.0,4.0,2.0,17.0,5.3,11.0
2014-11-01,MEM,CHO,27.057534246575344,1.0,33.71666666666667,3.0,14.0,0.214,0.0,3.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,7.0,1.0,0.0,3.0,2.0,9.0,3.7,-4.0
2014-11-03,MEM,NOP,27.063013698630137,1.0,30.233333333333334,2.0,10.0,0.2,0.0,1.0,0.0,7.0,7.0,1.0,0.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,11.0,9.8,19.0
2014-11-05,MEM,PHO,27.068493150684933,1.0,29.216666666666665,9.0,14.0,0.643,3.0,4.0,0.75,3.0,5.0,0.6,0.0,1.0,1.0,11.0,2.0,0.0,1.0,2.0,24.0,25.2,12.0
2014-11-07,MEM,OKC,27.073972602739726,1.0,35.0,7.0,14.0,0.5,3.0,4.0,0.75,3.0,4.0,0.75,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,20.0,18.0,0.0
2014-11-08,MEM,MIL,27.076712328767123,1.0,28.566666666666666,2.0,8.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,4.0,2.0,0.0,3.0,2.0,7.0,2.8,5.0
2014-11-11,MEM,LAL,27.084931506849315,1.0,35.35,7.0,16.0,0.438,2.0,4.0,0.5,7.0,7.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,4.0,2.0,23.0,15.2,3.0
2014-11-13,MEM,SAC,27.09041095890411,1.0,38.733333333333334,8.0,17.0,0.471,1.0,3.0,0.333,5.0,6.0,0.833,0.0,1.0,1.0,11.0,1.0,0.0,1.0,4.0,22.0,19.3,13.0
2014-11-15,MEM,DET,27.095890410958905,1.0,32.666666666666664,5.0,10.0,0.5,2.0,2.0,1.0,6.0,6.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,18.0,12.2,2.0
2014-11-17,MEM,HOU,27.101369863013698,1.0,23.383333333333333,6.0,10.0,0.6,1.0,3.0,0.333,6.0,6.0,1.0,1.0,1.0,2.0,6.0,2.0,0.0,1.0,1.0,19.0,20.2,19.0
2014-11-19,MEM,TOR,27.106849315068494,1.0,42.46666666666667,7.0,17.0,0.412,1.0,1.0,1.0,4.0,4.0,1.0,1.0,9.0,10.0,5.0,1.0,0.0,2.0,4.0,19.0,14.2,3.0
2014-11-21,MEM,BOS,27.112328767123287,1.0,27.5,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,1.0,0.0,15.0,16.9,22.0
2014-11-23,MEM,LAC,27.117808219178084,1.0,26.95,2.0,6.0,0.333,1.0,3.0,0.333,2.0,5.0,0.4,0.0,3.0,3.0,7.0,0.0,0.0,2.0,3.0,7.0,5.0,13.0
2014-11-26,MEM,LAL,27.126027397260273,1.0,30.033333333333335,6.0,11.0,0.545,1.0,4.0,0.25,6.0,6.0,1.0,1.0,1.0,2.0,7.0,1.0,0.0,3.0,2.0,19.0,16.8,11.0
2014-11-28,MEM,POR,27.13150684931507,1.0,38.36666666666667,8.0,17.0,0.471,0.0,1.0,0.0,5.0,5.0,1.0,2.0,8.0,10.0,9.0,0.0,0.0,1.0,1.0,21.0,21.0,21.0
2014-11-30,MEM,SAC,27.136986301369863,1.0,31.016666666666666,4.0,11.0,0.364,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,6.0,1.0,0.0,3.0,3.0,10.0,5.8,5.0
2014-12-03,MEM,HOU,27.145205479452056,1.0,27.3,5.0,9.0,0.556,1.0,4.0,0.25,4.0,4.0,1.0,1.0,1.0,2.0,6.0,3.0,0.0,5.0,2.0,15.0,13.1,-20.0
2014-12-05,MEM,SAS,27.15068493150685,1.0,38.38333333333333,7.0,15.0,0.467,1.0,3.0,0.333,8.0,9.0,0.889,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,23.0,22.8,1.0
2014-12-07,MEM,MIA,27.156164383561645,1.0,27.916666666666668,8.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,18.0,14.0,2.0
2014-12-09,MEM,DAL,27.161643835616438,1.0,33.266666666666666,9.0,13.0,0.692,2.0,4.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,1.0,0.0,22.0,20.8,14.0
