date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,34.00821917808219,0.0,19.466666666666665,1.0,5.0,0.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,1.9,-14.0
2014-10-30,OKC,LAC,34.010958904109586,0.0,15.3,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,3.0,2.0,6.0,3.0,-3.0
2014-11-01,OKC,DEN,34.016438356164386,0.0,24.066666666666666,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,4.0,0.0,1.0,0.0,0.0,2.0,5.5,9.0
2014-11-03,OKC,BRK,34.02191780821918,0.0,19.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-12.0
2014-11-04,OKC,TOR,34.02465753424657,0.0,26.633333333333333,4.0,7.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,2.0,6.0,8.0,1.0,0.0,1.0,2.0,3.0,11.0,8.7,-7.0
2014-11-07,OKC,MEM,34.032876712328765,0.0,24.5,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,-7.0
2014-11-09,OKC,SAC,34.038356164383565,0.0,25.366666666666667,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,0.0,1.0,4.0,10.0,10.8,11.0
2014-11-11,OKC,MIL,34.04383561643836,0.0,14.883333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,-0.8,-8.0
2014-11-12,OKC,BOS,34.04657534246575,0.0,27.15,4.0,10.0,0.4,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,12.0,8.7,16.0
2014-11-14,OKC,DET,34.05205479452055,0.0,16.633333333333333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.9,0.0
2014-11-16,OKC,HOU,34.057534246575344,0.0,15.6,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,2.3,-6.0
2014-11-18,OKC,UTA,34.06301369863014,0.0,21.55,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,8.0,5.6,-4.0
2014-11-19,OKC,DEN,34.06575342465754,0.0,19.65,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,5.4,-1.0
2014-11-21,OKC,BRK,34.07123287671233,0.0,15.433333333333334,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,-7.0
2014-11-23,OKC,GSW,34.07671232876712,0.0,16.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.4,-5.0
2014-11-26,OKC,UTA,34.084931506849315,0.0,11.8,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,-0.7,13.0
2014-11-28,OKC,NYK,34.09041095890411,0.0,18.916666666666668,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.6,13.0
2014-12-02,OKC,NOP,34.1013698630137,0.0,6.616666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,-1.0,-2.0
2014-12-05,OKC,PHI,34.10958904109589,0.0,8.083333333333334,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,4.9,8.0
2014-12-07,OKC,DET,34.11506849315069,0.0,15.183333333333334,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,0.0,1.0,1.0,4.0,0.0,1.9,6.0
2014-12-11,OKC,CLE,34.12602739726027,0.0,19.916666666666668,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,0.0,4.0,2.0,4.1,-3.0
2014-12-12,OKC,MIN,34.12876712328767,0.0,7.783333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.8,8.0
