date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,CHI,NYK,34.31506849315068,1.0,29.166666666666668,7.0,11.0,0.636,0.0,0.0,0.0,7.0,8.0,0.875,4.0,7.0,11.0,0.0,0.0,0.0,1.0,1.0,21.0,19.2,15.0
2014-10-31,CHI,CLE,34.320547945205476,1.0,36.5,6.0,18.0,0.333,0.0,0.0,0.0,3.0,3.0,1.0,1.0,8.0,9.0,3.0,0.0,6.0,3.0,0.0,15.0,11.2,0.0
2014-11-01,CHI,MIN,34.323287671232876,1.0,35.81666666666667,7.0,12.0,0.583,0.0,0.0,0.0,6.0,9.0,0.667,1.0,5.0,6.0,2.0,0.0,4.0,5.0,3.0,20.0,13.4,-8.0
2014-11-04,CHI,ORL,34.33150684931507,1.0,40.983333333333334,7.0,16.0,0.438,0.0,0.0,0.0,2.0,4.0,0.5,2.0,11.0,13.0,2.0,1.0,2.0,1.0,2.0,16.0,13.5,1.0
2014-11-05,CHI,MIL,34.33424657534247,1.0,35.833333333333336,8.0,14.0,0.571,0.0,0.0,0.0,6.0,7.0,0.857,2.0,12.0,14.0,1.0,0.0,1.0,2.0,2.0,22.0,18.6,8.0
2014-11-07,CHI,PHI,34.33972602739726,1.0,34.38333333333333,6.0,11.0,0.545,0.0,0.0,0.0,5.0,5.0,1.0,2.0,10.0,12.0,1.0,1.0,2.0,4.0,2.0,17.0,14.4,22.0
2014-11-08,CHI,BOS,34.342465753424655,1.0,31.233333333333334,8.0,17.0,0.471,0.0,1.0,0.0,3.0,5.0,0.6,2.0,7.0,9.0,3.0,0.0,0.0,2.0,1.0,19.0,12.7,-6.0
2014-11-10,CHI,DET,34.347945205479455,1.0,35.3,8.0,17.0,0.471,0.0,1.0,0.0,1.0,2.0,0.5,3.0,12.0,15.0,4.0,1.0,4.0,1.0,0.0,17.0,19.2,14.0
2014-11-13,CHI,TOR,34.35616438356164,1.0,35.016666666666666,12.0,19.0,0.632,0.0,0.0,0.0,3.0,4.0,0.75,2.0,9.0,11.0,2.0,1.0,3.0,2.0,2.0,27.0,23.9,11.0
2014-11-15,CHI,IND,34.36164383561644,1.0,33.8,4.0,15.0,0.267,0.0,0.0,0.0,4.0,4.0,1.0,4.0,2.0,6.0,1.0,0.0,3.0,0.0,3.0,12.0,8.1,4.0
2014-11-24,CHI,UTA,34.38630136986301,1.0,37.46666666666667,11.0,20.0,0.55,0.0,0.0,0.0,1.0,3.0,0.333,2.0,7.0,9.0,4.0,3.0,2.0,2.0,2.0,23.0,20.5,-2.0
2014-11-25,CHI,DEN,34.38904109589041,1.0,36.2,10.0,20.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,3.0,8.0,11.0,3.0,1.0,0.0,2.0,3.0,22.0,16.0,-5.0
2014-11-28,CHI,BOS,34.397260273972606,1.0,33.88333333333333,6.0,19.0,0.316,0.0,0.0,0.0,3.0,4.0,0.75,3.0,12.0,15.0,1.0,0.0,0.0,2.0,2.0,15.0,7.3,3.0
2014-11-30,CHI,BRK,34.4027397260274,1.0,32.93333333333333,9.0,12.0,0.75,0.0,0.0,0.0,7.0,8.0,0.875,1.0,12.0,13.0,1.0,1.0,2.0,2.0,2.0,25.0,24.4,11.0
2014-12-02,CHI,DAL,34.40821917808219,1.0,50.15,12.0,25.0,0.48,0.0,1.0,0.0,5.0,5.0,1.0,3.0,11.0,14.0,2.0,1.0,1.0,3.0,3.0,29.0,20.6,-6.0
2014-12-03,CHI,CHO,34.41095890410959,1.0,36.18333333333333,7.0,19.0,0.368,0.0,0.0,0.0,5.0,7.0,0.714,1.0,14.0,15.0,3.0,0.0,0.0,2.0,2.0,19.0,11.9,0.0
2014-12-06,CHI,GSW,34.41917808219178,1.0,36.46666666666667,10.0,19.0,0.526,0.0,0.0,0.0,2.0,2.0,1.0,5.0,15.0,20.0,3.0,1.0,1.0,3.0,2.0,22.0,20.7,-7.0
