date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,ATL,TOR,29.715068493150685,1.0,32.13333333333333,4.0,13.0,0.308,0.0,2.0,0.0,5.0,9.0,0.556,5.0,5.0,10.0,5.0,1.0,0.0,4.0,3.0,13.0,8.2,-14.0
2014-11-01,ATL,IND,29.723287671232878,1.0,34.0,5.0,9.0,0.556,1.0,3.0,0.333,2.0,4.0,0.5,0.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,13.0,9.3,4.0
2014-11-05,ATL,SAS,29.734246575342464,1.0,35.483333333333334,8.0,18.0,0.444,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,3.0,5.0,2.0,1.0,4.0,17.0,16.4,-5.0
2014-11-07,ATL,CHO,29.73972602739726,1.0,42.916666666666664,4.0,11.0,0.364,1.0,3.0,0.333,4.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,0.0,6.0,5.0,13.0,4.2,7.0
2014-11-08,ATL,NYK,29.742465753424657,1.0,36.31666666666667,3.0,11.0,0.273,0.0,2.0,0.0,5.0,8.0,0.625,2.0,11.0,13.0,3.0,0.0,1.0,3.0,3.0,11.0,6.6,9.0
2014-11-10,ATL,NYK,29.747945205479454,1.0,33.78333333333333,6.0,14.0,0.429,3.0,4.0,0.75,4.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,0.0,4.0,3.0,19.0,12.4,7.0
2014-11-12,ATL,UTA,29.753424657534246,1.0,39.8,13.0,23.0,0.565,4.0,8.0,0.5,0.0,0.0,0.0,6.0,11.0,17.0,3.0,2.0,2.0,2.0,2.0,30.0,29.3,7.0
2014-11-14,ATL,MIA,29.75890410958904,1.0,34.016666666666666,7.0,15.0,0.467,2.0,5.0,0.4,3.0,6.0,0.5,1.0,8.0,9.0,2.0,2.0,1.0,2.0,1.0,19.0,14.9,2.0
2014-11-15,ATL,CLE,29.76164383561644,1.0,28.433333333333334,7.0,13.0,0.538,0.0,2.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,4.0,1.0,1.0,1.0,2.0,16.0,15.3,-9.0
2014-11-18,ATL,LAL,29.76986301369863,1.0,32.55,11.0,16.0,0.688,2.0,4.0,0.5,5.0,8.0,0.625,0.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,29.0,27.9,-2.0
2014-11-21,ATL,DET,29.778082191780822,1.0,36.916666666666664,5.0,12.0,0.417,0.0,2.0,0.0,5.0,10.0,0.5,3.0,9.0,12.0,4.0,2.0,0.0,2.0,3.0,15.0,13.0,19.0
2014-11-25,ATL,WAS,29.78904109589041,1.0,33.31666666666667,7.0,14.0,0.5,1.0,2.0,0.5,2.0,3.0,0.667,1.0,10.0,11.0,1.0,4.0,1.0,2.0,5.0,17.0,14.7,5.0
2014-11-26,ATL,TOR,29.791780821917808,1.0,35.95,3.0,9.0,0.333,0.0,3.0,0.0,2.0,4.0,0.5,3.0,2.0,5.0,4.0,1.0,0.0,1.0,2.0,8.0,6.8,-7.0
2014-11-28,ATL,NOP,29.797260273972604,1.0,37.06666666666667,5.0,9.0,0.556,0.0,1.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,4.0,4.0,2.0,4.0,3.0,13.0,15.2,5.0
2014-11-29,ATL,CHO,29.8,1.0,23.883333333333333,7.0,10.0,0.7,0.0,1.0,0.0,4.0,5.0,0.8,1.0,5.0,6.0,1.0,3.0,0.0,1.0,2.0,18.0,17.5,28.0
