date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,25.96164383561644,1.0,32.65,11.0,26.0,0.423,1.0,2.0,0.5,15.0,16.0,0.938,2.0,1.0,3.0,6.0,3.0,0.0,2.0,3.0,38.0,29.5,-4.0
2014-10-30,OKC,LAC,25.964383561643835,1.0,8.716666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,2.0,0.3,-3.0
2014-11-28,OKC,NYK,26.043835616438358,1.0,23.8,12.0,17.0,0.706,3.0,4.0,0.75,5.0,7.0,0.714,4.0,3.0,7.0,8.0,1.0,0.0,3.0,2.0,32.0,30.6,24.0
2014-12-02,OKC,NOP,26.054794520547944,1.0,33.03333333333333,6.0,20.0,0.3,1.0,4.0,0.25,8.0,9.0,0.889,1.0,5.0,6.0,7.0,2.0,0.0,7.0,3.0,21.0,9.9,-16.0
2014-12-05,OKC,PHI,26.063013698630137,1.0,30.716666666666665,8.0,14.0,0.571,1.0,3.0,0.333,10.0,14.0,0.714,0.0,5.0,5.0,7.0,2.0,0.0,6.0,3.0,27.0,20.0,9.0
2014-12-07,OKC,DET,26.068493150684933,1.0,34.666666666666664,9.0,19.0,0.474,1.0,3.0,0.333,3.0,6.0,0.5,1.0,10.0,11.0,7.0,0.0,0.0,4.0,1.0,22.0,15.3,-9.0
2014-12-09,OKC,MIL,26.073972602739726,1.0,32.11666666666667,8.0,16.0,0.5,0.0,2.0,0.0,12.0,15.0,0.8,2.0,3.0,5.0,7.0,3.0,0.0,5.0,5.0,28.0,22.0,24.0
2014-12-11,OKC,CLE,26.07945205479452,1.0,35.75,12.0,24.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,8.0,1.0,0.0,4.0,0.0,26.0,19.1,5.0
2014-12-12,OKC,MIN,26.08219178082192,1.0,35.75,12.0,19.0,0.632,2.0,3.0,0.667,8.0,9.0,0.889,1.0,5.0,6.0,6.0,2.0,0.0,4.0,3.0,34.0,28.3,16.0
2014-12-14,OKC,PHO,26.087671232876712,1.0,26.516666666666666,7.0,18.0,0.389,1.0,4.0,0.25,13.0,13.0,1.0,4.0,4.0,8.0,8.0,2.0,0.0,3.0,2.0,28.0,26.0,17.0
