date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,33.47123287671233,1.0,19.85,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0,2.0,6.0,7.0,-3.0
2014-10-30,NYK,CLE,33.47397260273973,1.0,5.566666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2014-11-02,NYK,CHO,33.48219178082192,1.0,22.35,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,3.0,4.0,0.0,-1.7,11.0
2014-11-04,NYK,WAS,33.487671232876714,1.0,20.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,2.0,2.0,2.0,2.0,3.2,-12.0
2014-11-05,NYK,DET,33.49041095890411,1.0,14.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,4.6,-8.0
2014-11-07,NYK,BRK,33.49589041095891,1.0,4.866666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-1.2,0.0
2014-11-08,NYK,ATL,33.4986301369863,1.0,24.766666666666666,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,0.0,3.0,1.0,2.0,7.0,9.7,-1.0
2014-11-10,NYK,ATL,33.50410958904109,1.0,16.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,-0.5,3.0
2014-11-12,NYK,ORL,33.50958904109589,1.0,27.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,5.0,0.0,0.0,2.0,9.5,1.0
2014-11-14,NYK,UTA,33.515068493150686,1.0,18.316666666666666,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,3.5,-10.0
2014-11-16,NYK,DEN,33.52054794520548,1.0,22.133333333333333,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,1.0,1.0,0.0,2.0,8.0,10.3,16.0
2014-11-18,NYK,MIL,33.52602739726027,1.0,17.416666666666668,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.3,-20.0
2014-11-19,NYK,MIN,33.52876712328767,1.0,8.366666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.9,-13.0
2014-11-22,NYK,PHI,33.536986301369865,1.0,23.55,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,2.0,4.0,6.0,3.4,11.0
2014-11-24,NYK,HOU,33.54246575342466,1.0,15.316666666666666,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,1.0
2014-11-26,NYK,DAL,33.54794520547945,1.0,25.466666666666665,5.0,10.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,3.0,10.0,13.0,0.0,2.0,2.0,2.0,5.0,13.0,12.1,-4.0
2014-11-28,NYK,OKC,33.553424657534244,1.0,19.116666666666667,4.0,10.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,0.0,2.0,0.0,1.0,9.0,7.8,-8.0
2014-11-30,NYK,MIA,33.558904109589044,1.0,19.55,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,1.0,1.0,0.0,3.0,2.0,3.3,-10.0
2014-12-02,NYK,BRK,33.56438356164384,1.0,14.883333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,0.5,-11.0
2014-12-04,NYK,CLE,33.56986301369863,0.0,18.016666666666666,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,2.0,0.0,2.0,5.0,6.0,4.5,-11.0
2014-12-05,NYK,CHO,33.57260273972603,1.0,21.15,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,2.0,3.0,0.0,6.0,5.3,-13.0
