date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,23.616438356164384,1.0,22.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,2.0,1.0,2.0,3.0,4.9,-4.0
2014-10-31,IND,MEM,23.621917808219177,1.0,16.8,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,2.3,-17.0
2014-11-01,IND,ATL,23.624657534246577,1.0,34.333333333333336,3.0,8.0,0.375,2.0,5.0,0.4,2.0,2.0,1.0,2.0,3.0,5.0,6.0,1.0,0.0,2.0,1.0,10.0,10.7,-2.0
2014-11-04,IND,MIL,23.632876712328766,1.0,28.816666666666666,5.0,11.0,0.455,1.0,3.0,0.333,1.0,2.0,0.5,1.0,4.0,5.0,0.0,2.0,0.0,4.0,1.0,12.0,5.4,-12.0
2014-11-05,IND,WAS,23.635616438356166,1.0,36.983333333333334,5.0,9.0,0.556,1.0,2.0,0.5,3.0,4.0,0.75,2.0,6.0,8.0,2.0,1.0,1.0,2.0,5.0,14.0,11.6,0.0
2014-11-07,IND,BOS,23.64109589041096,1.0,39.46666666666667,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,12.0,4.8,-1.0
2014-11-08,IND,WAS,23.643835616438356,1.0,42.75,10.0,19.0,0.526,1.0,3.0,0.333,7.0,11.0,0.636,2.0,4.0,6.0,1.0,3.0,0.0,3.0,2.0,28.0,19.6,-5.0
2014-11-10,IND,UTA,23.649315068493152,1.0,36.71666666666667,5.0,12.0,0.417,0.0,1.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,13.0,8.1,3.0
2014-11-12,IND,MIA,23.654794520547945,1.0,42.3,1.0,12.0,0.083,1.0,4.0,0.25,6.0,8.0,0.75,5.0,5.0,10.0,0.0,1.0,0.0,2.0,4.0,9.0,2.6,4.0
2014-11-14,IND,DEN,23.660273972602738,1.0,37.0,5.0,16.0,0.313,1.0,4.0,0.25,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,12.0,4.3,-15.0
2014-11-15,IND,CHI,23.663013698630138,1.0,33.31666666666667,6.0,14.0,0.429,1.0,3.0,0.333,8.0,9.0,0.889,4.0,8.0,12.0,1.0,1.0,0.0,1.0,2.0,21.0,18.3,-4.0
2014-11-19,IND,CHO,23.673972602739727,1.0,37.5,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,6.0,0.5,15.0
2014-11-22,IND,PHO,23.682191780821917,1.0,35.21666666666667,6.0,13.0,0.462,1.0,4.0,0.25,0.0,0.0,0.0,3.0,3.0,6.0,4.0,2.0,0.0,3.0,4.0,13.0,9.5,-17.0
2014-11-24,IND,DAL,23.687671232876713,1.0,32.983333333333334,4.0,8.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,2.0,4.0,6.0,3.0,1.0,0.0,2.0,3.0,12.0,10.5,1.0
2014-11-26,IND,SAS,23.693150684931506,1.0,28.916666666666668,4.0,8.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,10.0,6.6,-11.0
2014-11-28,IND,ORL,23.698630136986303,1.0,30.333333333333332,4.0,11.0,0.364,1.0,4.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,3.0,11.0,8.8,12.0
2014-11-29,IND,CLE,23.7013698630137,1.0,31.383333333333333,4.0,11.0,0.364,2.0,5.0,0.4,3.0,4.0,0.75,2.0,1.0,3.0,3.0,0.0,1.0,2.0,4.0,13.0,7.4,-22.0
