date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-31,MEM,IND,34.67123287671233,0.0,17.916666666666668,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.9,15.0
2014-11-01,MEM,CHO,34.673972602739724,1.0,18.233333333333334,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,-0.5,0.0
2014-11-03,MEM,NOP,34.679452054794524,1.0,33.016666666666666,6.0,12.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,14.0,8.3,2.0
2014-11-08,MEM,MIL,34.69315068493151,0.0,27.266666666666666,3.0,10.0,0.3,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,8.0,5.1,-4.0
2014-11-13,MEM,SAC,34.706849315068496,1.0,10.8,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.7,-20.0
2014-11-15,MEM,DET,34.71232876712329,1.0,15.25,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.2,5.0
2014-11-19,MEM,TOR,34.723287671232875,1.0,34.3,6.0,8.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,15.0,10.4,-2.0
2014-11-21,MEM,BOS,34.728767123287675,1.0,26.433333333333334,3.0,9.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,2.0,7.0,3.3,12.0
2014-11-26,MEM,LAL,34.74246575342466,0.0,8.233333333333333,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9,-3.0
2014-12-05,MEM,SAS,34.76712328767123,0.0,32.916666666666664,8.0,11.0,0.727,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,20.0,19.5,2.0
2014-12-07,MEM,MIA,34.772602739726025,0.0,29.2,3.0,8.0,0.375,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.6,18.0
2014-12-09,MEM,DAL,34.778082191780825,0.0,29.05,4.0,9.0,0.444,2.0,3.0,0.667,1.0,1.0,1.0,1.0,6.0,7.0,2.0,1.0,0.0,0.0,2.0,11.0,10.4,12.0
2014-12-12,MEM,CHO,34.78630136986301,0.0,14.683333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.1,-7.0
2014-12-13,MEM,PHI,34.78904109589041,0.0,16.833333333333332,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,6.0,3.0,-17.0
2014-12-16,MEM,GSW,34.797260273972604,0.0,23.283333333333335,1.0,6.0,0.167,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,2.5,8.0
2014-12-19,MEM,CHI,34.8054794520548,1.0,23.833333333333332,3.0,8.0,0.375,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,4.6,-4.0
2014-12-21,MEM,CLE,34.81095890410959,1.0,21.666666666666668,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,-3.0
2014-12-22,MEM,UTA,34.81369863013698,1.0,23.55,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.3,-1.0
2014-12-26,MEM,HOU,34.824657534246576,0.0,29.366666666666667,4.0,12.0,0.333,0.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,9.0,4.0,1.0,0.0,0.0,0.0,8.0,9.3,-11.0
2014-12-27,MEM,MIA,34.827397260273976,0.0,31.666666666666668,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,10.4,-9.0
2014-12-30,MEM,SAS,34.83561643835616,0.0,33.733333333333334,4.0,7.0,0.571,0.0,1.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,0.0,0.0,3.0,1.0,12.0,9.6,5.0
2015-01-02,MEM,LAL,34.843835616438355,0.0,29.45,4.0,7.0,0.571,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,12.0,11.5,8.0
2015-01-03,MEM,DEN,34.846575342465755,0.0,18.616666666666667,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.2,-27.0
2015-01-05,MEM,NYK,34.85205479452055,0.0,23.1,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,1.0,1.0,8.0,9.3,21.0
2015-01-07,MEM,ATL,34.85753424657534,0.0,30.883333333333333,5.0,11.0,0.455,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,12.0,8.3,-4.0
2015-01-09,MEM,NOP,34.863013698630134,0.0,24.616666666666667,2.0,7.0,0.286,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,6.0,1.6,-10.0
2015-01-19,BOS,LAC,34.89041095890411,0.0,19.466666666666665,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.3,4.0
2015-01-22,BOS,POR,34.8986301369863,0.0,23.816666666666666,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,9.0,8.7,-1.0
2015-01-23,BOS,DEN,34.9013698630137,0.0,16.766666666666666,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,1.3,1.0
2015-01-25,BOS,GSW,34.90684931506849,0.0,18.55,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.9,-7.0
2015-01-26,BOS,UTA,34.90958904109589,0.0,30.033333333333335,7.0,10.0,0.7,2.0,3.0,0.667,3.0,4.0,0.75,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,19.0,18.1,16.0
2015-01-28,BOS,MIN,34.915068493150685,0.0,22.966666666666665,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,12.0,10.3,3.0
2015-01-30,BOS,HOU,34.92054794520548,0.0,21.05,6.0,10.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,13.0,11.0,-6.0
2015-02-07,BOS,MIL,34.942465753424656,0.0,18.483333333333334,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,8.0,8.7,3.0
2015-02-11,BOS,ATL,34.95342465753425,0.0,27.05,2.0,6.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,7.0,7.8,11.0
2015-02-24,DET,CLE,34.989041095890414,1.0,30.766666666666666,2.0,7.0,0.286,1.0,3.0,0.333,2.0,4.0,0.5,1.0,3.0,4.0,0.0,2.0,1.0,1.0,3.0,7.0,4.2,0.0
2015-02-27,DET,NYK,34.9972602739726,1.0,19.833333333333332,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.7,-13.0
2015-02-28,DET,WAS,35.0,1.0,24.066666666666666,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,8.0,8.0,-10.0
2015-03-04,DET,NOP,35.010958904109586,1.0,29.216666666666665,3.0,8.0,0.375,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,5.0
2015-03-06,DET,HOU,35.016438356164386,1.0,21.333333333333332,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,9.0,7.0,-7.0
2015-03-08,DET,CHO,35.02191780821918,1.0,31.516666666666666,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,0.0,2.0,6.0,6.5,-8.0
2015-03-10,DET,LAL,35.02739726027397,1.0,22.1,2.0,5.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,3.9,-9.0
2015-03-11,DET,GSW,35.03013698630137,0.0,24.2,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,-15.0
2015-03-13,DET,POR,35.035616438356165,0.0,20.733333333333334,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,4.7,-20.0
2015-03-14,DET,UTA,35.038356164383565,0.0,25.1,3.0,6.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,2.0,7.0,9.0,3.0,0.0,0.0,1.0,1.0,8.0,9.2,2.0
2015-03-17,DET,MEM,35.04657534246575,0.0,24.85,4.0,7.0,0.571,0.0,0.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,11.0,7.5,2.0
2015-03-18,DET,PHI,35.04931506849315,0.0,22.133333333333333,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,6.0,1.9,-20.0
2015-03-21,DET,CHI,35.057534246575344,0.0,23.216666666666665,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0,1.0,0.0,0.0,4.0,7.7,6.0
2015-03-22,DET,BOS,35.06027397260274,0.0,29.133333333333333,3.0,9.0,0.333,2.0,3.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,6.0,8.0
2015-03-24,DET,TOR,35.06575342465754,0.0,31.583333333333332,2.0,9.0,0.222,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,4.0,-1.4,-9.0
2015-03-27,DET,ORL,35.07397260273972,0.0,26.983333333333334,10.0,15.0,0.667,1.0,1.0,1.0,2.0,3.0,0.667,4.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,23.0,21.5,2.0
2015-03-29,DET,MIA,35.07945205479452,0.0,23.716666666666665,2.0,8.0,0.25,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,6.0,2.0,-10.0
2015-03-31,DET,ATL,35.084931506849315,0.0,25.45,4.0,9.0,0.444,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,9.0,7.7,7.0
2015-04-01,DET,CHO,35.087671232876716,0.0,20.65,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,4.0,3.8,-5.0
2015-04-03,DET,CHI,35.09315068493151,0.0,23.7,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,4.2,-21.0
2015-04-04,DET,MIA,35.0958904109589,0.0,24.85,2.0,7.0,0.286,0.0,1.0,0.0,3.0,6.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,7.0,5.1,-8.0
2015-04-08,DET,BOS,35.106849315068494,0.0,26.433333333333334,7.0,8.0,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,15.0,14.8,-9.0
2015-04-10,DET,IND,35.11232876712329,0.0,19.083333333333332,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.9,-9.0
