date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,TOR,ATL,23.72876712328767,1.0,28.283333333333335,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,13.0,11.2,-1.0
2014-11-01,TOR,ORL,23.736986301369864,1.0,28.633333333333333,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,10.0,7.1,17.0
2014-11-02,TOR,MIA,23.73972602739726,1.0,17.15,2.0,7.0,0.286,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.8,-13.0
2014-11-04,TOR,OKC,23.745205479452054,1.0,24.766666666666666,4.0,10.0,0.4,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,9.0,2.4,10.0
2014-11-05,TOR,BOS,23.747945205479454,1.0,24.233333333333334,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.2,-4.0
2014-11-07,TOR,WAS,23.753424657534246,1.0,29.383333333333333,7.0,15.0,0.467,4.0,6.0,0.667,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,4.0,18.0,8.7,19.0
2014-11-09,TOR,PHI,23.75890410958904,1.0,29.266666666666666,6.0,11.0,0.545,4.0,7.0,0.571,1.0,2.0,0.5,1.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,17.0,16.3,28.0
2014-11-11,TOR,ORL,23.764383561643836,1.0,27.816666666666666,4.0,8.0,0.5,4.0,5.0,0.8,5.0,5.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,17.0,13.8,-2.0
2014-11-13,TOR,CHI,23.76986301369863,1.0,32.63333333333333,5.0,10.0,0.5,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,12.0,8.4,1.0
2014-11-15,TOR,UTA,23.775342465753425,1.0,22.666666666666668,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.2,9.0
2014-11-19,TOR,MEM,23.786301369863015,1.0,33.8,6.0,14.0,0.429,3.0,6.0,0.5,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,16.0,9.8,-3.0
2014-11-21,TOR,MIL,23.791780821917808,1.0,23.75,5.0,8.0,0.625,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,13.0,12.0,34.0
2014-11-22,TOR,CLE,23.794520547945204,1.0,18.466666666666665,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.6,-17.0
2014-11-24,TOR,PHO,23.8,1.0,29.283333333333335,4.0,11.0,0.364,2.0,5.0,0.4,3.0,3.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,13.0,9.0,-3.0
2014-11-26,TOR,ATL,23.805479452054794,1.0,21.7,4.0,7.0,0.571,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,8.6,-1.0
2014-11-28,TOR,DAL,23.81095890410959,1.0,23.333333333333332,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,2.9,-7.0
2014-11-30,TOR,LAL,23.816438356164383,1.0,38.016666666666666,8.0,12.0,0.667,4.0,7.0,0.571,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,20.0,15.2,-3.0
2014-12-02,TOR,SAC,23.82191780821918,1.0,30.2,8.0,15.0,0.533,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,5.0,20.0,11.7,10.0
2014-12-03,TOR,UTA,23.824657534246576,1.0,30.733333333333334,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,11.0,9.0,5.0
2014-12-05,TOR,CLE,23.83013698630137,1.0,30.716666666666665,2.0,9.0,0.222,2.0,5.0,0.4,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,6.0,3.4,-15.0
2014-12-08,TOR,DEN,23.838356164383562,1.0,39.63333333333333,7.0,15.0,0.467,1.0,8.0,0.125,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,10.1,7.0
2014-12-09,TOR,CLE,23.84109589041096,1.0,27.7,8.0,13.0,0.615,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,2.0,18.0,8.3,-1.0
2014-12-12,TOR,IND,23.84931506849315,1.0,26.683333333333334,3.0,11.0,0.273,0.0,4.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,1.0,1.0,0.0,3.0,4.0,8.0,0.7,-9.0
2014-12-14,TOR,NYK,23.854794520547944,1.0,33.416666666666664,8.0,14.0,0.571,3.0,5.0,0.6,3.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,2.0,3.0,22.0,16.4,13.0
2014-12-15,TOR,ORL,23.85753424657534,1.0,21.666666666666668,3.0,11.0,0.273,3.0,7.0,0.429,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,9.0,4.6,14.0
2014-12-17,TOR,BRK,23.863013698630137,1.0,22.183333333333334,3.0,10.0,0.3,2.0,5.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,0.7,4.0
2014-12-19,TOR,DET,23.86849315068493,1.0,21.65,5.0,13.0,0.385,1.0,5.0,0.2,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,11.0,7.8,19.0
2014-12-21,TOR,NYK,23.873972602739727,1.0,35.9,7.0,15.0,0.467,4.0,9.0,0.444,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,18.0,10.8,5.0
2014-12-22,TOR,CHI,23.876712328767123,1.0,35.1,6.0,16.0,0.375,5.0,11.0,0.455,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,6.0,17.0,8.8,-13.0
2014-12-27,TOR,LAC,23.89041095890411,1.0,36.81666666666667,5.0,15.0,0.333,1.0,8.0,0.125,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,11.0,5.7,21.0
2014-12-28,TOR,DEN,23.893150684931506,1.0,35.333333333333336,3.0,10.0,0.3,1.0,3.0,0.333,1.0,2.0,0.5,1.0,7.0,8.0,1.0,0.0,0.0,1.0,1.0,8.0,3.9,6.0
2014-12-30,TOR,POR,23.898630136986302,1.0,38.266666666666666,5.0,15.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,12.0,8.1,-5.0
2015-01-02,TOR,GSW,23.90684931506849,1.0,29.0,4.0,10.0,0.4,2.0,6.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,12.0,5.1,-19.0
2015-01-04,TOR,PHO,23.912328767123288,1.0,26.733333333333334,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,12.0,6.8,-16.0
2015-01-08,TOR,CHO,23.923287671232877,1.0,21.766666666666666,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,7.0,3.2,-14.0
2015-01-10,TOR,BOS,23.92876712328767,1.0,20.616666666666667,2.0,9.0,0.222,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,6.0,0.4,-1.0
2015-01-12,TOR,DET,23.934246575342467,1.0,23.2,5.0,11.0,0.455,2.0,8.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,5.9,1.0
2015-01-14,TOR,PHI,23.93972602739726,1.0,18.383333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.8,8.0
2015-01-16,TOR,ATL,23.945205479452056,1.0,26.116666666666667,1.0,8.0,0.125,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.5,-17.0
2015-01-18,TOR,NOP,23.95068493150685,1.0,10.733333333333333,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-11.0
2015-01-19,TOR,MIL,23.953424657534246,0.0,22.9,7.0,12.0,0.583,2.0,5.0,0.4,0.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,4.0,16.0,10.6,0.0
2015-01-21,TOR,MEM,23.958904109589042,0.0,17.933333333333334,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2,-1.0
2015-01-23,TOR,PHI,23.964383561643835,0.0,21.116666666666667,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,5.7,3.0
2015-01-25,TOR,DET,23.96986301369863,0.0,22.683333333333334,2.0,6.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,7.0,4.5,-9.0
2015-01-27,TOR,IND,23.975342465753425,0.0,19.016666666666666,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,2.0,3.0,11.0,6.1,4.0
2015-01-28,TOR,SAC,23.97808219178082,0.0,15.5,5.0,6.0,0.833,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,12.2,0.0
2015-01-30,TOR,BRK,23.983561643835618,0.0,20.283333333333335,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.9,-7.0
2015-01-31,TOR,WAS,23.986301369863014,0.0,17.9,3.0,6.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,8.0,4.3,2.0
2015-02-02,TOR,MIL,23.991780821917807,0.0,31.666666666666668,4.0,12.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,5.0,10.0,4.8,8.0
2015-02-04,TOR,BRK,23.997260273972604,0.0,29.333333333333332,9.0,16.0,0.563,5.0,11.0,0.455,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,23.0,16.6,0.0
2015-02-06,TOR,LAC,24.002739726027396,0.0,20.566666666666666,0.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.25,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,1.0,-2.6,9.0
2015-02-08,TOR,SAS,24.008219178082193,0.0,14.65,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.5,-15.0
2015-02-11,TOR,WAS,24.016438356164382,0.0,13.433333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
