date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,ORL,NOP,33.25205479452055,0.0,4.116666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
2014-10-30,ORL,WAS,33.25753424657534,0.0,3.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,2.0
2014-11-07,ORL,MIN,33.27945205479452,0.0,5.633333333333333,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.9,3.0
2014-11-09,ORL,BRK,33.28493150684932,0.0,19.183333333333334,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,3.9,0.0
2014-11-12,ORL,NYK,33.293150684931504,0.0,10.966666666666667,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.3,0.0
2014-11-14,ORL,MIL,33.298630136986304,0.0,19.333333333333332,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.2,14.0
2014-11-15,ORL,WAS,33.3013698630137,0.0,14.233333333333333,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.3,-7.0
2014-11-17,ORL,DET,33.30684931506849,0.0,15.8,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.6,5.0
2014-11-19,ORL,LAC,33.31232876712329,1.0,30.75,2.0,10.0,0.2,1.0,5.0,0.2,1.0,2.0,0.5,1.0,2.0,3.0,4.0,1.0,0.0,0.0,4.0,6.0,2.9,-17.0
2014-11-21,ORL,CHO,33.31780821917808,0.0,17.8,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,8.3,24.0
2014-11-22,ORL,MIA,33.320547945205476,1.0,30.783333333333335,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,-3.3,-18.0
2014-11-24,ORL,CLE,33.326027397260276,0.0,21.416666666666668,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.6,-16.0
2014-11-26,ORL,GSW,33.33150684931507,0.0,17.283333333333335,2.0,8.0,0.25,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,3.8,13.0
2014-11-28,ORL,IND,33.33698630136986,0.0,12.85,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.9,-14.0
2014-11-30,ORL,PHO,33.342465753424655,0.0,18.95,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.6,6.0
2014-12-02,ORL,GSW,33.347945205479455,0.0,18.733333333333334,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.6,-13.0
2014-12-03,ORL,LAC,33.35068493150685,0.0,12.466666666666667,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,2.6,6.0
2014-12-05,ORL,UTA,33.35616438356164,0.0,9.883333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.9,-10.0
2014-12-06,ORL,SAC,33.35890410958904,0.0,11.066666666666666,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,-1.0,2.0
2014-12-10,ORL,WAS,33.36986301369863,0.0,21.966666666666665,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,7.9,-5.0
2014-12-12,ORL,ATL,33.37534246575343,0.0,9.85,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-6.1,-13.0
2014-12-30,ORL,DET,33.42465753424658,0.0,6.316666666666666,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,-1.7,2.0
2015-01-12,ORL,CHI,33.46027397260274,0.0,12.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,5.3,-1.0
2015-01-18,ORL,OKC,33.47671232876712,0.0,9.833333333333334,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.7,4.0
2015-01-21,ORL,DET,33.484931506849314,0.0,11.166666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,2.7,9.0
2015-01-25,ORL,IND,33.49589041095891,0.0,16.816666666666666,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,2.6,5.0
2015-01-26,ORL,MEM,33.4986301369863,0.0,19.566666666666666,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,3.0,6.0,4.8,3.0
2015-01-29,ORL,MIL,33.50684931506849,0.0,15.566666666666666,6.0,8.0,0.75,3.0,5.0,0.6,1.0,2.0,0.5,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,16.0,10.9,13.0
2015-01-31,ORL,DAL,33.512328767123286,0.0,28.033333333333335,6.0,12.0,0.5,1.0,4.0,0.25,2.0,3.0,0.667,1.0,2.0,3.0,4.0,2.0,0.0,2.0,0.0,15.0,12.7,6.0
2015-02-02,ORL,OKC,33.51780821917808,0.0,27.15,4.0,7.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,13.0,11.7,8.0
2015-02-04,ORL,SAS,33.52328767123288,0.0,20.066666666666666,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,2.6,-21.0
2015-02-06,ORL,LAL,33.52876712328767,0.0,22.216666666666665,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,5.0,3.8,2.0
2015-02-08,ORL,CHI,33.534246575342465,0.0,17.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,-3.6,-12.0
2015-02-09,ORL,WAS,33.536986301369865,0.0,17.75,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,-11.0
2015-02-11,ORL,NYK,33.54246575342466,0.0,23.95,4.0,8.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,13.0,10.5,3.0
2015-02-20,ORL,NOP,33.56712328767123,0.0,24.083333333333332,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,9.0,9.6,6.0
2015-02-22,ORL,PHI,33.57260273972603,0.0,31.933333333333334,6.0,10.0,0.6,2.0,5.0,0.4,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,16.0,13.7,8.0
2015-02-25,ORL,MIA,33.58082191780822,0.0,28.666666666666668,5.0,10.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,5.0,12.0,7.9,-11.0
2015-02-27,ORL,ATL,33.586301369863016,0.0,27.933333333333334,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,5.2,4.0
2015-03-01,ORL,CHO,33.59178082191781,0.0,32.11666666666667,4.0,13.0,0.308,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,11.0,3.0,-7.0
2015-03-04,ORL,PHO,33.6,0.0,17.533333333333335,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,2.0,-5.8,-12.0
2015-03-10,ORL,IND,33.61643835616438,0.0,8.883333333333333,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,-8.0
2015-03-22,ORL,DEN,33.64931506849315,0.0,28.516666666666666,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,11.0,9.3,-15.0
2015-03-25,ORL,ATL,33.657534246575345,0.0,18.4,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0
2015-03-27,ORL,DET,33.66301369863014,0.0,22.183333333333334,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,4.0,7.0,0.4,-15.0
2015-04-01,ORL,SAS,33.676712328767124,0.0,12.716666666666667,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.4,-14.0
