date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,ATL,DET,29.4,1.0,30.233333333333334,6.0,11.0,0.545,1.0,3.0,0.333,2.0,3.0,0.667,1.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,15.0,16.4,-6.0
2015-10-29,ATL,NYK,29.405479452054795,1.0,30.566666666666666,9.0,18.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,2.0,7.0,9.0,1.0,2.0,3.0,3.0,0.0,21.0,16.9,5.0
2015-10-30,ATL,CHO,29.40821917808219,1.0,34.86666666666667,8.0,15.0,0.533,2.0,5.0,0.4,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,1.0,2.0,2.0,18.0,12.9,13.0
2015-11-01,ATL,CHO,29.413698630136988,1.0,34.916666666666664,7.0,14.0,0.5,0.0,5.0,0.0,2.0,2.0,1.0,2.0,10.0,12.0,1.0,0.0,3.0,3.0,1.0,16.0,12.8,-4.0
2015-11-03,ATL,MIA,29.41917808219178,1.0,33.733333333333334,8.0,17.0,0.471,0.0,0.0,0.0,1.0,1.0,1.0,7.0,6.0,13.0,2.0,1.0,0.0,1.0,1.0,17.0,16.0,11.0
2015-11-04,ATL,BRK,29.421917808219177,1.0,29.9,8.0,10.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,8.0,4.0,0.0,2.0,0.0,0.0,21.0,25.0,-1.0
2015-11-06,ATL,NOP,29.427397260273974,1.0,30.333333333333332,7.0,15.0,0.467,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,2.0,2.0,5.0,14.0,9.4,10.0
2015-11-07,ATL,WAS,29.43013698630137,1.0,28.683333333333334,5.0,13.0,0.385,0.0,3.0,0.0,4.0,4.0,1.0,2.0,7.0,9.0,2.0,1.0,1.0,2.0,1.0,14.0,11.1,17.0
2015-11-09,ATL,MIN,29.435616438356163,1.0,33.05,5.0,15.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,0.0,1.0,3.0,14.0,9.0,-8.0
2015-11-11,ATL,NOP,29.44109589041096,1.0,29.9,11.0,15.0,0.733,4.0,6.0,0.667,0.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,3.0,2.0,0.0,26.0,25.7,13.0
2015-11-13,ATL,BOS,29.446575342465753,1.0,32.38333333333333,6.0,11.0,0.545,1.0,2.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,8.0,1.0,2.0,0.0,3.0,13.0,16.7,-3.0
