date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,30.813698630136987,1.0,21.766666666666666,8.0,14.0,0.571,0.0,0.0,0.0,1.0,3.0,0.333,2.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,17.0,12.2,-9.0
2015-10-30,CHO,ATL,30.81917808219178,1.0,29.866666666666667,5.0,15.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.0,1.0,2.0,0.0,1.0,10.0,8.4,8.0
2015-11-01,CHO,ATL,30.824657534246576,1.0,29.4,5.0,12.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,0.0,2.0,0.0,1.0,10.0,9.0,1.0
2015-11-03,CHO,CHI,30.83013698630137,1.0,21.283333333333335,7.0,12.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,14.0,13.0,2.0
2015-11-05,CHO,DAL,30.835616438356166,1.0,26.8,15.0,18.0,0.833,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,9.0,1.0,0.0,1.0,2.0,3.0,31.0,26.5,11.0
2015-11-07,CHO,SAS,30.84109589041096,1.0,30.233333333333334,6.0,11.0,0.545,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,13.0,8.9,5.0
2015-11-10,CHO,MIN,30.84931506849315,1.0,25.9,3.0,9.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,1.0,2.0,2.0,9.0,4.0,-14.0
2015-11-11,CHO,NYK,30.852054794520548,1.0,22.55,2.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,1.1,-10.0
2015-11-13,CHO,CHI,30.85753424657534,1.0,30.716666666666665,3.0,9.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,4.0,6.0,5.3,12.0
2015-11-15,CHO,POR,30.863013698630137,1.0,30.45,13.0,17.0,0.765,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,3.0,1.0,1.0,2.0,4.0,29.0,24.4,0.0
2015-11-17,CHO,NYK,30.86849315068493,1.0,26.0,5.0,12.0,0.417,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,3.0,1.0,0.0,1.0,10.0,9.0,-16.0
2015-11-18,CHO,BRK,30.87123287671233,1.0,29.933333333333334,7.0,16.0,0.438,0.0,0.0,0.0,4.0,7.0,0.571,1.0,7.0,8.0,2.0,0.0,2.0,1.0,4.0,18.0,11.4,-8.0
2015-11-20,CHO,PHI,30.876712328767123,1.0,30.666666666666668,11.0,19.0,0.579,0.0,0.0,0.0,4.0,5.0,0.8,1.0,9.0,10.0,2.0,1.0,5.0,1.0,5.0,26.0,23.0,19.0
2015-11-23,CHO,SAC,30.884931506849316,1.0,22.95,4.0,10.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,10.0,5.1,-8.0
2015-11-25,CHO,WAS,30.89041095890411,1.0,29.9,6.0,13.0,0.462,0.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,1.0,1.0,0.0,0.0,2.0,14.0,12.7,0.0
2015-11-27,CHO,CLE,30.895890410958906,1.0,30.933333333333334,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,1.0,0.0,1.0,11.0,8.4,0.0
2015-11-29,CHO,MIL,30.9013698630137,1.0,6.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2,0.0
