date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-01,ORL,CHI,25.898630136986302,0.0,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.8,6.0
2015-11-13,ORL,UTA,25.931506849315067,0.0,2.9833333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4,-8.0
2015-11-18,ORL,MIN,25.945205479452056,0.0,21.55,3.0,12.0,0.25,2.0,3.0,0.667,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,8.0,2.9,17.0
2015-11-21,ORL,SAC,25.953424657534246,0.0,7.35,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0
2015-11-23,ORL,CLE,25.958904109589042,0.0,24.25,6.0,9.0,0.667,3.0,5.0,0.6,3.0,3.0,1.0,1.0,7.0,8.0,0.0,1.0,0.0,2.0,4.0,18.0,14.3,-3.0
2015-11-25,ORL,NYK,25.964383561643835,0.0,24.933333333333334,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,7.0,3.5,0.0
2015-11-27,ORL,MIL,25.96986301369863,0.0,25.233333333333334,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,2.0,2.0,1.0,3.0,0.7,0.0
2015-11-29,ORL,BOS,25.975342465753425,0.0,23.483333333333334,6.0,9.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,14.0,14.7,0.0
2015-12-01,ORL,MIN,25.980821917808218,0.0,31.0,6.0,11.0,0.545,0.0,1.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,15.0,10.9,-6.0
2015-12-03,ORL,UTA,25.986301369863014,0.0,23.966666666666665,6.0,10.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,14.0,10.0,0.0
2015-12-05,ORL,LAC,25.991780821917807,0.0,22.933333333333334,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,6.0,5.1,0.0
2015-12-08,ORL,DEN,26.0,0.0,20.9,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,14.0,0.0,0.0,0.0,3.0,2.0,8.0,5.9,0.0
2015-12-09,ORL,PHO,26.002739726027396,0.0,13.5,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,9.0,4.6,0.0
2015-12-11,ORL,CLE,26.008219178082193,0.0,23.15,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,8.0,5.4,0.0
2015-12-14,ORL,BRK,26.016438356164382,0.0,24.666666666666668,6.0,9.0,0.667,2.0,5.0,0.4,1.0,2.0,0.5,0.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,15.0,10.8,0.0
2015-12-16,ORL,CHO,26.02191780821918,0.0,17.583333333333332,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,3.8,-6.0
2015-12-18,ORL,POR,26.027397260273972,0.0,24.883333333333333,3.0,9.0,0.333,0.0,2.0,0.0,2.0,3.0,0.667,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,8.0,2.7,0.0
