date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,DET,ATL,28.882191780821916,0.0,10.85,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,6.0,3.8,-10.0
2015-10-28,DET,UTA,28.884931506849316,0.0,11.883333333333333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,2.8,-9.0
2015-10-30,DET,CHI,28.89041095890411,0.0,13.916666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,3.7,-7.0
2015-11-03,DET,IND,28.9013698630137,0.0,4.783333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-20.0
2015-11-06,DET,PHO,28.90958904109589,0.0,11.85,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.2,5.0
2015-11-08,DET,POR,28.915068493150685,0.0,12.133333333333333,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,0.0
2015-11-09,DET,GSW,28.91780821917808,0.0,12.45,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,1.3,-7.0
2015-11-11,DET,SAC,28.923287671232877,0.0,13.383333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,6.0
2015-11-14,DET,LAC,28.931506849315067,0.0,14.183333333333334,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,3.3,2.0
2015-11-15,DET,LAL,28.934246575342467,0.0,7.3,4.0,5.0,0.8,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,6.6,0.0
2015-11-17,DET,CLE,28.93972602739726,0.0,8.766666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,-12.0
2015-11-20,DET,MIN,28.947945205479453,0.0,18.75,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.0,7.0,11.0,1.0,2.0,2.0,4.0,3.0,6.0,7.8,0.0
2015-11-21,DET,WAS,28.95068493150685,0.0,10.9,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,2.1,0.0
2015-11-23,DET,MIL,28.956164383561642,0.0,18.833333333333332,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,5.0,4.0,9.0,1.0,0.0,0.0,0.0,2.0,6.0,6.5,-6.0
2015-11-25,DET,MIA,28.96164383561644,0.0,12.566666666666666,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,6.0,7.3,0.0
2015-11-27,DET,OKC,28.96712328767123,0.0,15.566666666666666,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,2.3,0.0
2015-11-29,DET,BRK,28.972602739726028,0.0,11.266666666666667,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,-2.5,0.0
2015-11-30,DET,HOU,28.975342465753425,0.0,20.533333333333335,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,11.0,9.3,0.0
2015-12-02,DET,PHO,28.980821917808218,0.0,10.733333333333333,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,-3.6,0.0
2015-12-04,DET,MIL,28.986301369863014,0.0,12.133333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8,0.0
2015-12-06,DET,LAL,28.991780821917807,0.0,21.35,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,2.0,0.8,0.0
2015-12-07,DET,CHO,28.994520547945207,0.0,20.516666666666666,4.0,8.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,3.0,8.0,8.4,0.0
2015-12-09,DET,MEM,29.0,0.0,11.5,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,6.0,5.3,0.0
2015-12-11,DET,PHI,29.005479452054793,0.0,15.133333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,6.0,2.8,0.0
2015-12-12,DET,IND,29.008219178082193,0.0,16.333333333333332,1.0,2.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,2.0,5.0,7.0,1.0,0.0,1.0,2.0,2.0,6.0,5.7,0.0
2015-12-14,DET,LAC,29.013698630136986,0.0,12.666666666666666,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,2.0,2.0,10.0,9.8,0.0
2015-12-16,DET,BOS,29.019178082191782,0.0,12.516666666666667,3.0,5.0,0.6,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,7.2,5.0
