date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAC,LAC,22.70958904109589,1.0,20.066666666666666,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,1.7,-13.0
2015-10-30,SAC,LAL,22.715068493150685,1.0,24.983333333333334,2.0,8.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,7.0,1.6,26.0
2015-10-31,SAC,LAC,22.71780821917808,1.0,10.416666666666666,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,-10.0
2015-11-03,SAC,MEM,22.726027397260275,1.0,20.45,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,-2.3,-14.0
2015-11-04,SAC,PHO,22.72876712328767,0.0,14.483333333333333,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,9.0,3.1,-2.0
2015-11-06,SAC,HOU,22.734246575342464,0.0,22.633333333333333,3.0,8.0,0.375,1.0,5.0,0.2,4.0,6.0,0.667,0.0,4.0,4.0,4.0,3.0,0.0,3.0,2.0,11.0,9.0,12.0
2015-11-07,SAC,GSW,22.736986301369864,0.0,16.4,1.0,4.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,-3.9,3.0
2015-11-09,SAC,SAS,22.742465753424657,0.0,12.916666666666666,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.3,-10.0
2015-11-11,SAC,DET,22.747945205479454,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,2.0
2015-11-13,SAC,BRK,22.753424657534246,0.0,24.95,5.0,8.0,0.625,3.0,4.0,0.75,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,15.0,13.4,3.0
2015-11-15,SAC,TOR,22.75890410958904,1.0,25.366666666666667,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,8.0,7.9,0.0
2015-11-18,SAC,ATL,22.767123287671232,1.0,17.916666666666668,4.0,8.0,0.5,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,8.7,-5.0
2015-11-19,SAC,MIA,22.76986301369863,1.0,32.18333333333333,7.0,12.0,0.583,3.0,4.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,17.0,9.0,-1.0
2015-11-21,SAC,ORL,22.775342465753425,1.0,25.166666666666668,3.0,12.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,4.0,3.0,8.0,-1.7,0.0
2015-11-23,SAC,CHO,22.78082191780822,1.0,19.383333333333333,4.0,6.0,0.667,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,10.0,6.1,12.0
2015-11-25,SAC,MIL,22.786301369863015,1.0,27.233333333333334,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,3.0,4.0,8.0,5.6,0.0
2015-11-27,SAC,MIN,22.791780821917808,1.0,26.083333333333332,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,1.5,0.0
2015-11-28,SAC,GSW,22.794520547945204,1.0,27.416666666666668,3.0,7.0,0.429,2.0,3.0,0.667,2.0,3.0,0.667,0.0,3.0,3.0,5.0,3.0,1.0,2.0,0.0,10.0,12.0,0.0
2015-11-30,SAC,DAL,22.8,1.0,17.55,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,0.0
2015-12-03,SAC,BOS,22.80821917808219,1.0,24.75,3.0,6.0,0.5,0.0,2.0,0.0,5.0,6.0,0.833,1.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,11.0,8.3,0.0
2015-12-05,SAC,HOU,22.813698630136987,1.0,41.55,8.0,14.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,2.0,7.0,9.0,2.0,3.0,1.0,1.0,3.0,19.0,18.8,0.0
2015-12-06,SAC,OKC,22.816438356164383,1.0,19.8,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.5,0.0
2015-12-08,SAC,UTA,22.82191780821918,1.0,26.266666666666666,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,10.0,10.4,0.0
2015-12-10,SAC,NYK,22.827397260273973,1.0,23.533333333333335,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,5.9,0.0
2015-12-15,SAC,HOU,22.84109589041096,1.0,23.7,3.0,4.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,8.0,5.2,0.0
2015-12-18,SAC,MIN,22.84931506849315,1.0,20.583333333333332,3.0,5.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,4.1,0.0
