date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DAL,PHO,31.17808219178082,0.0,14.65,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,7.2,5.0
2015-10-29,DAL,LAC,31.18082191780822,0.0,23.0,3.0,11.0,0.273,0.0,6.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,-5.0
2015-11-01,DAL,LAL,31.18904109589041,0.0,11.933333333333334,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,0.4,3.0
2015-11-03,DAL,TOR,31.194520547945206,0.0,4.916666666666667,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.2,-7.0
2015-11-05,DAL,CHO,31.2,0.0,12.833333333333334,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,0.0,2.0,1.0,7.0,3.7,-4.0
2015-11-10,DAL,NOP,31.213698630136985,0.0,26.466666666666665,6.0,14.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,9.0,9.0,2.0,0.0,1.0,1.0,1.0,15.0,11.0,-8.0
2015-11-11,DAL,LAC,31.216438356164385,0.0,12.05,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.6,1.0
2015-11-13,DAL,LAL,31.221917808219178,0.0,14.333333333333334,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,3.2,9.0
2015-11-14,DAL,HOU,31.224657534246575,1.0,25.416666666666668,8.0,16.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,3.0,2.0,4.0,19.0,12.5,5.0
2015-11-16,DAL,PHI,31.23013698630137,0.0,8.25,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.8,14.0
2015-11-20,DAL,UTA,31.24109589041096,0.0,2.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
2015-11-22,DAL,OKC,31.246575342465754,0.0,3.783333333333333,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,5.7,2.0
2015-11-24,DAL,MEM,31.252054794520546,0.0,9.416666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.4,-7.0
