date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,HOU,DEN,21.446575342465753,1.0,24.916666666666668,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,6.0,1.0,7.0,0.0,2.0,3.0,1.0,2.0,9.0,12.1,-17.0
2015-10-30,HOU,GSW,21.45205479452055,0.0,17.75,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,0.0,2.0,2.0,2.0,7.0,7.5,-2.0
2015-11-01,HOU,MIA,21.457534246575342,1.0,14.116666666666667,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,10.0,9.3,4.0
2015-11-02,HOU,OKC,21.46027397260274,0.0,10.716666666666667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.8,5.0
2015-11-04,HOU,ORL,21.465753424657535,0.0,18.816666666666666,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,8.0,10.8,8.0
2015-11-06,HOU,SAC,21.471232876712328,1.0,26.333333333333332,6.0,8.0,0.75,0.0,0.0,0.0,1.0,3.0,0.333,2.0,10.0,12.0,2.0,0.0,4.0,2.0,5.0,13.0,13.6,19.0
2015-11-07,HOU,LAC,21.473972602739725,0.0,18.9,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,6.0,8.0,0.0,0.0,1.0,0.0,4.0,9.0,10.0,2.0
2015-11-11,HOU,BRK,21.484931506849314,0.0,10.766666666666667,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,8.0,6.7,-1.0
2015-11-13,HOU,DEN,21.49041095890411,0.0,13.05,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.1,2.0
2015-11-14,HOU,DAL,21.493150684931507,1.0,23.083333333333332,2.0,3.0,0.667,0.0,0.0,0.0,3.0,6.0,0.5,4.0,6.0,10.0,1.0,1.0,0.0,0.0,1.0,7.0,10.4,-9.0
2015-11-16,HOU,BOS,21.4986301369863,0.0,18.316666666666666,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,4.0,3.0,7.0,1.0,1.0,2.0,0.0,0.0,5.0,8.6,-6.0
2015-11-18,HOU,POR,21.504109589041096,0.0,12.716666666666667,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0,4.6,0.0
2015-11-20,HOU,MEM,21.50958904109589,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,3.8,-2.0
2015-11-21,HOU,NYK,21.512328767123286,1.0,30.066666666666666,7.0,9.0,0.778,0.0,0.0,0.0,2.0,5.0,0.4,6.0,8.0,14.0,1.0,1.0,0.0,2.0,6.0,16.0,15.2,0.0
2015-11-25,HOU,MEM,21.523287671232875,0.0,8.183333333333334,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,6.0,9.4,0.0
2015-11-27,HOU,PHI,21.528767123287672,1.0,24.933333333333334,6.0,13.0,0.462,0.0,0.0,0.0,1.0,2.0,0.5,2.0,8.0,10.0,0.0,0.0,2.0,2.0,1.0,13.0,8.7,0.0
2015-11-29,HOU,NYK,21.534246575342465,1.0,36.4,7.0,11.0,0.636,0.0,0.0,0.0,4.0,8.0,0.5,5.0,6.0,11.0,0.0,3.0,1.0,1.0,2.0,18.0,18.7,0.0
2015-11-30,HOU,DET,21.536986301369865,1.0,22.283333333333335,5.0,11.0,0.455,0.0,0.0,0.0,1.0,2.0,0.5,5.0,0.0,5.0,1.0,4.0,0.0,2.0,3.0,11.0,9.9,0.0
2015-12-02,HOU,NOP,21.542465753424658,1.0,15.566666666666666,2.0,5.0,0.4,0.0,0.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,2.9,0.0
2015-12-04,HOU,DAL,21.54794520547945,1.0,28.283333333333335,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,5.0,5.0,10.0,2.0,1.0,2.0,1.0,3.0,2.0,4.3,0.0
