date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,23.063013698630137,0.0,29.983333333333334,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,4.0,8.0,12.0,0.0,1.0,0.0,1.0,2.0,7.0,9.0,-6.0
2015-10-30,CHO,ATL,23.068493150684933,0.0,16.85,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,3.1,-26.0
2015-11-01,CHO,ATL,23.073972602739726,0.0,22.816666666666666,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,6.0,-16.0
2015-11-03,CHO,CHI,23.07945205479452,0.0,16.316666666666666,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,6.0,6.3,18.0
2015-11-05,CHO,DAL,23.084931506849315,0.0,18.716666666666665,4.0,6.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0,11.0,10.4,13.0
2015-11-07,CHO,SAS,23.09041095890411,0.0,24.4,0.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,0.6,-38.0
2015-11-10,CHO,MIN,23.0986301369863,0.0,24.3,5.0,8.0,0.625,0.0,0.0,0.0,4.0,6.0,0.667,3.0,3.0,6.0,1.0,2.0,0.0,1.0,4.0,14.0,12.7,26.0
2015-11-11,CHO,NYK,23.101369863013698,0.0,25.45,2.0,6.0,0.333,0.0,0.0,0.0,8.0,15.0,0.533,2.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,12.0,10.2,-3.0
2015-11-15,CHO,POR,23.112328767123287,0.0,21.283333333333335,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,2.0,0.0,2.0,1.0,1.0,1.0,2.2,0.0
2015-11-17,CHO,NYK,23.117808219178084,1.0,18.416666666666668,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,3.0,6.0,3.8,-9.0
2015-11-18,CHO,BRK,23.12054794520548,1.0,13.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.3,-3.0
2015-11-23,CHO,SAC,23.134246575342466,0.0,28.033333333333335,4.0,8.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,1.0,4.0,12.0,8.6,15.0
2015-11-25,CHO,WAS,23.13972602739726,0.0,21.766666666666666,5.0,7.0,0.714,0.0,2.0,0.0,1.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,3.0,11.0,7.3,0.0
2015-11-27,CHO,CLE,23.145205479452056,0.0,15.083333333333334,1.0,2.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0
2015-11-29,CHO,MIL,23.15068493150685,0.0,15.833333333333334,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.1,0.0
2015-12-02,CHO,GSW,23.15890410958904,1.0,17.15,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,2.5,0.0
2015-12-05,CHO,CHI,23.167123287671235,1.0,31.866666666666667,6.0,10.0,0.6,0.0,1.0,0.0,5.0,7.0,0.714,2.0,6.0,8.0,2.0,1.0,1.0,0.0,4.0,17.0,16.3,0.0
2015-12-07,CHO,DET,23.172602739726027,1.0,28.383333333333333,5.0,9.0,0.556,0.0,0.0,0.0,10.0,13.0,0.769,4.0,2.0,6.0,1.0,0.0,2.0,3.0,3.0,20.0,15.8,0.0
2015-12-09,CHO,MIA,23.17808219178082,1.0,23.666666666666668,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,9.0,6.5,0.0
2015-12-11,CHO,MEM,23.183561643835617,1.0,21.783333333333335,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,5.0,2.0,1.6,0.0
2015-12-12,CHO,BOS,23.186301369863013,1.0,27.4,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,12.0,8.5,0.0
2015-12-16,CHO,ORL,23.197260273972603,1.0,23.033333333333335,3.0,3.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,11.0,14.3,-1.0
2015-12-17,CHO,TOR,23.2,1.0,21.45,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,3.0,0.0,0.0,1.0,6.0,5.0,2.1,-4.0
