date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,27.221917808219178,1.0,35.6,7.0,15.0,0.467,3.0,5.0,0.6,6.0,6.0,1.0,2.0,6.0,8.0,3.0,1.0,3.0,0.0,1.0,23.0,23.3,21.0
2015-10-30,DEN,MIN,27.22739726027397,1.0,33.38333333333333,4.0,13.0,0.308,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,10.0,1.2,-26.0
2015-11-01,DEN,OKC,27.232876712328768,1.0,27.316666666666666,3.0,13.0,0.231,2.0,5.0,0.4,7.0,8.0,0.875,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,15.0,7.9,-30.0
2015-11-03,DEN,LAL,27.23835616438356,1.0,34.55,6.0,12.0,0.5,0.0,0.0,0.0,9.0,10.0,0.9,4.0,4.0,8.0,3.0,1.0,1.0,0.0,1.0,21.0,22.0,10.0
2015-11-05,DEN,UTA,27.243835616438357,1.0,36.88333333333333,6.0,12.0,0.5,0.0,2.0,0.0,6.0,9.0,0.667,2.0,3.0,5.0,1.0,0.0,2.0,0.0,2.0,18.0,14.4,-7.0
2015-11-06,DEN,GSW,27.246575342465754,1.0,34.483333333333334,7.0,13.0,0.538,2.0,4.0,0.5,9.0,9.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,25.0,18.6,-11.0
2015-11-09,DEN,POR,27.254794520547946,1.0,35.416666666666664,2.0,10.0,0.2,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,4.0,1.0,6.0,0.0,3.0
2015-11-11,DEN,MIL,27.26027397260274,1.0,37.56666666666667,7.0,17.0,0.412,4.0,8.0,0.5,7.0,7.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,3.0,0.0,25.0,17.9,-8.0
2015-11-13,DEN,HOU,27.265753424657536,1.0,35.55,7.0,9.0,0.778,3.0,4.0,0.75,10.0,10.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,27.0,24.1,8.0
2015-11-14,DEN,PHO,27.268493150684932,1.0,23.916666666666668,2.0,12.0,0.167,1.0,5.0,0.2,3.0,3.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,4.0,8.0,2.9,-27.0
2015-11-17,DEN,NOP,27.276712328767122,1.0,36.9,12.0,19.0,0.632,5.0,8.0,0.625,3.0,4.0,0.75,1.0,7.0,8.0,8.0,0.0,0.0,3.0,1.0,32.0,28.1,26.0
2015-11-18,DEN,SAS,27.279452054794522,1.0,30.933333333333334,2.0,9.0,0.222,1.0,2.0,0.5,4.0,4.0,1.0,3.0,5.0,8.0,3.0,0.0,1.0,0.0,2.0,9.0,9.1,0.0
2015-11-20,DEN,PHO,27.284931506849315,1.0,38.61666666666667,4.0,14.0,0.286,1.0,6.0,0.167,6.0,8.0,0.75,2.0,8.0,10.0,4.0,0.0,2.0,1.0,2.0,15.0,12.2,1.0
2015-11-22,DEN,GSW,27.29041095890411,1.0,34.46666666666667,4.0,16.0,0.25,1.0,4.0,0.25,10.0,11.0,0.909,2.0,4.0,6.0,2.0,1.0,0.0,4.0,3.0,19.0,8.8,-16.0
2015-11-24,DEN,LAC,27.295890410958904,1.0,36.666666666666664,2.0,10.0,0.2,0.0,5.0,0.0,16.0,17.0,0.941,0.0,18.0,18.0,3.0,0.0,0.0,2.0,3.0,20.0,17.7,-10.0
2015-11-27,DEN,SAS,27.304109589041097,1.0,35.11666666666667,5.0,15.0,0.333,2.0,4.0,0.5,4.0,4.0,1.0,1.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,16.0,12.3,0.0
2015-11-28,DEN,DAL,27.306849315068494,1.0,33.7,4.0,12.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,1.0,8.0,9.0,0.0,1.0,1.0,3.0,0.0,12.0,7.0,0.0
2015-11-30,DEN,MIL,27.312328767123287,1.0,34.416666666666664,3.0,8.0,0.375,2.0,4.0,0.5,5.0,5.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,13.0,8.8,0.0
2015-12-02,DEN,CHI,27.317808219178083,1.0,34.983333333333334,5.0,15.0,0.333,1.0,3.0,0.333,2.0,4.0,0.5,1.0,4.0,5.0,4.0,1.0,0.0,0.0,1.0,13.0,9.0,0.0
2015-12-03,DEN,TOR,27.32054794520548,1.0,35.46666666666667,7.0,13.0,0.538,3.0,7.0,0.429,4.0,4.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,4.0,21.0,17.1,0.0
2015-12-05,DEN,PHI,27.326027397260273,1.0,39.25,7.0,14.0,0.5,3.0,9.0,0.333,7.0,9.0,0.778,2.0,5.0,7.0,1.0,1.0,1.0,0.0,4.0,24.0,19.9,0.0
2015-12-08,DEN,ORL,27.334246575342465,1.0,37.96666666666667,5.0,14.0,0.357,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,13.0,9.5,0.0
2015-12-11,DEN,MIN,27.34246575342466,1.0,42.38333333333333,6.0,14.0,0.429,3.0,5.0,0.6,8.0,8.0,1.0,1.0,6.0,7.0,4.0,1.0,0.0,0.0,1.0,23.0,21.5,0.0
2015-12-14,DEN,HOU,27.350684931506848,1.0,32.05,4.0,8.0,0.5,1.0,3.0,0.333,6.0,7.0,0.857,0.0,5.0,5.0,7.0,2.0,0.0,2.0,0.0,15.0,17.0,0.0
2015-12-15,DEN,MIN,27.353424657534248,1.0,28.183333333333334,3.0,7.0,0.429,1.0,2.0,0.5,8.0,11.0,0.727,1.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,15.0,13.1,0.0
2015-12-18,DEN,UTA,27.361643835616437,1.0,33.71666666666667,3.0,10.0,0.3,1.0,4.0,0.25,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,6.5,0.0
