date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,NOP,GSW,28.515068493150686,1.0,26.516666666666666,5.0,8.0,0.625,2.0,3.0,0.667,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,13.0,9.6,-16.0
2015-10-28,NOP,POR,28.517808219178082,0.0,31.35,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,9.0
2015-10-31,NOP,GSW,28.526027397260275,1.0,22.15,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,6.6,-11.0
2015-11-03,NOP,ORL,28.534246575342465,0.0,21.183333333333334,2.0,5.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,5.0,5.4,3.0
2015-11-06,NOP,ATL,28.542465753424658,1.0,22.533333333333335,3.0,6.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,8.0,5.4,-5.0
2015-11-07,NOP,DAL,28.545205479452054,0.0,18.85,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,-17.0
2015-11-10,NOP,DAL,28.553424657534247,0.0,18.083333333333332,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,-4.0
2015-11-11,NOP,ATL,28.556164383561644,0.0,21.7,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,7.0,4.8,-15.0
2015-11-13,NOP,TOR,28.561643835616437,0.0,18.833333333333332,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,-9.0
2015-11-15,NOP,NYK,28.567123287671233,0.0,24.716666666666665,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,5.4,0.0
2015-11-17,NOP,DEN,28.572602739726026,1.0,31.416666666666668,5.0,8.0,0.625,0.0,1.0,0.0,1.0,2.0,0.5,4.0,1.0,5.0,0.0,2.0,3.0,1.0,2.0,11.0,12.4,-9.0
2015-11-18,NOP,OKC,28.575342465753426,0.0,26.983333333333334,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,6.0,9.0,7.1,0.0
2015-11-20,NOP,SAS,28.58082191780822,0.0,24.266666666666666,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,1.5,8.0
2015-11-22,NOP,PHO,28.586301369863016,0.0,8.95,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,-0.9,-7.0
2015-11-25,NOP,PHO,28.594520547945205,0.0,27.8,2.0,6.0,0.333,1.0,2.0,0.5,0.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,2.0,5.0,1.8,0.0
2015-11-27,NOP,LAC,28.6,0.0,19.816666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,2.0,1.9,0.0
