date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,27.594520547945205,0.0,15.683333333333334,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,5.0,4.0,-2.0
2015-10-30,DEN,MIN,27.6,0.0,26.433333333333334,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,0.0,3.0,6.0,9.0,2.0,0.0,1.0,1.0,5.0,3.0,1.5,-8.0
2015-11-01,DEN,OKC,27.605479452054794,0.0,24.133333333333333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0,6.0,4.7,-15.0
2015-11-03,DEN,LAL,27.610958904109587,0.0,15.933333333333334,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.7,1.0
2015-11-05,DEN,UTA,27.616438356164384,0.0,13.966666666666667,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.8,-14.0
2015-11-06,DEN,GSW,27.61917808219178,0.0,12.366666666666667,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,2.7,6.0
2015-11-09,DEN,POR,27.627397260273973,0.0,19.533333333333335,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,-0.3,2.0
2015-11-11,DEN,MIL,27.632876712328766,0.0,17.7,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,3.3,9.0
2015-11-13,DEN,HOU,27.638356164383563,0.0,12.433333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,10.0
2015-11-14,DEN,PHO,27.64109589041096,0.0,8.433333333333334,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.5,-3.0
2015-11-18,DEN,SAS,27.65205479452055,0.0,18.266666666666666,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,9.0,5.2,0.0
2015-11-20,DEN,PHO,27.65753424657534,0.0,18.7,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,5.3,5.0
2015-11-22,DEN,GSW,27.663013698630138,1.0,33.916666666666664,9.0,12.0,0.75,1.0,1.0,1.0,2.0,4.0,0.5,3.0,5.0,8.0,0.0,1.0,0.0,1.0,3.0,21.0,17.8,-4.0
2015-11-24,DEN,LAC,27.66849315068493,1.0,29.633333333333333,5.0,10.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,0.0,3.0,5.0,11.0,3.2,-9.0
2015-11-27,DEN,SAS,27.676712328767124,1.0,25.483333333333334,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.7,0.0
2015-11-28,DEN,DAL,27.67945205479452,1.0,31.45,8.0,13.0,0.615,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,16.0,12.7,0.0
2015-11-30,DEN,MIL,27.684931506849313,0.0,20.883333333333333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,4.0,1.8,0.0
2015-12-02,DEN,CHI,27.69041095890411,0.0,19.4,6.0,10.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,13.0,10.3,0.0
2015-12-03,DEN,TOR,27.693150684931506,1.0,26.966666666666665,8.0,14.0,0.571,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,2.0,2.0,0.0,3.0,19.0,18.2,0.0
2015-12-05,DEN,PHI,27.698630136986303,1.0,20.8,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,8.0,7.0,0.0
2015-12-08,DEN,ORL,27.706849315068492,0.0,7.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0
2015-12-15,DEN,MIN,27.726027397260275,0.0,15.466666666666667,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,4.3,0.0
2015-12-18,DEN,UTA,27.734246575342464,0.0,17.666666666666668,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0
