date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-31,WAS,NYK,26.526027397260275,0.0,4.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-2.8,2.0
2015-11-06,WAS,BOS,26.542465753424658,0.0,7.666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,5.0,0.0,-3.7,-6.0
2015-11-10,WAS,OKC,26.553424657534247,0.0,17.433333333333334,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,1.0,0.0,1.0,6.0,4.0,1.1,-1.0
2015-11-17,WAS,MIL,26.572602739726026,0.0,4.566666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0
2015-11-24,WAS,IND,26.59178082191781,0.0,1.7166666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2015-11-27,WAS,BOS,26.6,0.0,14.95,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,-0.9,0.0
2015-12-04,WAS,PHO,26.61917808219178,0.0,10.366666666666667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
2015-12-06,WAS,DAL,26.624657534246577,0.0,12.233333333333333,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,4.3,0.0
2015-12-07,WAS,MIA,26.627397260273973,0.0,1.3833333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2015-12-09,WAS,HOU,26.632876712328766,0.0,12.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,-1.6,0.0
2015-12-11,WAS,NOP,26.638356164383563,0.0,7.083333333333333,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,2.6,0.0
2015-12-12,WAS,DAL,26.64109589041096,0.0,8.133333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6,0.0
2015-12-14,WAS,MEM,26.646575342465752,0.0,22.066666666666666,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,5.0,6.0,5.7,0.0
2015-12-16,WAS,SAS,26.65205479452055,0.0,8.45,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,-0.3,-9.0
