date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CHI,CLE,27.063013698630137,1.0,32.46666666666667,8.0,22.0,0.364,0.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,18.0,7.8,0.0
2015-10-28,CHI,BRK,27.065753424657533,1.0,29.433333333333334,5.0,11.0,0.455,0.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,15.0,10.2,15.0
2015-10-30,CHI,DET,27.07123287671233,1.0,34.483333333333334,4.0,13.0,0.308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,5.0,3.0,8.0,-0.9,-14.0
2015-11-01,CHI,ORL,27.076712328767123,1.0,32.31666666666667,2.0,8.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,8.0,0.0,0.0,3.0,1.0,6.0,5.5,5.0
2015-11-03,CHI,CHO,27.08219178082192,1.0,23.866666666666667,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,4.0,1.3,-15.0
2015-11-05,CHI,OKC,27.087671232876712,1.0,37.483333333333334,12.0,25.0,0.48,0.0,1.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,7.0,0.0,0.0,2.0,1.0,29.0,20.3,2.0
2015-11-07,CHI,MIN,27.09315068493151,1.0,38.11666666666667,3.0,13.0,0.231,1.0,4.0,0.25,4.0,5.0,0.8,0.0,3.0,3.0,5.0,1.0,0.0,5.0,1.0,11.0,2.7,-21.0
2015-11-09,CHI,PHI,27.0986301369863,1.0,27.55,6.0,14.0,0.429,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,7.0,0.0,1.0,2.0,0.0,12.0,10.1,14.0
2015-11-13,CHI,CHO,27.10958904109589,1.0,34.65,4.0,14.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,3.0,2.0,10.0,5.6,-3.0
2015-11-16,CHI,IND,27.117808219178084,1.0,33.21666666666667,9.0,18.0,0.5,2.0,2.0,1.0,3.0,4.0,0.75,1.0,1.0,2.0,6.0,2.0,1.0,0.0,3.0,23.0,20.3,5.0
2015-11-24,CHI,POR,27.13972602739726,1.0,34.516666666666666,7.0,20.0,0.35,1.0,3.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,2.0,3.0,17.0,8.0,10.0
2015-11-27,CHI,IND,27.147945205479452,1.0,31.25,4.0,16.0,0.25,2.0,5.0,0.4,0.0,0.0,0.0,1.0,5.0,6.0,5.0,1.0,1.0,3.0,1.0,10.0,4.4,0.0
2015-11-30,CHI,SAS,27.156164383561645,1.0,34.13333333333333,5.0,17.0,0.294,0.0,2.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,11.0,6.4,0.0
2015-12-02,CHI,DEN,27.161643835616438,1.0,37.0,3.0,17.0,0.176,0.0,2.0,0.0,6.0,8.0,0.75,0.0,2.0,2.0,9.0,0.0,0.0,2.0,2.0,12.0,4.6,0.0
2015-12-05,CHI,CHO,27.16986301369863,1.0,34.233333333333334,8.0,17.0,0.471,3.0,6.0,0.5,0.0,1.0,0.0,0.0,7.0,7.0,5.0,0.0,0.0,2.0,2.0,19.0,12.7,0.0
2015-12-07,CHI,PHO,27.175342465753424,1.0,34.2,7.0,18.0,0.389,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,3.0,1.0,5.0,3.0,14.0,6.7,0.0
2015-12-09,CHI,BOS,27.18082191780822,1.0,36.5,5.0,11.0,0.455,1.0,3.0,0.333,1.0,4.0,0.25,0.0,2.0,2.0,6.0,0.0,1.0,3.0,0.0,12.0,7.6,0.0
2015-12-10,CHI,LAC,27.183561643835617,1.0,27.533333333333335,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,0.0,11.0,5.6,0.0
2015-12-12,CHI,NOP,27.18904109589041,1.0,28.716666666666665,4.0,10.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,9.0,6.2,0.0
2015-12-14,CHI,PHI,27.194520547945206,1.0,26.433333333333334,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,6.0,5.4,0.0
2015-12-16,CHI,MEM,27.2,1.0,33.1,9.0,19.0,0.474,0.0,3.0,0.0,1.0,3.0,0.333,0.0,2.0,2.0,5.0,1.0,0.0,3.0,1.0,19.0,10.2,11.0
2015-12-18,CHI,DET,27.205479452054796,1.0,54.21666666666667,14.0,34.0,0.412,1.0,3.0,0.333,5.0,5.0,1.0,0.0,4.0,4.0,8.0,1.0,0.0,4.0,5.0,34.0,17.6,0.0
