date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,18.994520547945207,0.0,21.333333333333332,6.0,7.0,0.857,1.0,2.0,0.5,1.0,3.0,0.333,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,14.0,11.8,5.0
2015-10-30,PHO,POR,19.0,0.0,2.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.1,-1.0
2015-11-04,PHO,SAC,19.013698630136986,0.0,6.066666666666666,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,4.4,-2.0
2015-11-08,PHO,OKC,19.024657534246575,0.0,9.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-2.6,-3.0
2015-11-12,PHO,LAC,19.035616438356165,0.0,1.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2015-11-14,PHO,DEN,19.041095890410958,0.0,14.95,2.0,8.0,0.25,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,-0.2,1.0
2015-11-16,PHO,LAL,19.046575342465754,0.0,2.066666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,1.0
2015-11-18,PHO,CHI,19.052054794520547,0.0,15.15,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,5.6,0.0
2015-11-20,PHO,DEN,19.057534246575344,0.0,9.616666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-0.8,19.0
2015-11-22,PHO,NOP,19.063013698630137,0.0,16.416666666666668,5.0,8.0,0.625,1.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,15.0,12.6,-4.0
2015-11-23,PHO,SAS,19.065753424657533,1.0,24.433333333333334,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,3.2,-8.0
2015-11-25,PHO,NOP,19.07123287671233,0.0,9.2,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,5.9,0.0
2015-11-27,PHO,GSW,19.076712328767123,0.0,24.716666666666665,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,1.3,0.0
2015-12-01,PHO,BRK,19.087671232876712,0.0,7.633333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4,-5.0
2015-12-02,PHO,DET,19.09041095890411,0.0,22.833333333333332,5.0,6.0,0.833,3.0,3.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,14.8,0.0
2015-12-04,PHO,WAS,19.095890410958905,0.0,16.05,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,5.3,0.0
2015-12-06,PHO,MEM,19.101369863013698,0.0,15.366666666666667,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,2.1,0.0
2015-12-07,PHO,CHI,19.104109589041094,0.0,32.916666666666664,6.0,10.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,1.0,1.0,14.0,13.4,0.0
2015-12-09,PHO,ORL,19.10958904109589,0.0,18.8,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.5,0.0
2015-12-11,PHO,POR,19.115068493150684,0.0,22.116666666666667,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,7.7,0.0
2015-12-13,PHO,MIN,19.12054794520548,0.0,14.4,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,0.1,0.0
2015-12-14,PHO,DAL,19.123287671232877,0.0,4.783333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7,0.0
2015-12-16,PHO,GSW,19.12876712328767,0.0,10.033333333333333,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,-4.2,-19.0
