date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,25.649315068493152,1.0,29.433333333333334,3.0,12.0,0.25,2.0,5.0,0.4,2.0,2.0,1.0,3.0,5.0,8.0,2.0,1.0,0.0,1.0,5.0,10.0,5.8,22.0
2015-10-30,GSW,HOU,25.65753424657534,1.0,31.233333333333334,3.0,8.0,0.375,1.0,2.0,0.5,2.0,4.0,0.5,1.0,6.0,7.0,7.0,2.0,1.0,1.0,2.0,9.0,12.1,13.0
2015-10-31,GSW,NOP,25.660273972602738,1.0,37.18333333333333,7.0,12.0,0.583,4.0,5.0,0.8,3.0,6.0,0.5,1.0,5.0,6.0,4.0,1.0,1.0,3.0,4.0,21.0,16.3,18.0
2015-11-02,GSW,MEM,25.665753424657535,1.0,26.95,4.0,7.0,0.571,3.0,4.0,0.75,0.0,0.0,0.0,0.0,9.0,9.0,8.0,0.0,3.0,2.0,2.0,11.0,15.3,41.0
2015-11-04,GSW,LAC,25.671232876712327,1.0,39.166666666666664,3.0,11.0,0.273,1.0,6.0,0.167,3.0,4.0,0.75,2.0,3.0,5.0,5.0,0.0,0.0,3.0,5.0,10.0,3.9,0.0
2015-11-06,GSW,DEN,25.676712328767124,1.0,33.05,5.0,9.0,0.556,2.0,3.0,0.667,0.0,0.0,0.0,2.0,7.0,9.0,8.0,0.0,1.0,2.0,3.0,12.0,14.3,18.0
2015-11-07,GSW,SAC,25.67945205479452,1.0,37.833333333333336,3.0,8.0,0.375,0.0,3.0,0.0,4.0,4.0,1.0,4.0,5.0,9.0,7.0,2.0,0.0,5.0,3.0,10.0,10.6,9.0
2015-11-09,GSW,DET,25.684931506849313,1.0,32.96666666666667,3.0,10.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,9.0,4.0,2.0,1.0,0.0,6.0,14.7,8.0
2015-11-11,GSW,MEM,25.69041095890411,1.0,28.016666666666666,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,1.0,5.0,6.0,4.0,0.0,2.0,3.0,6.0,7.0,4.3,-3.0
2015-11-12,GSW,MIN,25.693150684931506,1.0,35.05,8.0,10.0,0.8,2.0,3.0,0.667,5.0,5.0,1.0,0.0,8.0,8.0,12.0,2.0,2.0,2.0,3.0,23.0,30.2,32.0
2015-11-14,GSW,BRK,25.698630136986303,1.0,42.016666666666666,7.0,18.0,0.389,2.0,7.0,0.286,0.0,0.0,0.0,2.0,8.0,10.0,12.0,2.0,4.0,4.0,4.0,16.0,17.6,3.0
2015-11-17,GSW,TOR,25.706849315068492,1.0,35.15,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,9.0,9.0,5.0,1.0,1.0,3.0,4.0,9.0,9.3,1.0
2015-11-19,GSW,LAC,25.71232876712329,1.0,30.016666666666666,7.0,9.0,0.778,3.0,3.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,9.0,1.0,1.0,3.0,4.0,19.0,20.7,7.0
2015-11-20,GSW,CHI,25.715068493150685,1.0,35.13333333333333,3.0,8.0,0.375,0.0,2.0,0.0,3.0,4.0,0.75,1.0,8.0,9.0,5.0,0.0,0.0,3.0,0.0,9.0,7.8,5.0
2015-11-22,GSW,DEN,25.720547945205478,1.0,31.266666666666666,5.0,7.0,0.714,3.0,5.0,0.6,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,1.0,4.0,5.0,13.0,10.5,12.0
2015-11-24,GSW,LAL,25.726027397260275,1.0,30.266666666666666,7.0,11.0,0.636,2.0,5.0,0.4,2.0,2.0,1.0,2.0,5.0,7.0,5.0,1.0,2.0,2.0,0.0,18.0,19.9,35.0
