date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,33.778082191780825,1.0,29.0,7.0,16.0,0.438,0.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,2.0,20.0,15.3,-2.0
2015-10-30,MIA,CLE,33.78356164383562,1.0,30.416666666666668,8.0,15.0,0.533,1.0,2.0,0.5,8.0,8.0,1.0,0.0,4.0,4.0,3.0,2.0,1.0,7.0,4.0,25.0,15.1,3.0
2015-11-01,MIA,HOU,33.78904109589041,1.0,32.833333333333336,6.0,16.0,0.375,2.0,3.0,0.667,6.0,6.0,1.0,0.0,2.0,2.0,8.0,2.0,0.0,1.0,1.0,20.0,18.0,14.0
2015-11-03,MIA,ATL,33.794520547945204,1.0,27.15,8.0,15.0,0.533,1.0,3.0,0.333,4.0,6.0,0.667,1.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,21.0,12.0,-8.0
2015-11-05,MIA,MIN,33.8,1.0,31.183333333333334,11.0,19.0,0.579,1.0,2.0,0.5,2.0,5.0,0.4,1.0,4.0,5.0,2.0,3.0,0.0,2.0,1.0,25.0,18.8,22.0
2015-11-06,MIA,IND,33.8027397260274,1.0,29.7,4.0,15.0,0.267,0.0,4.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,6.0,1.0,1.0,0.0,2.0,9.0,5.5,-24.0
2015-11-08,MIA,TOR,33.80821917808219,1.0,24.933333333333334,4.0,13.0,0.308,1.0,1.0,1.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,12.0,6.1,3.0
2015-11-10,MIA,LAL,33.81369863013698,1.0,24.733333333333334,5.0,14.0,0.357,0.0,1.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,6.0,0.0,1.0,1.0,2.0,12.0,7.5,23.0
2015-11-17,MIA,MIN,33.83287671232877,1.0,31.9,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,5.0,1.0,10.0,3.7,-3.0
2015-11-19,MIA,SAC,33.83835616438356,1.0,31.283333333333335,10.0,23.0,0.435,0.0,2.0,0.0,4.0,6.0,0.667,1.0,4.0,5.0,6.0,2.0,0.0,0.0,1.0,24.0,18.8,-1.0
2015-11-21,MIA,PHI,33.843835616438355,1.0,36.016666666666666,8.0,17.0,0.471,0.0,1.0,0.0,11.0,13.0,0.846,2.0,5.0,7.0,4.0,3.0,1.0,1.0,3.0,27.0,24.7,0.0
2015-11-23,MIA,NYK,33.84931506849315,1.0,29.8,6.0,16.0,0.375,0.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,5.0,0.0,0.0,2.0,3.0,16.0,9.5,3.0
2015-11-25,MIA,DET,33.85479452054795,1.0,23.433333333333334,1.0,9.0,0.111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,-1.9,0.0
2015-11-27,MIA,NYK,33.86027397260274,1.0,28.933333333333334,7.0,17.0,0.412,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,0.0,0.0,3.0,0.0,17.0,9.3,0.0
2015-11-30,MIA,BOS,33.868493150684934,1.0,31.533333333333335,12.0,24.0,0.5,0.0,1.0,0.0,6.0,6.0,1.0,3.0,1.0,4.0,4.0,5.0,0.0,6.0,3.0,30.0,21.0,0.0
2015-12-03,MIA,OKC,33.87671232876713,1.0,33.13333333333333,11.0,21.0,0.524,0.0,0.0,0.0,6.0,9.0,0.667,0.0,4.0,4.0,4.0,1.0,0.0,2.0,1.0,28.0,19.1,0.0
2015-12-05,MIA,CLE,33.88219178082192,1.0,28.883333333333333,8.0,14.0,0.571,0.0,0.0,0.0,3.0,5.0,0.6,1.0,4.0,5.0,4.0,1.0,0.0,1.0,2.0,19.0,15.5,0.0
2015-12-07,MIA,WAS,33.88767123287671,1.0,31.6,12.0,15.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,9.0,1.0,0.0,5.0,3.0,26.0,23.5,0.0
2015-12-09,MIA,CHO,33.893150684931506,1.0,24.766666666666666,5.0,11.0,0.455,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,11.0,8.4,0.0
2015-12-11,MIA,IND,33.8986301369863,1.0,34.1,10.0,23.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,0.0,20.0,10.9,0.0
2015-12-13,MIA,MEM,33.9041095890411,1.0,30.216666666666665,7.0,16.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,14.0,5.4,0.0
2015-12-14,MIA,ATL,33.90684931506849,1.0,29.05,3.0,16.0,0.188,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,6.0,0.0,0.0,1.0,0.0,7.0,2.8,0.0
2015-12-16,MIA,BRK,33.912328767123284,1.0,30.15,13.0,17.0,0.765,1.0,1.0,1.0,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,3.0,3.0,0.0,28.0,23.3,0.0
2015-12-18,MIA,TOR,33.917808219178085,1.0,31.466666666666665,8.0,16.0,0.5,0.0,2.0,0.0,5.0,5.0,1.0,2.0,4.0,6.0,5.0,0.0,0.0,8.0,0.0,21.0,11.1,0.0
