date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,25.884931506849316,1.0,31.383333333333333,4.0,12.0,0.333,0.0,2.0,0.0,5.0,7.0,0.714,1.0,3.0,4.0,4.0,0.0,0.0,2.0,4.0,13.0,6.2,-26.0
2015-10-30,PHO,POR,25.89041095890411,1.0,33.233333333333334,6.0,14.0,0.429,0.0,2.0,0.0,10.0,11.0,0.909,0.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,22.0,16.6,15.0
2015-10-31,PHO,POR,25.893150684931506,1.0,38.38333333333333,12.0,21.0,0.571,2.0,6.0,0.333,7.0,9.0,0.778,0.0,3.0,3.0,6.0,4.0,2.0,2.0,1.0,33.0,30.4,11.0
2015-11-02,PHO,LAC,25.898630136986302,1.0,31.633333333333333,6.0,19.0,0.316,1.0,4.0,0.25,3.0,4.0,0.75,0.0,4.0,4.0,7.0,2.0,1.0,3.0,3.0,16.0,9.3,-12.0
2015-11-04,PHO,SAC,25.904109589041095,1.0,32.61666666666667,8.0,18.0,0.444,2.0,4.0,0.5,1.0,3.0,0.333,0.0,6.0,6.0,8.0,4.0,1.0,4.0,0.0,19.0,16.9,22.0
2015-11-06,PHO,DET,25.90958904109589,1.0,37.06666666666667,9.0,23.0,0.391,2.0,6.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,4.0,3.0,0.0,4.0,6.0,22.0,9.1,0.0
2015-11-08,PHO,OKC,25.915068493150685,1.0,37.06666666666667,10.0,15.0,0.667,2.0,2.0,1.0,6.0,7.0,0.857,1.0,1.0,2.0,11.0,0.0,0.0,2.0,4.0,28.0,26.2,-10.0
2015-11-12,PHO,LAC,25.926027397260274,1.0,34.65,9.0,13.0,0.692,2.0,5.0,0.4,6.0,7.0,0.857,2.0,8.0,10.0,9.0,2.0,0.0,8.0,4.0,26.0,22.6,8.0
2015-11-14,PHO,DEN,25.931506849315067,1.0,29.916666666666668,11.0,16.0,0.688,3.0,4.0,0.75,5.0,5.0,1.0,0.0,7.0,7.0,4.0,2.0,0.0,3.0,0.0,30.0,27.1,31.0
2015-11-16,PHO,LAL,25.936986301369863,1.0,28.283333333333335,8.0,16.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,1.0,0.0,1.0,3.0,2.0,0.0,5.0,3.0,21.0,11.2,6.0
2015-11-18,PHO,CHI,25.942465753424656,1.0,39.166666666666664,7.0,22.0,0.318,2.0,8.0,0.25,5.0,7.0,0.714,0.0,6.0,6.0,7.0,2.0,0.0,2.0,1.0,21.0,13.9,0.0
2015-11-20,PHO,DEN,25.947945205479453,1.0,37.45,9.0,17.0,0.529,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,22.0,14.0,10.0
2015-11-22,PHO,NOP,25.953424657534246,1.0,33.81666666666667,7.0,15.0,0.467,4.0,8.0,0.5,11.0,12.0,0.917,1.0,6.0,7.0,6.0,1.0,0.0,5.0,5.0,29.0,21.6,0.0
2015-11-25,PHO,NOP,25.96164383561644,1.0,37.4,5.0,16.0,0.313,1.0,2.0,0.5,7.0,7.0,1.0,1.0,1.0,2.0,7.0,0.0,2.0,4.0,3.0,18.0,10.9,0.0
