date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAC,SAC,31.345205479452055,1.0,30.75,5.0,11.0,0.455,2.0,5.0,0.4,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,15.0,7.1,17.0
2015-10-29,LAC,DAL,31.34794520547945,1.0,23.866666666666667,4.0,9.0,0.444,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,12.0,9.6,13.0
2015-10-31,LAC,SAC,31.353424657534248,1.0,32.68333333333333,8.0,9.0,0.889,2.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,23.0,20.4,14.0
2015-11-02,LAC,PHO,31.35890410958904,1.0,27.833333333333332,3.0,12.0,0.25,3.0,10.0,0.3,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,10.0,4.1,1.0
2015-11-04,LAC,GSW,31.364383561643837,1.0,28.716666666666665,5.0,8.0,0.625,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,13.0,10.4,4.0
2015-11-07,LAC,HOU,31.372602739726027,1.0,34.93333333333333,8.0,15.0,0.533,0.0,2.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,3.0,1.0,0.0,3.0,3.0,19.0,11.2,4.0
2015-11-09,LAC,MEM,31.378082191780823,1.0,30.266666666666666,4.0,8.0,0.5,2.0,6.0,0.333,6.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,16.0,9.9,-10.0
2015-11-11,LAC,DAL,31.383561643835616,1.0,13.833333333333334,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,7.3,-2.0
2015-11-20,LAC,POR,31.40821917808219,1.0,25.883333333333333,3.0,12.0,0.25,1.0,5.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,7.0,-0.1,-13.0
2015-11-22,LAC,TOR,31.413698630136988,1.0,29.35,5.0,13.0,0.385,3.0,6.0,0.5,4.0,5.0,0.8,1.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,17.0,7.5,-9.0
2015-11-24,LAC,DEN,31.41917808219178,1.0,28.116666666666667,6.0,10.0,0.6,2.0,2.0,1.0,2.0,3.0,0.667,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,16.0,11.2,19.0
2015-11-25,LAC,UTA,31.421917808219177,1.0,21.183333333333334,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,3.0,-4.1,0.0
2015-11-27,LAC,NOP,31.427397260273974,1.0,24.6,8.0,14.0,0.571,3.0,3.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,20.0,14.5,0.0
2015-11-29,LAC,MIN,31.432876712328767,1.0,33.25,7.0,12.0,0.583,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,18.0,10.6,0.0
2015-11-30,LAC,POR,31.435616438356163,1.0,30.033333333333335,5.0,14.0,0.357,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,14.0,7.5,0.0
2015-12-02,LAC,IND,31.44109589041096,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2015-12-07,LAC,MIN,31.454794520547946,1.0,21.7,1.0,9.0,0.111,0.0,5.0,0.0,11.0,11.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,13.0,6.0,0.0
2015-12-09,LAC,MIL,31.46027397260274,1.0,33.43333333333333,11.0,18.0,0.611,6.0,9.0,0.667,3.0,4.0,0.75,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,31.0,22.3,0.0
2015-12-10,LAC,CHI,31.463013698630135,1.0,29.4,2.0,11.0,0.182,0.0,2.0,0.0,4.0,5.0,0.8,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,4.1,0.0
2015-12-12,LAC,BRK,31.46849315068493,1.0,27.316666666666666,6.0,11.0,0.545,4.0,6.0,0.667,5.0,7.0,0.714,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,21.0,15.4,0.0
2015-12-14,LAC,DET,31.473972602739725,1.0,31.75,10.0,17.0,0.588,4.0,8.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,24.0,16.3,0.0
2015-12-16,LAC,MIL,31.47945205479452,1.0,27.416666666666668,5.0,11.0,0.455,3.0,6.0,0.5,6.0,6.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,19.0,15.4,15.0
2015-12-18,LAC,SAS,31.484931506849314,1.0,32.583333333333336,5.0,9.0,0.556,3.0,6.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,14.0,10.2,0.0
