date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,TOR,IND,28.684931506849313,0.0,3.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2015-10-30,TOR,BOS,28.69041095890411,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,3.0
2015-11-01,TOR,MIL,28.695890410958903,0.0,2.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0
2015-11-08,TOR,MIA,28.715068493150685,1.0,25.616666666666667,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,1.0,6.0,7.0,2.0,1.0,0.0,2.0,3.0,7.0,5.2,-3.0
2015-11-10,TOR,NYK,28.720547945205478,1.0,29.483333333333334,1.0,3.0,0.333,1.0,2.0,0.5,4.0,6.0,0.667,1.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,7.0,7.4,4.0
2015-11-11,TOR,PHI,28.723287671232878,1.0,29.966666666666665,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,8.0,8.3,17.0
2015-11-15,TOR,SAC,28.734246575342464,0.0,11.866666666666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.4,0.0
2015-11-17,TOR,GSW,28.73972602739726,0.0,9.383333333333333,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,2.4,-6.0
2015-11-18,TOR,UTA,28.742465753424657,0.0,14.833333333333334,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,2.7,4.0
2015-11-20,TOR,LAL,28.747945205479454,0.0,15.216666666666667,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,5.0,4.3,9.0
2015-11-22,TOR,LAC,28.753424657534246,0.0,6.833333333333333,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2015-11-25,TOR,CLE,28.76164383561644,0.0,5.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,0.0
2015-11-28,TOR,WAS,28.76986301369863,0.0,4.833333333333333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.1,0.0
2015-11-29,TOR,PHO,28.77260273972603,0.0,11.6,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,5.7,0.0
2015-12-03,TOR,DEN,28.783561643835615,0.0,4.133333333333334,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.3,0.0
2015-12-05,TOR,GSW,28.78904109589041,0.0,5.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9,0.0
2015-12-07,TOR,LAL,28.794520547945204,0.0,16.85,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,3.9,0.0
2015-12-09,TOR,SAS,28.8,0.0,15.566666666666666,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,4.5,0.0
2015-12-11,TOR,MIL,28.805479452054794,0.0,10.683333333333334,3.0,4.0,0.75,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,7.0,3.6,0.0
2015-12-13,TOR,PHI,28.81095890410959,0.0,15.1,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,9.0,7.5,0.0
2015-12-14,TOR,IND,28.813698630136987,0.0,18.966666666666665,2.0,5.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,7.7,0.0
2015-12-17,TOR,CHO,28.82191780821918,0.0,12.533333333333333,3.0,5.0,0.6,0.0,1.0,0.0,3.0,5.0,0.6,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,9.0,3.0,1.0
2015-12-18,TOR,MIA,28.824657534246576,1.0,32.18333333333333,5.0,9.0,0.556,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,13.0,14.2,0.0
