date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,WAS,MIL,30.306849315068494,0.0,25.366666666666667,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.0,6.0,6.0,2.0,1.0,1.0,1.0,3.0,6.0,7.0,14.0
2015-10-31,WAS,NYK,30.30958904109589,0.0,17.816666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,-1.0,0.0
2015-11-04,WAS,SAS,30.32054794520548,0.0,17.2,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,3.6,14.0
2015-11-06,WAS,BOS,30.326027397260273,0.0,27.133333333333333,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,0.0,2.0,0.0,8.0,6.1,-23.0
2015-11-07,WAS,ATL,30.328767123287673,0.0,20.233333333333334,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.3,2.0
2015-11-10,WAS,OKC,30.336986301369862,0.0,17.366666666666667,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.2,4.0
2015-11-14,WAS,ORL,30.34794520547945,0.0,19.916666666666668,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,5.8,1.0
2015-11-17,WAS,MIL,30.356164383561644,0.0,22.7,4.0,6.0,0.667,3.0,4.0,0.75,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,0.0,0.0,13.0,15.0,35.0
2015-11-21,WAS,DET,30.367123287671234,0.0,27.133333333333333,3.0,4.0,0.75,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,9.0,7.3,0.0
2015-11-24,WAS,IND,30.375342465753423,0.0,27.4,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,5.0,3.2,2.0
2015-11-25,WAS,CHO,30.378082191780823,0.0,24.366666666666667,1.0,5.0,0.2,1.0,2.0,0.5,4.0,4.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0,5.7,0.0
2015-11-27,WAS,BOS,30.383561643835616,0.0,30.266666666666666,5.0,9.0,0.556,3.0,4.0,0.75,6.0,7.0,0.857,1.0,4.0,5.0,1.0,0.0,2.0,4.0,2.0,19.0,13.5,0.0
2015-11-28,WAS,TOR,30.386301369863013,1.0,30.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,7.0,4.5,0.0
2015-12-01,WAS,CLE,30.394520547945206,1.0,31.633333333333333,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,12.0,9.0,0.0
2015-12-02,WAS,LAL,30.397260273972602,1.0,31.683333333333334,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,8.0,5.1,0.0
2015-12-04,WAS,PHO,30.4027397260274,1.0,23.066666666666666,0.0,7.0,0.0,0.0,3.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,-1.1,0.0
2015-12-06,WAS,DAL,30.40821917808219,1.0,33.81666666666667,2.0,7.0,0.286,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,6.0,4.1,0.0
2015-12-07,WAS,MIA,30.410958904109588,1.0,34.68333333333333,4.0,9.0,0.444,2.0,4.0,0.5,2.0,3.0,0.667,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,12.0,8.4,0.0
2015-12-09,WAS,HOU,30.416438356164385,1.0,24.183333333333334,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,10.0,9.8,0.0
2015-12-11,WAS,NOP,30.421917808219177,1.0,37.93333333333333,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,4.0,8.0,8.7,0.0
2015-12-12,WAS,DAL,30.424657534246574,1.0,33.25,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,5.0,13.0,8.6,0.0
2015-12-14,WAS,MEM,30.43013698630137,1.0,27.4,6.0,10.0,0.6,2.0,3.0,0.667,0.0,2.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,14.0,11.5,0.0
2015-12-16,WAS,SAS,30.435616438356163,0.0,19.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.9,-6.0
