date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MEM,CLE,29.167123287671235,1.0,20.066666666666666,3.0,9.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,8.0,2.2,-20.0
2015-10-29,MEM,IND,29.16986301369863,0.0,29.133333333333333,5.0,6.0,0.833,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,12.0,9.5,14.0
2015-10-31,MEM,BRK,29.175342465753424,0.0,27.0,2.0,5.0,0.4,1.0,3.0,0.333,8.0,10.0,0.8,0.0,4.0,4.0,5.0,0.0,0.0,0.0,3.0,13.0,13.0,11.0
2015-11-02,MEM,GSW,29.18082191780822,0.0,19.6,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,-4.6,-18.0
2015-11-03,MEM,SAC,29.183561643835617,0.0,21.966666666666665,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,5.0,1.4,5.0
2015-11-05,MEM,POR,29.18904109589041,0.0,19.75,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,1.8,-12.0
2015-11-07,MEM,UTA,29.194520547945206,0.0,28.716666666666665,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,8.0,3.8,-3.0
2015-11-09,MEM,LAC,29.2,0.0,17.35,2.0,7.0,0.286,0.0,1.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,5.0,-1.1,-17.0
2015-11-11,MEM,GSW,29.205479452054796,0.0,17.35,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.2,-5.0
2015-11-13,MEM,POR,29.21095890410959,0.0,29.966666666666665,4.0,10.0,0.4,0.0,0.0,0.0,6.0,6.0,1.0,3.0,2.0,5.0,2.0,2.0,0.0,0.0,3.0,14.0,13.5,4.0
