date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,NYK,MIL,23.052054794520547,0.0,24.183333333333334,4.0,7.0,0.571,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,2.0,10.0,12.7,20.0
2015-10-29,NYK,ATL,23.054794520547944,0.0,28.75,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,7.0,0.0,0.0,3.0,3.0,5.0,5.8,5.0
2015-10-31,NYK,WAS,23.06027397260274,0.0,21.166666666666668,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,3.0,7.0,3.1,4.0
2015-11-02,NYK,SAS,23.065753424657533,0.0,23.333333333333332,5.0,8.0,0.625,0.0,0.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,12.0,9.5,6.0
2015-11-04,NYK,CLE,23.07123287671233,0.0,16.616666666666667,0.0,5.0,0.0,0.0,2.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,3.4,-5.0
2015-11-06,NYK,MIL,23.076712328767123,0.0,23.383333333333333,2.0,5.0,0.4,0.0,2.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,3.0,1.0,0.0,1.0,4.0,8.0,5.6,10.0
2015-11-08,NYK,LAL,23.08219178082192,0.0,18.35,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,2.0,2.0,2.0,1.6,-5.0
2015-11-10,NYK,TOR,23.087671232876712,0.0,18.4,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,4.3,-3.0
2015-11-11,NYK,CHO,23.09041095890411,0.0,18.733333333333334,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,8.0,3.9,-4.0
2015-11-13,NYK,CLE,23.095890410958905,0.0,15.0,0.0,5.0,0.0,0.0,2.0,0.0,6.0,6.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,6.0,3.0,3.0
2015-11-15,NYK,NOP,23.101369863013698,0.0,26.016666666666666,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,7.0,3.2,0.0
2015-11-17,NYK,CHO,23.106849315068494,0.0,12.733333333333333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.2,-8.0
2015-11-20,NYK,OKC,23.115068493150684,0.0,13.0,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.5,7.0
2015-11-21,NYK,HOU,23.117808219178084,0.0,13.3,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,2.4,0.0
