date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DAL,PHO,24.646575342465752,0.0,3.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-10.0
2015-10-29,DAL,LAC,24.649315068493152,1.0,35.3,8.0,16.0,0.5,0.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,0.0,0.0,2.0,1.0,17.0,10.9,-23.0
2015-11-05,DAL,CHO,24.66849315068493,0.0,3.8166666666666664,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.9,5.0
2015-11-14,DAL,HOU,24.693150684931506,0.0,12.283333333333333,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.2,15.0
2015-11-24,DAL,MEM,24.720547945205478,0.0,2.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7,1.0
2015-11-28,DAL,DEN,24.731506849315068,0.0,2.4333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,0.0
2015-11-30,DAL,SAC,24.736986301369864,0.0,3.45,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,0.0
2015-12-01,DAL,POR,24.73972602739726,0.0,8.566666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-2.0
2015-12-06,DAL,WAS,24.753424657534246,0.0,19.983333333333334,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2.8,0.0
2015-12-07,DAL,NYK,24.756164383561643,0.0,11.633333333333333,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.6,0.0
2015-12-18,DAL,MEM,24.786301369863015,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
