date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,26.457534246575342,0.0,20.216666666666665,5.0,9.0,0.556,1.0,3.0,0.333,3.0,4.0,0.75,2.0,5.0,7.0,3.0,0.0,1.0,0.0,3.0,14.0,13.8,-1.0
2015-10-30,PHO,POR,26.463013698630135,0.0,14.6,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,1.5,5.0
2015-10-31,PHO,POR,26.465753424657535,0.0,21.9,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,1.0,7.0,8.0,1.0,0.0,0.0,1.0,2.0,8.0,6.0,-10.0
2015-11-02,PHO,LAC,26.471232876712328,0.0,11.533333333333333,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,7.7,2.0
2015-11-04,PHO,SAC,26.476712328767125,0.0,14.983333333333333,2.0,3.0,0.667,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,2.6,8.0
2015-11-06,PHO,DET,26.482191780821918,0.0,13.066666666666666,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,0.9,-3.0
2015-11-08,PHO,OKC,26.487671232876714,0.0,11.65,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,3.8,6.0
2015-11-12,PHO,LAC,26.4986301369863,0.0,24.416666666666668,4.0,13.0,0.308,1.0,3.0,0.333,1.0,1.0,1.0,2.0,9.0,11.0,2.0,0.0,1.0,1.0,1.0,10.0,7.3,5.0
2015-11-14,PHO,DEN,26.504109589041096,1.0,18.816666666666666,2.0,6.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,7.0,4.7,13.0
2015-11-16,PHO,LAL,26.50958904109589,1.0,21.033333333333335,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.5,4.0
2015-11-18,PHO,CHI,26.515068493150686,0.0,6.283333333333333,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,-6.0
2015-11-20,PHO,DEN,26.52054794520548,0.0,21.25,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,6.0,3.0,2.1,19.0
2015-11-22,PHO,NOP,26.526027397260275,0.0,7.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,3.3,0.0
2015-11-23,PHO,SAS,26.528767123287672,0.0,11.85,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,2.0,6.0,4.8,-6.0
