date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,BOS,PHI,28.65753424657534,0.0,15.033333333333333,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,5.0,4.2,16.0
2015-10-30,BOS,TOR,28.663013698630138,0.0,8.066666666666666,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.3,-6.0
2015-11-01,BOS,SAS,28.66849315068493,0.0,13.666666666666666,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,3.5,-3.0
2015-11-04,BOS,IND,28.676712328767124,0.0,15.533333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,3.2,1.0
2015-11-06,BOS,WAS,28.682191780821917,0.0,19.866666666666667,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,6.0,5.4,19.0
2015-11-10,BOS,MIL,28.693150684931506,0.0,15.083333333333334,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,6.0,6.3,17.0
2015-11-11,BOS,IND,28.695890410958903,0.0,16.433333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,-0.2,-7.0
2015-11-13,BOS,ATL,28.7013698630137,0.0,12.133333333333333,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,2.2,-7.0
2015-11-15,BOS,OKC,28.706849315068492,0.0,6.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
2015-11-16,BOS,HOU,28.70958904109589,0.0,13.9,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,6.0,3.6,7.0
2015-11-18,BOS,DAL,28.715068493150685,0.0,4.516666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-2.0
2015-11-20,BOS,BRK,28.720547945205478,0.0,18.85,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,7.0
2015-11-22,BOS,BRK,28.726027397260275,0.0,17.85,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,-1.2,2.0
