date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAL,MIN,23.39178082191781,1.0,29.716666666666665,5.0,12.0,0.417,0.0,2.0,0.0,4.0,6.0,0.667,2.0,2.0,4.0,3.0,0.0,0.0,2.0,4.0,14.0,7.3,7.0
2015-10-30,LAL,SAC,23.397260273972602,1.0,28.533333333333335,10.0,15.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,1.0,22.0,16.0,-16.0
2015-11-01,LAL,DAL,23.4027397260274,1.0,30.0,2.0,8.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,7.0,4.9,-13.0
2015-11-03,LAL,DEN,23.40821917808219,1.0,37.2,12.0,19.0,0.632,4.0,6.0,0.667,2.0,3.0,0.667,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,30.0,24.0,-10.0
2015-11-06,LAL,BRK,23.416438356164385,1.0,32.78333333333333,6.0,12.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,1.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,16.0,10.9,2.0
2015-11-08,LAL,NYK,23.421917808219177,1.0,28.7,4.0,13.0,0.308,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,10.0,2.8,-5.0
2015-11-10,LAL,MIA,23.427397260273974,1.0,30.983333333333334,6.0,16.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,12.0,2.8,-17.0
2015-11-11,LAL,ORL,23.43013698630137,1.0,25.533333333333335,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,4.0,2.4,-4.0
2015-11-13,LAL,DAL,23.435616438356163,1.0,30.933333333333334,9.0,18.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,21.0,17.6,4.0
2015-11-15,LAL,DET,23.44109589041096,1.0,29.233333333333334,5.0,10.0,0.5,2.0,4.0,0.5,5.0,8.0,0.625,0.0,6.0,6.0,3.0,0.0,0.0,5.0,4.0,17.0,8.1,0.0
2015-11-16,LAL,PHO,23.443835616438356,1.0,33.15,6.0,12.0,0.5,2.0,3.0,0.667,6.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,20.0,14.9,-9.0
2015-11-20,LAL,TOR,23.454794520547946,1.0,32.1,6.0,13.0,0.462,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,13.0,8.2,13.0
2015-11-22,LAL,POR,23.46027397260274,1.0,35.45,8.0,14.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0,19.0,11.7,-7.0
2015-11-24,LAL,GSW,23.465753424657535,1.0,26.533333333333335,2.0,11.0,0.182,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,-2.5,-25.0
2015-11-28,LAL,POR,23.476712328767125,1.0,36.43333333333333,8.0,15.0,0.533,2.0,5.0,0.4,1.0,2.0,0.5,0.0,3.0,3.0,4.0,4.0,0.0,2.0,1.0,19.0,16.6,0.0
2015-11-29,LAL,IND,23.47945205479452,1.0,39.2,8.0,15.0,0.533,2.0,4.0,0.5,4.0,4.0,1.0,2.0,8.0,10.0,6.0,1.0,0.0,0.0,3.0,22.0,22.5,0.0
2015-12-01,LAL,PHI,23.484931506849314,1.0,37.733333333333334,9.0,19.0,0.474,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,19.0,12.2,0.0
2015-12-02,LAL,WAS,23.487671232876714,1.0,35.95,6.0,14.0,0.429,0.0,2.0,0.0,6.0,6.0,1.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,5.0,18.0,11.9,0.0
2015-12-04,LAL,ATL,23.493150684931507,1.0,28.733333333333334,5.0,8.0,0.625,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,13.0,10.3,0.0
2015-12-06,LAL,DET,23.4986301369863,1.0,30.033333333333335,3.0,11.0,0.273,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,7.0,-0.7,0.0
2015-12-07,LAL,TOR,23.5013698630137,1.0,31.966666666666665,5.0,15.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,13.0,5.7,0.0
2015-12-09,LAL,MIN,23.506849315068493,1.0,23.2,7.0,10.0,0.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,3.0,14.0,7.5,0.0
2015-12-15,LAL,MIL,23.523287671232875,1.0,32.86666666666667,5.0,14.0,0.357,1.0,2.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,3.0,3.0,0.0,3.0,1.0,12.0,7.7,0.0
2015-12-17,LAL,HOU,23.528767123287672,1.0,38.516666666666666,6.0,14.0,0.429,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,12.0,8.2,-21.0
