date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,NOP,POR,25.378082191780823,1.0,21.116666666666667,5.0,14.0,0.357,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,12.0,3.8,-13.0
2015-10-31,NOP,GSW,25.386301369863013,1.0,26.75,8.0,19.0,0.421,1.0,4.0,0.25,5.0,5.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,4.0,4.0,22.0,11.1,-10.0
2015-11-03,NOP,ORL,25.394520547945206,1.0,23.4,4.0,13.0,0.308,2.0,3.0,0.667,4.0,6.0,0.667,0.0,2.0,2.0,4.0,2.0,1.0,3.0,0.0,14.0,8.8,9.0
2015-11-06,NOP,ATL,25.4027397260274,1.0,23.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,8.0,1.0,0.0,7.0,0.0,4.0,2.5,3.0
2015-11-10,NOP,DAL,25.413698630136988,1.0,15.483333333333333,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,10.0,10.7,12.0
2015-11-13,NOP,TOR,25.421917808219177,1.0,21.183333333333334,8.0,14.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,19.0,13.7,-15.0
2015-11-15,NOP,NYK,25.427397260273974,1.0,24.766666666666666,2.0,8.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,7.0,2.3,0.0
2015-11-17,NOP,DEN,25.432876712328767,1.0,22.7,4.0,13.0,0.308,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,10.0,7.0,-20.0
2015-11-20,NOP,SAS,25.44109589041096,1.0,23.866666666666667,3.0,10.0,0.3,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,7.0,0.0,1.0,1.0,4.0,9.0,7.1,5.0
2015-11-22,NOP,PHO,25.446575342465753,1.0,22.95,3.0,6.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,8.0,3.6,-6.0
2015-11-25,NOP,PHO,25.454794520547946,1.0,25.016666666666666,6.0,15.0,0.4,1.0,4.0,0.25,6.0,6.0,1.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,4.0,19.0,12.1,0.0
2015-11-27,NOP,LAC,25.46027397260274,1.0,13.0,3.0,6.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,7.0,2.7,0.0
2015-11-28,NOP,UTA,25.463013698630135,1.0,14.366666666666667,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,-3.2,0.0
2015-12-01,NOP,MEM,25.471232876712328,1.0,25.966666666666665,4.0,7.0,0.571,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,12.0,10.4,7.0
2015-12-04,NOP,CLE,25.47945205479452,0.0,25.016666666666666,5.0,10.0,0.5,1.0,2.0,0.5,2.0,3.0,0.667,2.0,5.0,7.0,5.0,2.0,0.0,2.0,3.0,13.0,12.8,0.0
2015-12-07,NOP,BOS,25.487671232876714,0.0,22.216666666666665,4.0,9.0,0.444,1.0,2.0,0.5,5.0,5.0,1.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,14.0,14.4,0.0
2015-12-11,NOP,WAS,25.4986301369863,0.0,26.733333333333334,6.0,10.0,0.6,5.0,7.0,0.714,2.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,4.0,3.0,19.0,16.4,0.0
2015-12-14,NOP,POR,25.506849315068493,0.0,28.683333333333334,7.0,14.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,19.0,14.4,0.0
2015-12-16,NOP,UTA,25.512328767123286,0.0,23.55,6.0,10.0,0.6,2.0,3.0,0.667,1.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,15.0,16.8,13.0
2015-12-18,NOP,PHO,25.517808219178082,0.0,26.833333333333332,4.0,13.0,0.308,1.0,6.0,0.167,5.0,8.0,0.625,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,14.0,5.9,0.0
