date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAL,MIN,20.912328767123288,1.0,30.066666666666666,5.0,13.0,0.385,0.0,0.0,0.0,5.0,6.0,0.833,2.0,9.0,11.0,2.0,0.0,0.0,1.0,3.0,15.0,10.8,3.0
2015-10-30,LAL,SAC,20.91780821917808,1.0,16.216666666666665,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,3.0,-6.3,-26.0
2015-11-01,LAL,DAL,20.923287671232877,1.0,33.61666666666667,9.0,17.0,0.529,0.0,0.0,0.0,4.0,8.0,0.5,0.0,15.0,15.0,4.0,4.0,1.0,2.0,2.0,22.0,21.3,2.0
2015-11-03,LAL,DEN,20.92876712328767,1.0,32.31666666666667,7.0,14.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,0.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,16.0,10.4,-5.0
2015-11-06,LAL,BRK,20.936986301369863,1.0,31.966666666666665,5.0,9.0,0.556,0.0,0.0,0.0,4.0,6.0,0.667,0.0,7.0,7.0,3.0,1.0,1.0,3.0,2.0,14.0,11.0,-7.0
2015-11-08,LAL,NYK,20.942465753424656,1.0,29.95,3.0,12.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,3.0,0.0,0.0,0.0,4.0,6.0,4.6,-14.0
2015-11-10,LAL,MIA,20.947945205479453,1.0,25.55,2.0,6.0,0.333,0.0,1.0,0.0,3.0,5.0,0.6,0.0,7.0,7.0,4.0,0.0,0.0,2.0,3.0,7.0,4.5,-19.0
2015-11-11,LAL,ORL,20.95068493150685,1.0,27.6,6.0,10.0,0.6,0.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0,8.0,4.0,0.0,1.0,0.0,2.0,12.0,11.3,-2.0
2015-11-13,LAL,DAL,20.956164383561642,1.0,30.466666666666665,2.0,9.0,0.222,0.0,0.0,0.0,2.0,2.0,1.0,0.0,10.0,10.0,2.0,1.0,1.0,4.0,5.0,6.0,0.6,-5.0
2015-11-15,LAL,DET,20.96164383561644,1.0,30.65,3.0,8.0,0.375,0.0,0.0,0.0,2.0,3.0,0.667,3.0,5.0,8.0,2.0,1.0,1.0,2.0,2.0,8.0,7.1,0.0
2015-11-16,LAL,PHO,20.964383561643835,1.0,25.15,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,4.0,5.0,6.0,-0.1,1.0
2015-11-20,LAL,TOR,20.975342465753425,1.0,29.966666666666665,6.0,9.0,0.667,0.0,0.0,0.0,6.0,6.0,1.0,2.0,10.0,12.0,1.0,0.0,1.0,1.0,5.0,18.0,16.9,16.0
2015-11-22,LAL,POR,20.980821917808218,1.0,31.6,5.0,15.0,0.333,0.0,0.0,0.0,3.0,3.0,1.0,7.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,13.0,11.9,-14.0
2015-11-24,LAL,GSW,20.986301369863014,1.0,24.016666666666666,3.0,6.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,10.0,10.5,-18.0
2015-11-28,LAL,POR,20.997260273972604,1.0,29.866666666666667,8.0,13.0,0.615,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,4.0,3.0,1.0,1.0,3.0,16.0,15.8,0.0
2015-11-29,LAL,IND,21.0,1.0,27.083333333333332,4.0,11.0,0.364,0.0,0.0,0.0,3.0,4.0,0.75,1.0,11.0,12.0,1.0,0.0,1.0,4.0,5.0,11.0,3.9,0.0
2015-12-01,LAL,PHI,21.005479452054793,1.0,28.366666666666667,5.0,12.0,0.417,0.0,1.0,0.0,2.0,3.0,0.667,3.0,8.0,11.0,2.0,1.0,0.0,0.0,4.0,12.0,10.5,0.0
2015-12-02,LAL,WAS,21.008219178082193,1.0,31.233333333333334,7.0,15.0,0.467,0.0,1.0,0.0,1.0,2.0,0.5,7.0,12.0,19.0,1.0,2.0,0.0,2.0,2.0,15.0,15.3,0.0
2015-12-04,LAL,ATL,21.013698630136986,1.0,27.783333333333335,3.0,12.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,2.0,8.0,5.4,0.0
2015-12-06,LAL,DET,21.019178082191782,1.0,24.4,5.0,9.0,0.556,0.0,0.0,0.0,5.0,7.0,0.714,2.0,9.0,11.0,0.0,0.0,0.0,0.0,2.0,15.0,13.2,0.0
2015-12-07,LAL,TOR,21.02191780821918,0.0,20.75,6.0,13.0,0.462,0.0,0.0,0.0,3.0,3.0,1.0,7.0,4.0,11.0,0.0,0.0,0.0,1.0,1.0,15.0,13.0,0.0
2015-12-09,LAL,MIN,21.027397260273972,0.0,33.0,7.0,13.0,0.538,0.0,0.0,0.0,6.0,11.0,0.545,3.0,9.0,12.0,1.0,1.0,0.0,0.0,3.0,20.0,17.0,0.0
2015-12-11,LAL,SAS,21.03287671232877,0.0,20.433333333333334,2.0,9.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,2.0,4.0,4.0,-1.9,0.0
2015-12-12,LAL,HOU,21.035616438356165,0.0,22.95,3.0,11.0,0.273,0.0,1.0,0.0,1.0,2.0,0.5,3.0,7.0,10.0,2.0,1.0,0.0,3.0,5.0,7.0,1.7,0.0
2015-12-15,LAL,MIL,21.043835616438358,0.0,24.8,6.0,12.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,6.0,8.0,14.0,1.0,0.0,0.0,4.0,4.0,14.0,9.7,0.0
2015-12-17,LAL,HOU,21.04931506849315,0.0,23.4,6.0,15.0,0.4,1.0,1.0,1.0,5.0,6.0,0.833,3.0,7.0,10.0,2.0,1.0,0.0,1.0,5.0,18.0,13.1,-6.0
