date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,BOS,TOR,24.53150684931507,0.0,16.6,4.0,10.0,0.4,1.0,5.0,0.2,2.0,3.0,0.667,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,8.2,0.0
2015-11-01,BOS,SAS,24.536986301369865,0.0,13.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.8,5.0
2015-11-04,BOS,IND,24.545205479452054,0.0,10.533333333333333,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,-2.5,-4.0
2015-11-06,BOS,WAS,24.55068493150685,0.0,26.916666666666668,7.0,11.0,0.636,3.0,5.0,0.6,2.0,3.0,0.667,2.0,5.0,7.0,4.0,4.0,1.0,3.0,0.0,19.0,21.1,27.0
2015-11-10,BOS,MIL,24.561643835616437,0.0,22.05,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,11.0,6.3,23.0
2015-11-11,BOS,IND,24.564383561643837,0.0,14.666666666666666,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,-0.2,-8.0
2015-11-13,BOS,ATL,24.56986301369863,0.0,16.65,6.0,13.0,0.462,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,15.0,11.3,0.0
2015-11-15,BOS,OKC,24.575342465753426,0.0,16.6,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,3.0,1.0,2.0,6.0,7.0,7.6,0.0
2015-11-16,BOS,HOU,24.578082191780823,0.0,22.566666666666666,3.0,11.0,0.273,1.0,6.0,0.167,1.0,2.0,0.5,3.0,3.0,6.0,2.0,1.0,1.0,3.0,2.0,8.0,3.4,-4.0
2015-11-18,BOS,DAL,24.583561643835615,0.0,13.066666666666666,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,6.0,5.0,2.2,14.0
