date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIL,NYK,24.21095890410959,1.0,35.31666666666667,4.0,15.0,0.267,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,11.0,-0.5,-14.0
2015-10-30,MIL,WAS,24.216438356164385,1.0,38.88333333333333,6.0,14.0,0.429,1.0,4.0,0.25,5.0,6.0,0.833,0.0,3.0,3.0,5.0,1.0,0.0,1.0,4.0,18.0,13.0,1.0
2015-11-01,MIL,TOR,24.221917808219178,1.0,29.216666666666665,3.0,10.0,0.3,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,8.0,-1.2,-11.0
2015-11-02,MIL,BRK,24.224657534246575,1.0,38.95,6.0,12.0,0.5,2.0,5.0,0.4,3.0,4.0,0.75,1.0,4.0,5.0,3.0,1.0,1.0,0.0,2.0,17.0,15.5,-2.0
2015-11-04,MIL,PHI,24.23013698630137,1.0,35.63333333333333,7.0,20.0,0.35,3.0,7.0,0.429,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,21.0,12.4,8.0
2015-11-06,MIL,NYK,24.235616438356164,1.0,38.25,3.0,9.0,0.333,1.0,3.0,0.333,6.0,6.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,5.0,13.0,7.8,13.0
2015-11-07,MIL,BRK,24.23835616438356,1.0,33.38333333333333,4.0,6.0,0.667,3.0,3.0,1.0,3.0,5.0,0.6,0.0,9.0,9.0,7.0,1.0,0.0,1.0,2.0,14.0,17.4,11.0
2015-11-10,MIL,BOS,24.246575342465754,1.0,37.233333333333334,3.0,12.0,0.25,2.0,6.0,0.333,5.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,13.0,7.1,0.0
2015-11-11,MIL,DEN,24.24931506849315,1.0,42.43333333333333,5.0,13.0,0.385,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,2.0,13.0,8.8,5.0
2015-11-14,MIL,CLE,24.257534246575343,1.0,41.8,4.0,13.0,0.308,1.0,2.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,1.0,4.0,11.0,5.8,6.0
2015-11-17,MIL,WAS,24.265753424657536,1.0,27.316666666666666,6.0,12.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,14.0,7.0,-14.0
2015-11-19,MIL,CLE,24.27123287671233,1.0,31.966666666666665,4.0,10.0,0.4,0.0,1.0,0.0,7.0,7.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,6.0,15.0,9.3,6.0
2015-11-21,MIL,IND,24.276712328767122,1.0,27.616666666666667,3.0,11.0,0.273,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,3.7,0.0
2015-11-23,MIL,DET,24.28219178082192,1.0,22.583333333333332,5.0,7.0,0.714,2.0,2.0,1.0,4.0,5.0,0.8,0.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,16.0,15.6,12.0
2015-11-25,MIL,SAC,24.28767123287671,1.0,24.25,8.0,15.0,0.533,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,5.0,21.0,16.5,0.0
2015-11-27,MIL,ORL,24.293150684931508,1.0,33.86666666666667,4.0,7.0,0.571,3.0,5.0,0.6,4.0,4.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,15.0,17.0,0.0
2015-11-29,MIL,CHO,24.2986301369863,1.0,37.4,7.0,18.0,0.389,4.0,9.0,0.444,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,0.0,3.0,3.0,19.0,14.1,0.0
