date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHI,BRK,34.81917808219178,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-6.0
2015-11-13,CHI,CHO,34.863013698630134,0.0,9.083333333333334,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0
2015-11-16,CHI,IND,34.87123287671233,0.0,13.333333333333334,2.0,6.0,0.333,0.0,1.0,0.0,5.0,6.0,0.833,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,9.0,6.4,-6.0
2015-11-18,CHI,PHO,34.87671232876713,1.0,23.533333333333335,6.0,7.0,0.857,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,14.0,16.3,4.0
2015-11-20,CHI,GSW,34.88219178082192,1.0,34.4,6.0,11.0,0.545,3.0,4.0,0.75,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,6.0,17.0,11.0,4.0
2015-11-24,CHI,POR,34.893150684931506,0.0,25.566666666666666,1.0,4.0,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,1.4,-1.0
2015-11-27,CHI,IND,34.9013698630137,0.0,21.633333333333333,3.0,7.0,0.429,3.0,4.0,0.75,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,11.0,6.8,0.0
2015-12-05,CHI,CHO,34.92328767123288,0.0,13.766666666666667,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,4.0,2.1,0.0
2015-12-07,CHI,PHO,34.92876712328767,0.0,13.8,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-5.0,0.0
2015-12-09,CHI,BOS,34.93424657534246,0.0,11.033333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.2,0.0
2015-12-10,CHI,LAC,34.93698630136986,0.0,19.816666666666666,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,3.3,0.0
2015-12-12,CHI,NOP,34.942465753424656,0.0,14.533333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,3.7,0.0
2015-12-14,CHI,PHI,34.94794520547945,0.0,13.416666666666666,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.2,0.0
2015-12-16,CHI,MEM,34.95342465753425,0.0,10.683333333333334,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,3.6,4.0
2015-12-18,CHI,DET,34.95890410958904,0.0,13.133333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.9,0.0
