date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,ATL,DET,24.208219178082192,0.0,18.3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,4.8,11.0
2015-10-29,ATL,NYK,24.213698630136985,0.0,21.0,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,9.0,4.7,-6.0
2015-10-30,ATL,CHO,24.216438356164385,0.0,21.183333333333334,0.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,4.9,2.0
2015-11-01,ATL,CHO,24.221917808219178,0.0,9.1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.4,3.0
2015-11-03,ATL,MIA,24.22739726027397,0.0,8.016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-04,ATL,BRK,24.23013698630137,0.0,1.6166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2015-11-06,ATL,NOP,24.235616438356164,0.0,10.016666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,-2.0
2015-11-18,ATL,SAC,24.268493150684932,0.0,25.066666666666666,3.0,7.0,0.429,1.0,5.0,0.2,2.0,3.0,0.667,1.0,4.0,5.0,2.0,1.0,0.0,1.0,3.0,9.0,7.0,7.0
2015-11-21,ATL,CLE,24.276712328767122,0.0,21.633333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.1,0.0
2015-11-24,ATL,BOS,24.284931506849315,0.0,22.9,3.0,5.0,0.6,3.0,5.0,0.6,1.0,2.0,0.5,0.0,6.0,6.0,3.0,1.0,0.0,1.0,4.0,10.0,9.6,6.0
2015-11-25,ATL,MIN,24.28767123287671,0.0,16.433333333333334,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,0.2,0.0
2015-11-27,ATL,MEM,24.293150684931508,0.0,26.183333333333334,2.0,7.0,0.286,0.0,4.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0,3.1,0.0
2015-11-28,ATL,SAS,24.295890410958904,0.0,16.216666666666665,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,3.0,-0.5,0.0
2015-11-30,ATL,OKC,24.301369863013697,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2015-12-02,ATL,TOR,24.306849315068494,0.0,6.383333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-12-04,ATL,LAL,24.312328767123287,0.0,6.383333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,0.0
2015-12-09,ATL,DAL,24.326027397260273,0.0,12.366666666666667,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-3.2,0.0
2015-12-10,ATL,OKC,24.328767123287673,0.0,3.8166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-12,ATL,SAS,24.334246575342465,0.0,16.933333333333334,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0,3.6,0.0
2015-12-14,ATL,MIA,24.339726027397262,0.0,7.833333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2015-12-16,ATL,PHI,24.345205479452055,0.0,12.583333333333334,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,4.3,-3.0
2015-12-18,ATL,BOS,24.350684931506848,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.7,0.0
