date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,32.912328767123284,0.0,20.5,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,3.0,3.0,0.0,-4.1,-4.0
2015-10-30,GSW,HOU,32.92054794520548,0.0,19.383333333333333,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,5.0,4.4,14.0
2015-10-31,GSW,NOP,32.92328767123288,0.0,11.85,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.6,-5.0
2015-11-02,GSW,MEM,32.92876712328767,0.0,14.916666666666666,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,1.9,8.0
2015-11-04,GSW,LAC,32.93424657534246,0.0,13.433333333333334,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,7.4,9.0
2015-11-06,GSW,DEN,32.93972602739726,0.0,11.733333333333333,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,6.0,2.0,3.0
2015-11-07,GSW,SAC,32.942465753424656,0.0,12.05,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0
2015-11-09,GSW,DET,32.94794520547945,0.0,13.616666666666667,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,10.0,10.7,6.0
2015-11-11,GSW,MEM,32.95342465753425,0.0,13.833333333333334,2.0,5.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,2.7,7.0
2015-11-17,GSW,TOR,32.96986301369863,0.0,15.783333333333333,2.0,8.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,6.0,3.4,0.0
2015-11-20,GSW,CHI,32.97808219178082,0.0,8.783333333333333,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.8,3.0
2015-11-22,GSW,DEN,32.983561643835614,0.0,17.883333333333333,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,7.0,6.0,3.0
2015-11-24,GSW,LAL,32.989041095890414,0.0,16.933333333333334,6.0,9.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,13.0,13.1,2.0
2015-11-27,GSW,PHO,32.9972602739726,0.0,23.15,8.0,9.0,0.889,5.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,3.0,1.0,21.0,17.5,0.0
2015-11-28,GSW,SAC,33.0,0.0,21.216666666666665,1.0,6.0,0.167,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,5.0,5.0,2.5,0.0
2015-11-30,GSW,UTA,33.00547945205479,0.0,11.066666666666666,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,-0.8,0.0
2015-12-02,GSW,CHO,33.010958904109586,0.0,11.233333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.0
2015-12-05,GSW,TOR,33.01917808219178,0.0,11.2,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.2,0.0
2015-12-06,GSW,BRK,33.02191780821918,0.0,14.7,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,11.0,11.4,0.0
2015-12-11,GSW,BOS,33.035616438356165,0.0,16.683333333333334,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,2.2,0.0
2015-12-12,GSW,MIL,33.038356164383565,0.0,12.766666666666667,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-2.8,0.0
2015-12-16,GSW,PHO,33.04931506849315,0.0,13.366666666666667,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,5.4,0.0
2015-12-18,GSW,MIL,33.054794520547944,0.0,8.666666666666666,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,-0.2,0.0
