date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,DET,ATL,26.15068493150685,1.0,37.083333333333336,6.0,19.0,0.316,1.0,4.0,0.25,5.0,6.0,0.833,5.0,5.0,10.0,4.0,0.0,0.0,0.0,1.0,18.0,14.1,17.0
2015-10-28,DET,UTA,26.153424657534245,1.0,35.483333333333334,5.0,10.0,0.5,1.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,3.0,14.0,8.7,12.0
2015-10-30,DET,CHI,26.15890410958904,1.0,41.75,10.0,15.0,0.667,2.0,2.0,1.0,4.0,9.0,0.444,1.0,6.0,7.0,2.0,0.0,0.0,2.0,4.0,26.0,17.8,5.0
2015-11-03,DET,IND,26.16986301369863,1.0,39.0,3.0,11.0,0.273,1.0,6.0,0.167,4.0,4.0,1.0,3.0,4.0,7.0,0.0,2.0,2.0,4.0,2.0,11.0,6.4,-5.0
2015-11-06,DET,PHO,26.17808219178082,1.0,39.2,7.0,14.0,0.5,2.0,4.0,0.5,4.0,6.0,0.667,1.0,5.0,6.0,2.0,2.0,0.0,1.0,1.0,20.0,16.4,5.0
2015-11-08,DET,POR,26.183561643835617,1.0,36.733333333333334,5.0,18.0,0.278,1.0,7.0,0.143,2.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,13.0,5.4,16.0
2015-11-09,DET,GSW,26.186301369863013,1.0,43.13333333333333,6.0,12.0,0.5,1.0,1.0,1.0,2.0,4.0,0.5,1.0,4.0,5.0,3.0,2.0,0.0,1.0,2.0,15.0,12.4,-9.0
2015-11-11,DET,SAC,26.19178082191781,1.0,35.833333333333336,5.0,15.0,0.333,1.0,4.0,0.25,5.0,6.0,0.833,2.0,7.0,9.0,3.0,5.0,0.0,3.0,1.0,16.0,14.3,5.0
2015-11-14,DET,LAC,26.2,1.0,38.4,2.0,10.0,0.2,0.0,5.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,6.0,0.8,9.0
2015-11-15,DET,LAL,26.202739726027396,1.0,31.533333333333335,3.0,12.0,0.25,0.0,3.0,0.0,1.0,3.0,0.333,3.0,4.0,7.0,2.0,1.0,2.0,0.0,3.0,7.0,4.9,0.0
2015-11-17,DET,CLE,26.208219178082192,1.0,36.31666666666667,4.0,12.0,0.333,1.0,4.0,0.25,5.0,6.0,0.833,0.0,4.0,4.0,1.0,2.0,0.0,2.0,5.0,14.0,6.7,13.0
2015-11-20,DET,MIN,26.216438356164385,1.0,35.833333333333336,6.0,14.0,0.429,0.0,5.0,0.0,4.0,4.0,1.0,0.0,11.0,11.0,0.0,1.0,1.0,0.0,4.0,16.0,12.0,14.0
2015-11-21,DET,WAS,26.21917808219178,1.0,37.11666666666667,6.0,14.0,0.429,2.0,6.0,0.333,4.0,4.0,1.0,2.0,7.0,9.0,4.0,0.0,0.0,1.0,0.0,18.0,15.9,0.0
2015-11-23,DET,MIL,26.224657534246575,1.0,25.766666666666666,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,3.0,1.0,4.0,-1.3,-16.0
2015-11-25,DET,MIA,26.23013698630137,1.0,36.1,6.0,13.0,0.462,2.0,3.0,0.667,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,14.0,10.5,0.0
2015-11-27,DET,OKC,26.235616438356164,1.0,39.63333333333333,5.0,13.0,0.385,2.0,4.0,0.5,5.0,6.0,0.833,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,17.0,11.3,0.0
2015-11-29,DET,BRK,26.24109589041096,1.0,35.43333333333333,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,2.0,3.0,7.0,3.7,0.0
2015-11-30,DET,HOU,26.243835616438357,1.0,33.95,5.0,11.0,0.455,0.0,5.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,6.0,0.0,0.0,3.0,1.0,12.0,8.3,0.0
2015-12-02,DET,PHO,26.24931506849315,1.0,41.96666666666667,7.0,10.0,0.7,3.0,4.0,0.75,7.0,10.0,0.7,3.0,11.0,14.0,3.0,2.0,0.0,2.0,2.0,24.0,25.3,0.0
2015-12-04,DET,MIL,26.254794520547946,1.0,39.35,7.0,14.0,0.5,1.0,2.0,0.5,8.0,9.0,0.889,2.0,2.0,4.0,3.0,1.0,0.0,2.0,1.0,23.0,18.3,0.0
2015-12-06,DET,LAL,26.26027397260274,1.0,30.5,4.0,13.0,0.308,0.0,2.0,0.0,1.0,3.0,0.333,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,9.0,1.9,0.0
2015-12-07,DET,CHO,26.263013698630136,1.0,30.35,4.0,11.0,0.364,1.0,2.0,0.5,2.0,3.0,0.667,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,11.0,4.4,0.0
2015-12-09,DET,MEM,26.268493150684932,1.0,36.86666666666667,6.0,13.0,0.462,2.0,4.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10.3,0.0
2015-12-11,DET,PHI,26.273972602739725,1.0,34.03333333333333,7.0,9.0,0.778,3.0,3.0,1.0,4.0,4.0,1.0,1.0,7.0,8.0,4.0,1.0,1.0,4.0,2.0,21.0,20.0,0.0
2015-12-12,DET,IND,26.276712328767122,1.0,29.75,7.0,13.0,0.538,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,16.0,9.6,0.0
2015-12-14,DET,LAC,26.28219178082192,1.0,41.8,3.0,10.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,6.0,2.6,0.0
