date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,POR,NOP,22.465753424657535,0.0,18.216666666666665,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,8.0,5.9,-4.0
2015-10-30,POR,PHO,22.471232876712328,0.0,24.016666666666666,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,9.0,7.5,-1.0
2015-10-31,POR,PHO,22.473972602739725,0.0,28.216666666666665,3.0,9.0,0.333,1.0,4.0,0.25,0.0,2.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,7.0,3.5,8.0
2015-11-02,POR,MIN,22.47945205479452,0.0,17.25,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,3.8,-10.0
2015-11-04,POR,UTA,22.484931506849314,0.0,28.85,5.0,8.0,0.625,2.0,2.0,1.0,3.0,4.0,0.75,5.0,5.0,10.0,0.0,0.0,3.0,2.0,3.0,15.0,14.9,12.0
2015-11-05,POR,MEM,22.487671232876714,0.0,25.466666666666665,4.0,7.0,0.571,0.0,2.0,0.0,2.0,3.0,0.667,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,10.0,10.4,16.0
2015-11-08,POR,DET,22.495890410958904,0.0,22.216666666666665,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,3.0,4.0,3.0,1.4,-2.0
2015-11-09,POR,DEN,22.4986301369863,0.0,14.3,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,2.9,1.0
2015-11-11,POR,SAS,22.504109589041096,0.0,15.566666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-19.0
2015-11-13,POR,MEM,22.50958904109589,0.0,22.366666666666667,3.0,6.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,10.0,7.2,-2.0
2015-11-15,POR,CHO,22.515068493150686,0.0,20.916666666666668,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,5.4,0.0
2015-11-16,POR,SAS,22.517808219178082,0.0,12.166666666666666,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,-17.0
2015-11-18,POR,HOU,22.523287671232875,0.0,19.466666666666665,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,1.0,7.0,8.0,3.0,2.0,0.0,4.0,2.0,3.0,2.3,0.0
2015-11-20,POR,LAC,22.528767123287672,0.0,7.483333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,4.0
2015-11-22,POR,LAL,22.534246575342465,0.0,25.0,5.0,11.0,0.455,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,10.0,5.4,9.0
