date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIL,NYK,24.04931506849315,1.0,33.88333333333333,6.0,17.0,0.353,0.0,1.0,0.0,8.0,9.0,0.889,2.0,3.0,5.0,4.0,1.0,0.0,6.0,4.0,20.0,8.6,-10.0
2015-10-30,MIL,WAS,24.054794520547944,1.0,35.53333333333333,6.0,12.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,0.0,6.0,6.0,11.0,1.0,2.0,3.0,3.0,13.0,14.7,7.0
2015-11-01,MIL,TOR,24.06027397260274,1.0,32.65,3.0,10.0,0.3,2.0,5.0,0.4,4.0,4.0,1.0,1.0,4.0,5.0,7.0,2.0,0.0,4.0,2.0,12.0,10.2,-16.0
2015-11-02,MIL,BRK,24.063013698630137,1.0,22.633333333333333,2.0,3.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,6.0,8.4,7.0
2015-11-14,MIL,CLE,24.095890410958905,1.0,40.03333333333333,6.0,12.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,17.0,15.3,4.0
2015-11-17,MIL,WAS,24.104109589041094,1.0,21.983333333333334,5.0,10.0,0.5,2.0,4.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,12.0,1.7,-16.0
2015-11-19,MIL,CLE,24.10958904109589,1.0,26.733333333333334,4.0,11.0,0.364,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0,9.0,2.7,-2.0
2015-11-21,MIL,IND,24.115068493150684,1.0,25.65,3.0,5.0,0.6,0.0,0.0,0.0,1.0,3.0,0.333,0.0,3.0,3.0,3.0,0.0,0.0,5.0,3.0,7.0,0.7,0.0
2015-11-23,MIL,DET,24.12054794520548,1.0,26.083333333333332,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,3.0,1.0,2.0,2.0,12.0,15.6,13.0
2015-11-25,MIL,SAC,24.126027397260273,1.0,27.616666666666667,0.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,4.0,-2.2,0.0
2015-11-27,MIL,ORL,24.13150684931507,1.0,24.066666666666666,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,3.0,0.0,1.0,5.0,2.0,3.0,-0.5,0.0
2015-11-29,MIL,CHO,24.136986301369863,0.0,15.6,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,3.0,0.7,0.0
2015-11-30,MIL,DEN,24.13972602739726,0.0,30.166666666666668,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,9.0,3.0,3.0,2.0,4.0,12.0,17.7,0.0
2015-12-02,MIL,SAS,24.145205479452056,0.0,30.116666666666667,2.0,10.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0,1.0,1.0,4.0,3.1,0.0
2015-12-04,MIL,DET,24.15068493150685,0.0,26.55,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,0.0,0.0,3.0,4.0,6.0,2.6,0.0
2015-12-05,MIL,NYK,24.153424657534245,0.0,28.416666666666668,9.0,16.0,0.563,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,20.0,14.7,0.0
2015-12-07,MIL,POR,24.15890410958904,0.0,31.15,2.0,9.0,0.222,0.0,0.0,0.0,4.0,6.0,0.667,3.0,2.0,5.0,7.0,0.0,0.0,6.0,3.0,8.0,2.1,0.0
2015-12-09,MIL,LAC,24.164383561643834,0.0,32.11666666666667,9.0,16.0,0.563,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,11.0,1.0,0.0,2.0,4.0,20.0,17.4,0.0
2015-12-11,MIL,TOR,24.16986301369863,0.0,27.483333333333334,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,2.0,-0.9,0.0
2015-12-12,MIL,GSW,24.172602739726027,0.0,30.016666666666666,7.0,10.0,0.7,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,0.0,1.0,4.0,17.0,20.0,0.0
2015-12-15,MIL,LAL,24.18082191780822,0.0,31.733333333333334,9.0,18.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,19.0,15.9,0.0
2015-12-16,MIL,LAC,24.183561643835617,1.0,39.233333333333334,8.0,18.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,5.0,1.0,0.0,4.0,2.0,17.0,9.1,-13.0
2015-12-18,MIL,GSW,24.18904109589041,1.0,38.93333333333333,9.0,18.0,0.5,1.0,1.0,1.0,5.0,6.0,0.833,2.0,3.0,5.0,4.0,1.0,1.0,2.0,3.0,24.0,18.2,0.0
