date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,PHI,UTA,22.063013698630137,0.0,21.283333333333335,3.0,6.0,0.5,2.0,3.0,0.667,4.0,5.0,0.8,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,12.0,9.9,-6.0
2015-11-02,PHI,CLE,22.07123287671233,1.0,28.516666666666666,4.0,10.0,0.4,3.0,9.0,0.333,4.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,3.0,15.0,9.3,-15.0
2015-11-04,PHI,MIL,22.076712328767123,1.0,34.733333333333334,5.0,19.0,0.263,3.0,14.0,0.214,1.0,1.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,4.0,1.0,14.0,3.6,14.0
2015-11-06,PHI,CLE,22.08219178082192,1.0,37.65,6.0,10.0,0.6,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,14.0,8.9,-15.0
2015-11-07,PHI,ORL,22.084931506849315,1.0,36.4,6.0,15.0,0.4,3.0,10.0,0.3,3.0,4.0,0.75,0.0,3.0,3.0,5.0,0.0,1.0,0.0,2.0,18.0,13.8,0.0
2015-11-09,PHI,CHI,22.09041095890411,1.0,33.166666666666664,2.0,13.0,0.154,1.0,7.0,0.143,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,0.0,1.0,0.0,5.0,1.6,-24.0
2015-11-11,PHI,TOR,22.095890410958905,1.0,29.966666666666665,3.0,11.0,0.273,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,8.0,2.5,-17.0
2015-11-13,PHI,OKC,22.101369863013698,1.0,29.066666666666666,4.0,10.0,0.4,2.0,5.0,0.4,1.0,4.0,0.25,1.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,11.0,8.7,-13.0
2015-11-14,PHI,SAS,22.104109589041094,1.0,18.2,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.2,-9.0
2015-11-16,PHI,DAL,22.10958904109589,1.0,16.016666666666666,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,-3.3,-13.0
2015-11-18,PHI,IND,22.115068493150684,1.0,21.1,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,2.9,-8.0
2015-11-20,PHI,CHO,22.12054794520548,1.0,31.7,5.0,12.0,0.417,3.0,8.0,0.375,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,15.0,12.4,-4.0
2015-11-21,PHI,MIA,22.123287671232877,1.0,24.633333333333333,3.0,8.0,0.375,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,5.6,0.0
2015-11-23,PHI,MIN,22.12876712328767,1.0,11.833333333333334,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,3.0
2015-11-27,PHI,HOU,22.13972602739726,0.0,14.55,1.0,4.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,5.9,0.0
2015-11-29,PHI,MEM,22.145205479452056,0.0,12.983333333333333,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.5,0.0
2015-12-01,PHI,LAL,22.15068493150685,0.0,14.5,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,3.4,-3.0
2015-12-02,PHI,NYK,22.153424657534245,0.0,23.766666666666666,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,6.2,0.0
2015-12-05,PHI,DEN,22.161643835616438,0.0,27.916666666666668,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,7.1,0.0
2015-12-07,PHI,SAS,22.167123287671235,0.0,24.666666666666668,5.0,10.0,0.5,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,13.0,6.7,0.0
2015-12-10,PHI,BRK,22.175342465753424,0.0,28.166666666666668,1.0,8.0,0.125,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,0.1,0.0
2015-12-11,PHI,DET,22.17808219178082,0.0,22.1,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,0.3,0.0
2015-12-13,PHI,TOR,22.183561643835617,0.0,34.61666666666667,3.0,8.0,0.375,2.0,5.0,0.4,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,3.0,3.0,2.0,9.0,4.7,0.0
2015-12-14,PHI,CHI,22.186301369863013,0.0,20.166666666666668,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,5.0,0.7,0.0
2015-12-16,PHI,ATL,22.19178082191781,0.0,13.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,-21.0
2015-12-18,PHI,NYK,22.197260273972603,0.0,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0
