date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CHI,CLE,24.706849315068492,1.0,25.233333333333334,6.0,11.0,0.545,3.0,4.0,0.75,4.0,4.0,1.0,2.0,7.0,9.0,1.0,1.0,0.0,4.0,5.0,19.0,12.9,8.0
2015-10-28,CHI,BRK,24.70958904109589,1.0,29.616666666666667,5.0,10.0,0.5,4.0,8.0,0.5,4.0,4.0,1.0,0.0,9.0,9.0,1.0,2.0,1.0,2.0,3.0,18.0,15.9,30.0
2015-10-30,CHI,DET,24.715068493150685,1.0,38.5,7.0,14.0,0.5,3.0,8.0,0.375,5.0,6.0,0.833,1.0,5.0,6.0,0.0,2.0,0.0,4.0,1.0,22.0,14.4,1.0
2015-11-01,CHI,ORL,24.720547945205478,1.0,28.383333333333333,4.0,12.0,0.333,3.0,8.0,0.375,5.0,6.0,0.833,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,16.0,9.1,0.0
2015-11-03,CHI,CHO,24.726027397260275,1.0,23.966666666666665,2.0,11.0,0.182,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,5.0,-1.0,-15.0
2015-11-05,CHI,OKC,24.731506849315068,1.0,15.983333333333333,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,-1.2,-11.0
2015-11-07,CHI,MIN,24.736986301369864,1.0,17.033333333333335,1.0,8.0,0.125,0.0,5.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,5.0,4.0,-2.3,4.0
2015-11-09,CHI,PHI,24.742465753424657,1.0,28.366666666666667,6.0,11.0,0.545,3.0,7.0,0.429,5.0,7.0,0.714,1.0,9.0,10.0,1.0,2.0,0.0,4.0,3.0,20.0,14.8,22.0
2015-11-13,CHI,CHO,24.753424657534246,1.0,22.55,0.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,3.0,1.0,0.0,1.0,2.0,3.0,4.3,-5.0
2015-11-16,CHI,IND,24.76164383561644,1.0,16.55,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,2.3,4.0
2015-11-18,CHI,PHO,24.767123287671232,1.0,21.016666666666666,4.0,12.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,0.0,1.0,2.0,10.0,7.4,-1.0
2015-11-20,CHI,GSW,24.77260273972603,1.0,35.95,6.0,17.0,0.353,0.0,6.0,0.0,6.0,6.0,1.0,3.0,7.0,10.0,5.0,1.0,0.0,1.0,3.0,18.0,15.0,5.0
2015-11-24,CHI,POR,24.783561643835615,1.0,29.333333333333332,4.0,8.0,0.5,3.0,4.0,0.75,2.0,4.0,0.5,2.0,6.0,8.0,3.0,0.0,0.0,4.0,2.0,13.0,8.7,0.0
2015-11-27,CHI,IND,24.791780821917808,1.0,29.15,8.0,14.0,0.571,2.0,4.0,0.5,7.0,8.0,0.875,2.0,5.0,7.0,2.0,0.0,1.0,2.0,4.0,25.0,19.4,0.0
2015-11-30,CHI,SAS,24.8,1.0,24.1,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,3.0,8.0,3.7,0.0
2015-12-02,CHI,DEN,24.805479452054794,1.0,4.65,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,4.3,0.0
2015-12-05,CHI,CHO,24.813698630136987,1.0,27.1,3.0,11.0,0.273,1.0,6.0,0.167,0.0,2.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,1.0,2.0,7.0,2.8,0.0
2015-12-07,CHI,PHO,24.81917808219178,1.0,28.0,6.0,13.0,0.462,1.0,7.0,0.143,0.0,0.0,0.0,4.0,3.0,7.0,4.0,1.0,1.0,2.0,1.0,13.0,12.1,0.0
2015-12-09,CHI,BOS,24.824657534246576,0.0,22.15,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,10.0,6.8,0.0
2015-12-10,CHI,LAC,24.827397260273973,0.0,14.45,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,0.0,11.0,11.0,1.0,1.0,0.0,0.0,1.0,5.0,4.8,0.0
2015-12-12,CHI,NOP,24.832876712328765,0.0,18.1,3.0,6.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,1.0,9.0,10.0,2.0,0.0,0.0,0.0,1.0,10.0,11.4,0.0
2015-12-14,CHI,PHI,24.838356164383562,0.0,18.65,6.0,10.0,0.6,5.0,8.0,0.625,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,17.0,9.5,0.0
2015-12-16,CHI,MEM,24.843835616438355,0.0,14.583333333333334,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,5.6,7.0
2015-12-18,CHI,DET,24.84931506849315,0.0,23.933333333333334,1.0,6.0,0.167,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,1.5,0.0
