date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,22.843835616438355,1.0,18.433333333333334,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.9,-6.0
2015-10-30,CHO,ATL,22.84931506849315,1.0,16.6,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.5,-5.0
2015-11-01,CHO,ATL,22.854794520547944,1.0,23.2,2.0,6.0,0.333,0.0,4.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,7.0,3.1,4.0
2015-11-03,CHO,CHI,22.86027397260274,1.0,19.9,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,3.0
2015-11-05,CHO,DAL,22.865753424657534,1.0,22.216666666666665,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,1.6,13.0
2015-11-07,CHO,SAS,22.87123287671233,1.0,16.733333333333334,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,18.0
2015-11-10,CHO,MIN,22.87945205479452,1.0,7.633333333333333,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.8,-7.0
2015-11-11,CHO,NYK,22.882191780821916,1.0,25.85,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,5.0,2.0,-8.0
2015-11-13,CHO,CHI,22.887671232876713,1.0,15.2,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.1,8.0
2015-11-15,CHO,POR,22.893150684931506,1.0,9.466666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,0.0
2015-11-23,CHO,SAC,22.915068493150685,1.0,19.45,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,2.0,5.0,3.7,-6.0
2015-11-25,CHO,WAS,22.92054794520548,1.0,16.2,1.0,4.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,5.0,2.7,0.0
2015-11-27,CHO,CLE,22.926027397260274,1.0,19.466666666666665,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,-0.4,0.0
2015-11-29,CHO,MIL,22.931506849315067,1.0,14.7,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,0.0
2015-12-02,CHO,GSW,22.93972602739726,1.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.4,0.0
2015-12-05,CHO,CHI,22.947945205479453,1.0,18.866666666666667,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.1,0.0
2015-12-07,CHO,DET,22.953424657534246,1.0,16.083333333333332,2.0,6.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,6.0,2.2,0.0
2015-12-09,CHO,MIA,22.958904109589042,1.0,16.416666666666668,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,4.9,0.0
2015-12-11,CHO,MEM,22.964383561643835,1.0,17.6,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0
2015-12-12,CHO,BOS,22.96712328767123,1.0,21.583333333333332,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,3.8,0.0
2015-12-16,CHO,ORL,22.97808219178082,1.0,21.95,5.0,11.0,0.455,3.0,7.0,0.429,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,14.0,7.9,-14.0
2015-12-17,CHO,TOR,22.980821917808218,1.0,34.1,5.0,10.0,0.5,4.0,7.0,0.571,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,14.0,7.0,9.0
