date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,HOU,DEN,27.295890410958904,0.0,21.266666666666666,3.0,9.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,2.0,6.0,8.0,1.0,2.0,0.0,3.0,2.0,8.0,5.0,-3.0
2015-10-30,HOU,GSW,27.301369863013697,0.0,20.9,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,4.0,0.6,-10.0
2015-11-01,HOU,MIA,27.306849315068494,0.0,19.783333333333335,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,9.0,2.4,-3.0
2015-11-02,HOU,OKC,27.30958904109589,0.0,20.933333333333334,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,6.0,3.7,-8.0
2015-11-04,HOU,ORL,27.315068493150687,0.0,12.016666666666667,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.4,0.0
2015-11-11,HOU,BRK,27.334246575342465,0.0,8.883333333333333,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,1.7,-4.0
2015-11-13,HOU,DEN,27.339726027397262,0.0,7.833333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.5,1.0
2015-11-25,HOU,MEM,27.372602739726027,0.0,18.866666666666667,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.3,0.0
2015-11-27,HOU,PHI,27.378082191780823,1.0,32.083333333333336,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,5.0,7.7,0.0
2015-11-29,HOU,NYK,27.383561643835616,1.0,34.06666666666667,2.0,5.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,2.0,5.0,0.0,1.0,5.0,7.0,8.6,0.0
2015-11-30,HOU,DET,27.386301369863013,1.0,28.216666666666665,4.0,12.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,6.0,10.0,4.3,0.0
2015-12-02,HOU,NOP,27.39178082191781,1.0,26.216666666666665,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,1.0,0.0,5.0,10.0,9.4,0.0
2015-12-04,HOU,DAL,27.397260273972602,1.0,28.283333333333335,5.0,7.0,0.714,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,14.0,11.9,0.0
2015-12-05,HOU,SAC,27.4,1.0,30.233333333333334,4.0,6.0,0.667,3.0,4.0,0.75,3.0,4.0,0.75,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,14.0,13.5,0.0
2015-12-08,HOU,BRK,27.40821917808219,1.0,28.4,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,4.0,10.0,8.1,0.0
2015-12-09,HOU,WAS,27.410958904109588,1.0,37.416666666666664,5.0,12.0,0.417,4.0,11.0,0.364,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,5.0,2.0,14.0,5.8,0.0
2015-12-12,HOU,LAL,27.41917808219178,1.0,22.183333333333334,3.0,10.0,0.3,1.0,6.0,0.167,0.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,7.0,4.8,0.0
2015-12-14,HOU,DEN,27.424657534246574,1.0,34.0,6.0,11.0,0.545,2.0,6.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,14.0,13.4,0.0
2015-12-15,HOU,SAC,27.427397260273974,1.0,35.25,5.0,11.0,0.455,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,14.0,9.0,0.0
2015-12-17,HOU,LAL,27.432876712328767,1.0,29.3,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,13.0,9.1,29.0
